	G.B.Acc	Name	Unigene	Symbol	Chromosome	Cytoband	Function	Ontology	Expt_75	Expt_76	Expt_92	Ratio
	W39130	Eukaryotic translation initiation factor 1A, Y-linked	Hs.461178	EIF1AY	Y	Yq11.222	This gene encodes a protein similar to eukaryotic translation initiation factor 1A (EIF1A). EIF1A is required for the binding of the 43S complex (a 40S subunit, eIF2/GTP/Met-tRNAi and eIF3) to the 5 end of capped RNA.	RNA binding - protein biosynthesis - translation initiation factor activity - translational initiation	0.311583224	0.129860012	0.266800211	0.236081149
	AA147500	Chromosome 10 open reading frame 72	Hs.522928	C10orf72	10	10q11.23	-	-	0.163710454	0.159055064	0.389037776	0.237267765
	R32571	yh54g06.r1 Soares placenta Nb2HP Homo sapiens cDNA clone	-	-	-	-	-	-	0.342115487	0.133816422	0.236202097	0.237378002
	N63458	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	Hs.597915	ST3GAL3	1	1p34.1	The protein encoded by this gene is a type II membrane protein that catalyzes the transfer of sialic acid from CMP-sialic acid to galactose-containing substrates. The encoded protein is normally found in the Golgi apparatus but can be proteolytically processed to a soluble form. This protein is a member of glycosyltransferase family 29. Multiple transcript variants encoding several different isoforms have been found for this gene.	Golgi apparatus - N-acetyllactosaminide alpha-2,3-sialyltransferase activity - integral to membrane - membrane - protein amino acid glycosylation	0.290324808	0.156557994	0.265329161	0.237403988
	R36499	yh92a11.r1 Soares placenta Nb2HP Homo sapiens cDNA clone	-	-	-	-	-	-	0.384401494	0.078872207	0.249217692	0.237497131
	H44128	Splicing factor, arginine/serine-rich 2, interacting protein	Hs.210367	SFRS2IP	12	12q13.11	-	DNA-directed RNA polymerase II, core complex - RNA splicing - mRNA processing	0.198953058	0.103262275	0.410342499	0.237519277
	AA057291	Mitochondrial ribosomal protein S14	Hs.247324	MRPS14	1	1q25.1	Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that belongs to the ribosomal protein S14P family.	mitochondrial ribosome - mitochondrion - protein biosynthesis - ribosome - structural constituent of ribosome	0.258638189	0.092958463	0.361477311	0.237691321
	W39160	DTW domain containing 1	Hs.127432	DTWD1	15	15q21.2	-	-	0.17901818	0.085765514	0.451085077	0.238622924
	AI492376	Homo sapiens transcribed sequences	-	-	-	-	-	-	0.18120317	0.333500185	0.203613976	0.23943911
	R28285	yh66f01.s1 Soares placenta Nb2HP Homo sapiens cDNA clone	-	-	-	-	-	-	0.211417828	0.301882978	0.20675052	0.240017109
	N48163	chromosome 1 open reading frame 57	Hs.642715	C1orf57	1	1q42.2	-	ATP binding - ATP-dependent peptidase activity - kinase activity - nucleoside-triphosphatase activity - nucleotide binding - proteolysis and peptidolysis - serine-type endopeptidase activity - transferase activity	0.153992453	0.323484426	0.242740917	0.240072599
	AA069746	Potassium voltage-gated channel, Shab-related subfamily, member 1	Hs.84244	KCNB1	20	20q13.2	Voltage-gated potassium (Kv) channels represent the most complex class of voltage-gated ion channels from both functional and structural standpoints. Their diverse functions include regulating neurotransmitter release, heart rate, insulin secretion, neuronal excitability, epithelial electrolyte transport, smooth muscle contraction, and cell volume. Four sequence-related potassium channel genes - shaker, shaw, shab, and shal - have been identified in Drosophila, and each has been shown to have human homolog(s). This gene encodes a member of the potassium channel, voltage-gated, shab-related subfamily. This member is a delayed rectifier potassium channel and its activity is modulated by some other family members.	cation transport - delayed rectifier potassium channel activity - membrane - membrane fraction - potassium ion transport - protein binding - voltage-gated potassium channel complex	0.175885273	0.161855996	0.384191857	0.240644375
	W88606	Ankyrin 1, erythrocytic	Hs.491558	ANK1	8	8p11.1	Ankyrins are a family of proteins that are believed to link the integral membrane proteins to the underlying spectrin-actin cytoskeleton and play key roles in activities such as cell motility, activation, proliferation, contact and the maintenance of specialized membrane domains.  Multiple isoforms of ankyrin with different affinities for various target proteins are expressed in a tissue-specific, developmentally regulated manner.  Most ankyrins are typically composed of three structural domains: an amino-terminal domain containing multiple ankyrin repeats; a central region with a highly conserved spectrin binding domain; and a carboxy-terminal regulatory domain which is the least conserved and subject to variation.  Ankyrin 1, the prototype of this family, was first discovered in the erythrocytes, but since has also been found in brain and muscles.  Mutations in erythrocytic ankyrin 1 have been associated in approximately half of all patients with hereditary spherocytosis.  Complex patterns of alternative splicing in the regulatory domain, giving rise to different isoforms of ankyrin 1 have been described, however, the precise functions of the various isoforms are not known.  Alternative polyadenylation accounting for the different sized erythrocytic ankyrin 1 mRNAs, has also been reported.  Truncated muscle-specific isoforms of ankyrin 1 resulting from usage of an alternate promoter have also been identified.	actin cytoskeleton|basolateral plasma membrane|basolateral plasma membrane|cytoskeletal adaptor activity|cytoskeletal adaptor activity|cytoskeleton|cytoskeleton|cytoskeleton organization and biogenesis|enzyme binding|enzyme binding|exocytosis|maintenance of epithelial cell polarity|maintenance of epithelial cell polarity|plasma membrane|protein binding|signal transduction|spectrin binding|spectrin binding|structural constituent of cytoskeleton|structural constituent of cytoskeleton|structural molecule activity	0.203483775	0.090894525	0.428175812	0.240851371
	H29522	Angiomotin like 1	Hs.503594	AMOTL1	11	11q14.3	The protein encoded by this gene is a peripheral membrane protein that is a component of tight junctions or TJs. TJs form an apical junctional structure and act to control paracellular permeability and maintain cell polarity. This protein is related to angiomotin, an angiostatin binding protein that regulates endothelial cell migration and capillary formation.	-	0.17744981	0.111400916	0.437181565	0.242010764
	AA047101	Family with sequence similarity 53, member C	Hs.54056	FAM53C	5	5q31	-	-	0.194651246	0.10964046	0.422489925	0.242260544
	AA043562	IQ motif containing G	Hs.591675	IQCG	3	3q29	-	-	0.210510233	0.272387573	0.244983405	0.24262707
	N30436	Forkhead box K1	Hs.520634	KIAA0415	7	7p22.2	-	-	0.124006665	0.372801834	0.23125827	0.242688923
	AW665606	Full-length cDNA clone CS0DC021YM07 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)	Hs.388256	-	3	-	-	-	0.150519565	0.276355389	0.302476762	0.243117239
	AA147456	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	Hs.126667	EDG2	9	9q31.3	The integral membrane protein encoded by this gene is a lysophosphatidic acid (LPA) receptor from a group known as EDG receptors. These receptors are members of the G protein-coupled receptor superfamily. Utilized by LPA for cell signaling, EDG receptors mediate diverse biologic functions, including proliferation, platelet aggregation, smooth muscle contraction, inhibition of neuroblastoma cell differentiation, chemotaxis, and tumor cell invasion. Alternative splicing of this gene has been observed and two transcript variants have been described, each encoding identical proteins. An alternate translation start codon has been identified, which results in isoforms differing in the N-terminal extracellular tail. In addition, an alternate polyadenylation site has been reported.	G-protein coupled receptor protein signaling pathway - integral to plasma membrane - lysosphingolipid and lysophosphatidic acid receptor activity - phospholipase C activation - plasma membrane - positive regulation of I-kappaB kinase/NF-kappaB cascade - positive regulation of cytosolic calcium ion concentration - receptor activity - signal transduction	0.168607267	0.12792234	0.436517315	0.244348974
	N44490	Transmembrane protein 77	Hs.485606	TMEM77	1	1p13.3	-	-	0.215112763	0.165269708	0.353923756	0.244768742
	BQ006906	Zinc finger protein 516	Hs.436973	ZNF516	18	18q23	-	DNA binding - nucleus - regulation of transcription, DNA-dependent - transcription - zinc ion binding	0.220229152	0.128562392	0.386363374	0.245051639
	H51003	Glutathione S-transferase M2 (muscle)	Hs.279837	GSTM2	1	1p13.3	Cytosolic and membrane-bound forms of glutathione S-transferase are encoded by two distinct supergene families. At present, eight distinct classes of the soluble cytoplasmic mammalian glutathione S-transferases have been identified: alpha, kappa, mu, omega, pi, sigma, theta and zeta. This gene encodes a glutathione S-transferase that belongs to the mu class. The mu class of enzymes functions in the detoxification of electrophilic compounds, including carcinogens, therapeutic drugs, environmental toxins and products of oxidative stress, by conjugation with glutathione. The genes encoding the mu class of enzymes are organized in a gene cluster on chromosome 1p13.3 and are known to be highly polymorphic. These genetic variations can change an individuals susceptibility to carcinogens and toxins as well as affect the toxicity and efficacy of certain drugs.	glutathione transferase activity - metabolism - transferase activity	0.183417112	0.211251912	0.340495724	0.245054916
	N54190	Chromosome 18 open reading frame 8	Hs.529006	C18orf8	18	18q11.2	-	-	0.192749492	0.097252163	0.445589033	0.245196896
	AA147618	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	Hs.492407	YWHAZ	8	8q23.1	This gene product belongs to the 14-3-3 family of proteins which mediate signal transduction by binding to phosphoserine-containing proteins. This highly conserved protein family is found in both plants and mammals, and this protein is 99% identical to the mouse, rat and sheep orthologs. The encoded protein interacts with IRS1 protein, suggesting a role in regulating insulin sensitivity. Two transcript variants differing in the 5 UTR, but encoding the same protein, have been identified for this gene.	protein domain specific binding	0.172586454	0.258906993	0.304112739	0.245202062
	T91433	ye01c07.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	0.202776159	0.111456819	0.42260995	0.245614309
	R80286	Pregnancy specific beta-1-glycoprotein 3	Hs.551511	PSG3	19	19q13.2	-	defense response - extracellular region - molecular_function unknown - pregnancy - pregnancy	0.162846093	0.145971895	0.429526684	0.246114891
	AA001329	Cyclin A2	Hs.58974	CCNA2	4	4q25-q31	The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance through the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. In contrast to cyclin A1, which is present only in germ cells, this cyclin is expressed in all tissues tested. This cyclin binds and activates CDC2 or CDK2 kinases, and thus promotes both cell cycle G1/S and G2/M transitions.	cytokinesis - mitosis - mitotic G2 checkpoint - nucleus - regulation of cyclin dependent protein kinase activity	0.137035948	0.114349874	0.488084996	0.246490273
	BG618213	Fibronectin type III domain containing 4	Hs.27836	FNDC4	2	2p23.3	-	integral to membrane	0.206961662	0.165512635	0.367288851	0.246587716
	BQ049778	Egl nine homolog 1 (C. elegans)	Hs.444450	EGLN1	1	1q42.1	-	cytosol - oxidoreductase activity - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors - oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen - protein metabolism	0.254126147	0.070096539	0.415544317	0.246589001
	W55993	Fibrillin 2 (congenital contractural arachnodactyly)	Hs.519294	FBN2	5	5q23-q31	Fibrillin 2 is an extracellular matrix protein, which may regulate the formation and maintenance of extracellular microfibrils. Mutations in FBN2 may cause congenital contractural arachnodactyly.	calcium ion binding|extracellular matrix (sensu Metazoa)|extracellular matrix structural constituent|morphogenesis	0.147930899	0.302327096	0.289798361	0.246685452
	R82262	Glial cells missing homolog 1 (Drosophila)	Hs.28346	GCM1	6	6p21-p12	This gene encodes a DNA-binding protein with a gcm-motif (glial cell missing motif). The encoded protein is a homolog of the Drosophila glial cells missing gene (gcm). This protein binds to the GCM-motif (A/G)CCCGCAT, a novel sequence among known targets of DNA-binding proteins. The N-terminal DNA-binding domain confers the unique DNA-binding activity of this protein.	DNA binding - morphogenesis - nucleus - regulation of transcription, DNA-dependent - transcription	0.168318922	0.240439382	0.331370687	0.246709664
