Curated Gene Symbol	gene_symbol	A? (Log2 Ratio)	A?AL (Log2 Ratio)	AL (Log2 Ratio)	RefSeq	description
		0.13	-0.7	0.48		22 kDa protein [Source:IPI;Acc:IPI00413524]
	Q6ZT86_HUMAN	-0.2	-0.7	0.05		-
PHF7	PHF7	0.1	-0.7	0.25	NM_016483	PHD finger protein 7 isoform 1 [Source:RefSeq_peptide;Acc:NP_057567]
TFB1M	TFB1M	0.08	-0.7	0.05	NM_016020	transcription factor B1, mitochondrial [Source:RefSeq_peptide;Acc:NP_057104]
IRX2	IRX2	0.04	-0.7	-0.03	NM_033267	Iroquois-class homeodomain protein IRX-2 (Iroquois homeobox protein 2) (Homeodomain protein IRXA2). [Source:Uniprot/SWISSPROT;Acc:Q9BZI1]
		0.03	-0.7	0.4	NM_032373	polycomb group ring finger 5 [Source:RefSeq_peptide;Acc:NP_115749]
		0.72	-0.7	0.05	XM_373986	-
	JOS2_HUMAN	0.1	-0.7	0.41	NM_138334	Josephin 2 (SBBI54). [Source:Uniprot/SWISSPROT;Acc:Q8TAC2]
	Q9NSC1_HUMAN	0.26	-0.7	0.14	NM_004838	Homer protein homolog 3 (Homer-3). [Source:Uniprot/SWISSPROT;Acc:Q9NSC5]
TDRD9	TDRD9	0.57	-0.7	0.56		tudor domain containing 9 [Source:RefSeq_peptide;Acc:NP_694591]
MORC4	ZCWCC2	0.64	-0.7	0.19	NM_024657	Zinc finger CW-type coiled-coil domain protein 2. [Source:Uniprot/SWISSPROT;Acc:Q8TE76]
		0.86	-0.7	-0.35	XM_497068	-
		-0.08	-0.69	0.3	NM_207454	-
		0.21	-0.69	0.62	NM_033122	testis development protein NYD-SP26 [Source:RefSeq_peptide;Acc:NP_149113]
	O43838_HUMAN	0.11	-0.69	0.18	NM_001300	Core promoter element-binding protein (Kruppel-like factor 6) (B-cell derived protein 1) (Proto-oncogene BCD1) (Transcription factor Zf9) (GC-rich sites binding factor GBF). [Source:Uniprot/SWISSPROT;Acc:Q99612]
CFP	PFC	-0.16	-0.69	1.16	NM_002621	Properdin precursor (Factor P). [Source:Uniprot/SWISSPROT;Acc:P27918]
MORC1	MORC	0.5	-0.69	-0.25	NM_014429	microrchidia homolog [Source:RefSeq_peptide;Acc:NP_055244]
		-0.12	-0.69	0		Similar to Testis-specific testis transcript Y 1 (Fragment)
EIF4E3	EIF4E3	-0.09	-0.69	-0.46	XM_497923	EIF4E3 protein. [Source:Uniprot/SPTREMBL;Acc:Q6NUT1]
		-0.23	-0.69	-0.18	XM_379430	-
CPB1	CPB1	0.3	-0.69	0.38	NM_001871	Carboxypeptidase B precursor (EC 3.4.17.2) (Pancreas-specific protein) (PASP). [Source:Uniprot/SWISSPROT;Acc:P15086]
BTN1A1	BTN1A1	0.39	-0.69	-0.21	NM_001732	Butyrophilin subfamily 1 member A1 precursor (BT). [Source:Uniprot/SWISSPROT;Acc:Q13410]
CD8B	CD8B1	0.08	-0.69	-0.02	NM_004931,NM_172099	T-cell surface glycoprotein CD8 beta chain precursor (Antigen CD8B). [Source:Uniprot/SWISSPROT;Acc:P10966]
		1.35	-0.69	1.42	XM_497877	-
KLRF1	KLRF1	0	-0.69	-0.36	NM_016523	Killer cell lectin-like receptor subfamily F, member 1 (Lectin-like receptor F1) (Activating coreceptor NKp80). [Source:Uniprot/SWISSPROT;Acc:Q9NZS2]
		0.23	-0.69	-0.23	XM_294590	PREDICTED: similar to bA13B9.3 (novel protein similar to KRT8) [Source:RefSeq_peptide;Acc:XP_294590]
		-0.42	-0.69	-0.35		64 kDa protein [Source:IPI;Acc:IPI00479910]
		-0.17	-0.69	-0.19	NM_207394	-
		-0.07	-0.69	-0.3	XM_496859,XM_499273	-
	Q6ZTW8_HUMAN	0.7	-0.69	0.46	NM_025228	TRAF3-interacting JNK-activating modulator. [Source:Uniprot/SWISSPROT;Acc:Q9Y228]
DAZL	DAZL	1.68	-0.69	0.8	NM_001351	Deleted in azoospermia-like (DAZ-like autosomal) (Deleted in azoospermia-like 1) (DAZ homolog) (SPGY-like-autosomal). [Source:Uniprot/SWISSPROT;Acc:Q92904]
		0.28	-0.69	-0.03	NM_145258	-
SOCS6	SOCS6	0.43	-0.69	0.42	NM_004232	Suppressor of cytokine signaling 6 (Suppressor of cytokine signaling 4) (SOCS-4) (Cytokine-inducible SH2 protein 4) (CIS-4). [Source:Uniprot/SWISSPROT;Acc:O14544]
	LSLCL_HUMAN	0.11	-0.69	0.41	NM_002975	Stem cell growth factor precursor (Lymphocyte secreted C-type lectin) (p47) (C-type lectin superfamily member 3). [Source:Uniprot/SWISSPROT;Acc:Q9Y240]
BTF3P11	BTF3L1	-0.47	-0.69	0.33		Transcription factor BTF3 homolog 1. [Source:Uniprot/SWISSPROT;Acc:Q13890]
		-0.47	-0.69	0.17		12 kDa protein [Source:IPI;Acc:IPI00479653]
		0.52	-0.68	0.37	XM_086725	PREDICTED: similar to bB329D4.2.1 (novel protein similar to a truncated nuclear receptor co-repressor 1 (NCOR1) (retinoid X receptor interacting protein 13), isoform 1) [Source:RefSeq_peptide;Acc:XP_086725]
ZIC4	ZIC4	0	-0.68	-0.23	NM_032153	Zinc finger protein ZIC 4 (Zinc finger protein of the cerebellum 4) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q8N9L1]
NGEF	NGEF	-0.49	-0.68	-0.35	NM_019850	neuronal guanine nucleotide exchange factor [Source:RefSeq_peptide;Acc:NP_062824]
COL8A1	COL8A1	-0.19	-0.68	0.72	NM_001850,NM_020351	Smooth muscle cell-expressed and macrophage conditioned medium-induced protein 64 (Smag-64). [Source:Uniprot/SWISSPROT;Acc:Q9NRT5]
		0.52	-0.68	2.15	XM_497554	-
		-0.27	-0.68	-0.23	XM_498475	-
ANKK1	ANKK1	0.2	-0.68	0.38	NM_178510	ankyrin repeat and kinase domain containing 1 [Source:RefSeq_peptide;Acc:NP_848605]
VGLL2	VGLL2	0.34	-0.68	-0.12	NM_182645	Transcription cofactor vestigial-like protein 2 (Vgl-2) (VITO1 protein). [Source:Uniprot/SWISSPROT;Acc:Q8N8G2]
		-0.2	-0.68	1.21		Hypothetical protein
GPR146	GPR146	0.24	-0.68	-0.43	NM_138445	G protein-coupled receptor 146 [Source:RefSeq_peptide;Acc:NP_612454]
		-0.24	-0.68	-0.26	NM_024653	-
		0.08	-0.68	-0.04	XR_000208	-
		-0.47	-0.68	0.36	XM_380160,XM_379535	-
		-0.07	-0.68	1.72		Hypothetical protein
MKNK1	MKNK1	-0.02	-0.68	-0.04		MAP kinase-interacting serine/threonine kinase 1 (EC 2.7.1.37) (MAP kinase signal-integrating kinase 1) (Mnk1). [Source:Uniprot/SWISSPROT;Acc:Q9BUB5]
		1	-0.68	0.7	XM_068632	PREDICTED: hypothetical protein XP_068632 [Source:RefSeq_peptide;Acc:XP_068632]
GLRA3	GLRA3	-0.24	-0.68	-0.44	NM_006529	Glycine receptor alpha-3 chain precursor. [Source:Uniprot/SWISSPROT;Acc:O75311]
	Q9UI61_HUMAN	0.17	-0.68	-0.07		-
		0.12	-0.68	-0.5	NM_020995	-
	Q6NUR6_HUMAN	0.79	-0.68	-0.1		-
	Q8N9E6_HUMAN	-0.13	-0.68	0.35	NM_175908	-
		0.44	-0.68	0.68		Hypothetical protein
KAT6B	MYST4	-0.18	-0.68	0.15	NM_012330	MYST histone acetyltransferase (monocytic leukemia) 4 [Source:RefSeq_peptide;Acc:NP_036462]
SERPINA7	SERPINA7	-0.41	-0.68	-0.12	NM_000354	Thyroxine-binding globulin precursor (T4-binding globulin). [Source:Uniprot/SWISSPROT;Acc:P05543]
ZRSR1	U2AF1L1	0.02	-0.68	0.22		U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit related-protein 1 (U2(RNU2) small nuclear RNA auxillary factor 1-like 1). [Source:Uniprot/SWISSPROT;Acc:Q15695]
	SELV_HUMAN	-0.01	-0.68	-0.09	NM_182704	Selenoprotein V. [Source:Uniprot/SWISSPROT;Acc:P59797]
ABCA10	ABCA10	0.08	-0.67	0.48	NM_080282	ATP-binding cassette, sub-family A, member 10 [Source:RefSeq_peptide;Acc:NP_525021]
	ACTH_HUMAN	0.52	-0.67	0.05	NM_001615	Actin, gamma-enteric smooth muscle (Smooth muscle gamma actin) (Alpha- actin 3). [Source:Uniprot/SWISSPROT;Acc:P63267]
C20orf181	C20orf181	-0.1	-0.67	0.18		OTTHUMP00000031602 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9H1S0]
		0.72	-0.67	-0.41	NM_017846	tRNA selenocysteine associated protein [Source:RefSeq_peptide;Acc:NP_060316]
		0.25	-0.67	0	XM_379243	-
		0.25	-0.67	-0.34	XM_496835,XM_496331	-
		0.22	-0.67	0.55	XM_059061	-
		1.08	-0.67	-0.04	XM_373685	-
RXFP1	LGR7	0.9	-0.67	-0.44	NM_021634	Relaxin receptor 1 (Leucine-rich repeat-containing G-protein coupled receptor 7). [Source:Uniprot/SWISSPROT;Acc:Q9HBX9]
EVX2	EVX2	-0.47	-0.67	0.73	XM_292968	Homeobox even-skipped homolog protein 2 (EVX-2). [Source:Uniprot/SWISSPROT;Acc:Q03828]
	EFA6R_HUMAN	-0.16	-0.67	0.33	NM_206909	Pleckstrin and Sec7 domain containing protein 3 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6) (Hepatocellular carcinoma-associated antigen 67). [Source:Uniprot/SWISSPROT;Acc:Q9NYI0]
BRAF	BRAF	-0.26	-0.67	-0.33	NM_004333	B-Raf proto-oncogene serine/threonine-protein kinase (EC 2.7.1.37) (p94) (v-Raf murine sarcoma viral oncogene homolog B1). [Source:Uniprot/SWISSPROT;Acc:P15056]
	HOME2_HUMAN	-0.22	-0.67	-0.05	NM_199330,NM_199331,NM_004839,NM_199332	Homer protein homolog 2 (Homer-2). [Source:Uniprot/SWISSPROT;Acc:Q9NSB8]
MDN1	MDN1	0.33	-0.67	1.29	NM_014611	Midasin (MIDAS-containing protein). [Source:Uniprot/SWISSPROT;Acc:Q9NU22]
OR5E1P	OR5E1P	0.63	-0.67	0.01		Putative olfactory receptor (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q15616]
	CEP63_HUMAN	-0.08	-0.67	0.59	NM_025180	Centrosomal protein of 63 kDa (Cep63 protein). [Source:Uniprot/SWISSPROT;Acc:Q96MT8]
		0.69	-0.67	0.02	NM_178491	R3H domain (binds single-stranded nucleic acids) containing-like [Source:RefSeq_peptide;Acc:NP_848586]
		0.34	-0.67	-0.41	NM_173542	-
		-0.02	-0.67	-0.46	NM_012188,XM_292958,NM_144769,NM_207426	-
		-0.16	-0.67	-0.48		Non-protein coding transcript
TNFRSF1B	TNFRSF1B	1.06	-0.67	0.16	NM_001066	Tumor necrosis factor receptor superfamily member 1B precursor (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (p75) (p80 TNF-alpha receptor) (CD120b) (Etanercept) [Contains: Tumor necrosis factor binding protein 2 (TB
		0.07	-0.67	-0.37	NM_001006608	-
		0.13	-0.67	1.48	XM_373028	-
		1.21	-0.67	-0.2	NM_001008234	-
		-0.24	-0.67	-0.08	NM_173824	-
	Q96HG9_HUMAN	-0.25	-0.67	-0.34		-
		-0.14	-0.67	0.2	XM_166227	PREDICTED: macrophage expressed gene 1 [Source:RefSeq_peptide;Acc:XP_166227]
		-0.24	-0.67	0.02	XM_066859	PREDICTED: similar to zinc finger protein 92 [Source:RefSeq_peptide;Acc:XP_066859]
		-0.11	-0.67	-0.48	NM_018664	Jun dimerization protein p21SNFT [Source:RefSeq_peptide;Acc:NP_061134]
AGFG2	HRBL	-0.33	-0.67	-0.39		HIV-1 Rev binding protein-like protein (Rev/Rex activation domain binding protein-related) (RAB-R). [Source:Uniprot/SWISSPROT;Acc:O95081]
		0.1	-0.67	0.63		Non-protein coding transcript
		1.06	-0.66	0.82	XM_499395	PREDICTED: similar to galectin-related inter-fiber protein [Source:RefSeq_peptide;Acc:XP_499395]
KPNA1	KPNA1	0.32	-0.66	0.99	NM_002264	Importin alpha-1 subunit (Karyopherin alpha-1 subunit) (SRP1-beta) (RAG cohort protein 2) (Nucleoprotein interactor 1) (NPI-1). [Source:Uniprot/SWISSPROT;Acc:P52294]
		0.52	-0.66	1		Hypothetical protein
ZNF79	ZNF79	1.23	-0.66	-0.02	NM_007135	Zinc finger protein 79 (ZNFpT7) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q15937]
PRKCE	PRKCE	-0.11	-0.66	-0.42	NM_005400	Protein kinase C, epsilon type (EC 2.7.1.-) (nPKC-epsilon). [Source:Uniprot/SWISSPROT;Acc:Q02156]
PNMA6A	PNMA6A	0.4	-0.66	0.27	NM_032882	paraneoplastic antigen like 6A [Source:RefSeq_peptide;Acc:NP_116271]
		0.27	-0.66	-0.33		Hypothetical protein
	NMES1_HUMAN	-0.16	-0.66	-0.02	NM_032413,NM_197955	Normal mucosa of esophagus specific gene 1 protein (FOAP-11 protein). [Source:Uniprot/SWISSPROT;Acc:Q9C002]
SNAI1	SNAI1	0.85	-0.66	0.27	NM_005985	Zinc finger protein SNAI1 (Snail protein homolog) (Sna protein). [Source:Uniprot/SWISSPROT;Acc:O95863]
		-0.01	-0.66	0.48	XM_208847,XM_497431	Similar to Testicular metalloprotease-like, disintegrin-like, cysteine-rich protein IVb [Source:IPI;Acc:IPI00552096]
		0.7	-0.66	-0.39	NM_014694	35 kDa protein [Source:IPI;Acc:IPI00477776]
CACNG1	CACNG1	-0.04	-0.66	-0.01	NM_000727	Voltage-dependent calcium channel gamma-1 subunit (Dihydropyridine- sensitive L-type, skeletal muscle calcium channel gamma subunit). [Source:Uniprot/SWISSPROT;Acc:Q06432]
		0.97	-0.66	0.07	XM_498284	-
	YG96_HUMAN	-0.1	-0.66	-0.31	NM_015703	-
		0.61	-0.66	1.28	XM_374254	-
MCHR1	GPR24	0.25	-0.66	-0.14	NM_005297	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCHR-1) (MCH-R1) (MCH1R) (MCH-1R) (MCHR) (G-protein coupled receptor 24) (Somatostatin receptor-like protein) (SLC-1). [Source:Uniprot/SWISSPROT;Acc:Q99705]
	Q9NY04_HUMAN	1.01	-0.66	1.72		-
	Q9NSG4_HUMAN	-0.09	-0.66	0.06	NM_018087	-
		-0.07	-0.66	0.41	NM_181449	immune receptor expressed on myeloid cells 2 [Source:RefSeq_peptide;Acc:NP_852114]
CRYBA2	CRYBA2	0.05	-0.66	0.38	NM_005209,NM_057094,NM_057093	Beta crystallin A2 (Beta-A2-crystallin). [Source:Uniprot/SWISSPROT;Acc:P53672]
WFDC11	WFDC11	0	-0.66	0.08	NM_147197	Protein WFDC11 precursor. [Source:Uniprot/SWISSPROT;Acc:Q8NEX6]
CNTN1	CNTN1	0.32	-0.66	4.04	NM_175038,NM_001843	Contactin 1 precursor (Neural cell surface protein F3) (Glycoprotein gp135). [Source:Uniprot/SWISSPROT;Acc:Q12860]
FGF5	FGF5	0.63	-0.66	-0.41	NM_004464,NM_033143	Fibroblast growth factor-5 precursor (FGF-5) (HBGF-5) (Smag-82). [Source:Uniprot/SWISSPROT;Acc:P12034]
CD163	CD163	-0.37	-0.66	0.47	NM_004244,NM_203416	CD163 antigen isoform b [Source:RefSeq_peptide;Acc:NP_981961]
		0.25	-0.66	-0.47	XM_060054	-
		-0.41	-0.66	-0.49		Hypothetical protein
ERMN	KIAA1189	0.12	-0.65	-0.17	XM_371576	-
ZNF345	ZNF345	-0.04	-0.65	0.54	NM_003419	Zinc finger protein 345 (Zinc finger protein HZF10). [Source:Uniprot/SWISSPROT;Acc:Q14585]
		-0.31	-0.65	0.22		Non-protein coding transcript
		-0.05	-0.65	0.81	XM_496886,XM_499307	-
		-0.37	-0.65	-0.05	XM_498645	-
		1.16	-0.65	0.02		Non-protein coding transcript
NMBR	NMBR	-0.16	-0.65	0.38	NM_002511	Neuromedin-B receptor (NMB-R) (Neuromedin-B-preferring bombesin receptor). [Source:Uniprot/SWISSPROT;Acc:P28336]
PRKCB	PRKCB1	-0.42	-0.65	-0.39	NM_212535	Protein kinase C, beta type (EC 2.7.1.37) (PKC-beta) (PKC-B). [Source:Uniprot/SWISSPROT;Acc:P05771]
KIF18A	KIF18A	-0.31	-0.65	-0.13	NM_031217	kinesin family member 18A [Source:RefSeq_peptide;Acc:NP_112494]
	Q8N8H9_HUMAN	0.4	-0.65	-0.03		-
ENPP6	ENPP6	0.7	-0.65	0.36	NM_153343	ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:RefSeq_peptide;Acc:NP_699174]
PTPRH	PTPRH	1.27	-0.65	-0.36	NM_002842	protein tyrosine phosphatase, receptor type, H precursor [Source:RefSeq_peptide;Acc:NP_002833]
SARS2	SARS2	0.45	-0.65	0.1	NM_017827	Seryl-tRNA synthetase, mitochondrial precursor (EC 6.1.1.11) (Serine-- tRNA ligase) (SerRSmt). [Source:Uniprot/SWISSPROT;Acc:Q9NP81]
RRP1B	KIAA0179	-0.49	-0.65	-0.35	NM_015056	-
		0.24	-0.65	-0.31		NAD(P) dependent steroid dehydrogenase-like [Source:RefSeq_peptide;Acc:NP_660151]
CYP3A7	CYP3A7	0.28	-0.65	0.99		Cytochrome P450 3A7 (EC 1.14.14.1) (CYPIIIA7) (P450-HFLA). [Source:Uniprot/SWISSPROT;Acc:P24462]
		0.08	-0.65	0.3	XM_371167	PREDICTED: similar to Syncollin [Source:RefSeq_peptide;Acc:XP_371167]
		-0.08	-0.65	2		75 kDa protein [Source:IPI;Acc:IPI00479171]
SLC5A7	SLC5A7	0.4	-0.65	0.13	NM_021815	High-affinity choline transporter 1 (Solute carrier family 5 member 7) (Hemicholinium-3-sensitive choline transporter) (CHT). [Source:Uniprot/SWISSPROT;Acc:Q9GZV3]
MGAT5	MGAT5	0.4	-0.65	-0.45	NM_002410	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase V (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N- acetylglucosaminyltransferase) (N-acetylglucosaminyl-transferase V) (GNT-V) (GlcNAc-T V). [Source:Uniprot/SWISSPROT;Acc:Q09328]
		1.15	-0.65	-0.43	XM_377426	PREDICTED: similar to IGHV gene product [Source:RefSeq_peptide;Acc:XP_377426]
		-0.12	-0.65	0.06	NR_001550	-
		0.16	-0.65	0.67	NM_144625	-
RASSF9	PAMCI	0.43	-0.65	0.3	NM_005447	peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor [Source:RefSeq_peptide;Acc:NP_005438]
ALS2CR8	ALS2CR8	0.55	-0.65	-0.14	NM_024744	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 8 [Source:RefSeq_peptide;Acc:NP_079020]
		-0.09	-0.65	0.05		Hypothetical protein
CYP4F2	CYP4F2	0.34	-0.65	0.84	NM_001082	Cytochrome P450 4F2 (EC 1.14.13.30) (CYPIVF2) (Leukotriene-B(4) omega- hydroxylase) (Leukotriene-B(4) 20-monooxygenase) (Cytochrome P450-LTB- omega). [Source:Uniprot/SWISSPROT;Acc:P78329]
		-0.36	-0.65	0.63	NM_152912	mitochondrial translational initiation factor 3 [Source:RefSeq_peptide;Acc:NP_690876]
ZNF142	ZNF142	-0.29	-0.65	0.2	NM_005081	Zinc finger protein 142 (HA4654). [Source:Uniprot/SWISSPROT;Acc:P52746]
		0.23	-0.65	-0.05	NM_207436	-
		0.3	-0.65	0.52		Hypothetical protein
CACNG3	CACNG3	-0.31	-0.65	0.86	NM_006539	Voltage-dependent calcium channel gamma-3 subunit (Neuronal voltage- gated calcium channel gamma-3 subunit). [Source:Uniprot/SWISSPROT;Acc:O60359]
GCKR	GCKR	-0.22	-0.65	-0.08	NM_001486	Glucokinase regulatory protein (Glucokinase regulator). [Source:Uniprot/SWISSPROT;Acc:Q14397]
PRICKLE1	PRICKLE1	0.08	-0.65	-0.33		Prickle-like protein 1 (REST/NRSF-interacting LIM domain protein 1). [Source:Uniprot/SWISSPROT;Acc:Q96MT3]
		-0.03	-0.65	0.78	NM_004877	-
	Q9H762_HUMAN	0	-0.65	0.66		-
		1.21	-0.65	0.2	NM_001001794	-
		0.4	-0.65	0.39		Hypothetical protein
RAPGEF4	RAPGEF4	0.52	-0.64	0.02	NM_007023	Rap guanine nucleotide exchange factor 4 (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII) (Exchange factor directly activated by cAMP 2) (Epac 2). [Source:Uniprot/SWISSPROT;Acc:Q8WZA2]
		0.79	-0.64	0.3		PREDICTED: similar to rhophilin-like protein; RhoB effector; rhophilin-2; rhophilin 2 [Source:RefSeq_peptide;Acc:XP_496156]
OR5M8	OR5M8	0	-0.64	-0.32	NM_001005282	Olfactory receptor 5M8. [Source:Uniprot/SWISSPROT;Acc:Q8NGP6]
	VINEX_HUMAN	-0.06	-0.64	-0.25	NM_005775	Vinexin (SH3-containing adapter molecule-1) (SCAM-1). [Source:Uniprot/SWISSPROT;Acc:O60504]
	Q9H9J1_HUMAN	0.47	-0.64	-0.44	NM_014388	-
ISL2	ISL2	-0.04	-0.64	-0.27	NM_145805	Insulin gene enhancer protein ISL-2 (Islet-2). [Source:Uniprot/SWISSPROT;Acc:Q96A47]
ADH1B	ADH1B	-0.38	-0.64	-0.2	NM_000668	Alcohol dehydrogenase gamma chain (EC 1.1.1.1). [Source:Uniprot/SWISSPROT;Acc:P00326]
		-0.38	-0.64	-0.26	XM_060880	39 kDa protein [Source:IPI;Acc:IPI00411658]
ANO3	TMEM16C	-0.02	-0.64	-0.36	NM_031418	Transmembrane protein 16C. [Source:Uniprot/SWISSPROT;Acc:Q9BYT9]
		-0.13	-0.64	-0.16	XM_379716	-
RLBP1	RLBP1	-0.09	-0.64	-0.26	NM_000326	Cellular retinaldehyde-binding protein (CRALBP). [Source:Uniprot/SWISSPROT;Acc:P12271]
MLNR	MLNR	0.01	-0.64	-0.44	NM_001507	Motilin receptor (G-protein coupled receptor 38). [Source:Uniprot/SWISSPROT;Acc:O43193]
CDK3	CDK3	-0.46	-0.64	-0.17	NM_001258	Cell division protein kinase 3 (EC 2.7.1.37). [Source:Uniprot/SWISSPROT;Acc:Q00526]
		0.5	-0.64	-0.02	NM_020880	-
	KR108_HUMAN	0.12	-0.64	-0.07	NM_198695	Keratin-associated protein 10-8 (Keratin-associated protein 10.8) (High sulfur keratin-associated protein 10.8) (Keratin-associated protein 18-8) (Keratin-associated protein 18.8). [Source:Uniprot/SWISSPROT;Acc:P60410]
		-0.03	-0.64	-0.39	NM_173858	-
		-0.39	-0.64	-0.38		50 kDa protein [Source:IPI;Acc:IPI00478542]
MEMO1	C2orf4	0.33	-0.64	0.11	NM_015955,XM_498862,XM_371413	(CGI-27) (C21orf19-like protein). [Source:Uniprot/SWISSPROT;Acc:Q9Y316]
		0.25	-0.64	0.92	NM_001004741	-
		-0.32	-0.64	-0.04		Hypothetical protein
		1.08	-0.64	-0.24	NM_144616	-
	Q71F78_HUMAN	0.84	-0.64	-0.2		Lung carcinoma-associated protein. [Source:Uniprot/SPTREMBL;Acc:Q71F78]
		0.7	-0.64	0.08		Non-protein coding transcript
PYY2	PYY2	-0.3	-0.64	1.42	NM_021093	peptide YY, 2 (seminalplasmin) [Source:RefSeq_peptide;Acc:NP_066579]
	MRGX4_HUMAN	-0.27	-0.64	-0.32	NM_054032	Sensory neuron-specific G-protein coupled receptor 5. [Source:Uniprot/SWISSPROT;Acc:Q8TDD7]
CD3E	CD3E	-0.46	-0.64	-0.19	NM_000733	T-cell surface glycoprotein CD3 epsilon chain precursor (T-cell surface antigen T3/Leu-4 epsilon chain). [Source:Uniprot/SWISSPROT;Acc:P07766]
SYT2	SYT2	0.19	-0.64	0.52	NM_177402	Synaptotagmin-2 (Synaptotagmin II) (SytII). [Source:Uniprot/SWISSPROT;Acc:Q8N9I0]
	NPM2_HUMAN	0.26	-0.64	0.56	NM_182795	Nucleoplasmin 2. [Source:Uniprot/SWISSPROT;Acc:Q86SE8]
	Q9NWJ7_HUMAN	2.6	-0.64	0.24		-
		-0.42	-0.64	0.96		16 kDa protein [Source:IPI;Acc:IPI00411319]
		0.31	-0.64	-0.06	NM_207407	-
		0.62	-0.64	-0.39	NM_173591	-
RGL1	RGL1	0.93	-0.64	-0.25	NM_015149	Ral guanine nucleotide dissociation stimulator-like 1 (RalGDS-like 1). [Source:Uniprot/SWISSPROT;Acc:Q9NZL6]
		0.83	-0.64	-0.48	NM_182492	-
		-0.06	-0.64	0.41	NM_152569	-
BCL2A1	BCL2A1	0.36	-0.63	0.39	NM_004049	Bcl-2-related protein A1 (BFL-1 protein) (Hemopoietic-specific early response protein) (GRS protein). [Source:Uniprot/SWISSPROT;Acc:Q16548]
	Q9BX40_HUMAN	-0.31	-0.63	0.45		-
SMC1B	SMC1L2	-0.34	-0.63	0.23	NM_148674	Structural maintenance of chromosome 1-like 2 protein (SMC1beta protein). [Source:Uniprot/SWISSPROT;Acc:Q8NDV3]
		-0.05	-0.63	2.04		26 kDa protein [Source:IPI;Acc:IPI00332247]
		0.63	-0.63	0.52	NM_153359	-
		0.63	-0.63	0.12	NM_032569	cytokine-like nuclear factor n-pac [Source:RefSeq_peptide;Acc:NP_115958]
ANXA8	ANXA8	0.28	-0.63	0.22		Annexin A8 (Annexin VIII) (Vascular anticoagulant-beta) (VAC-beta). [Source:Uniprot/SWISSPROT;Acc:P13928]
MMP23A	MMP23A	-0.03	-0.63	0.4	NM_006983,NM_004659	matrix metalloproteinase 23B [Source:RefSeq_peptide;Acc:NP_008914]
		-0.33	-0.63	0.07		-
RANBP10	RANBP10	-0.14	-0.63	0.11	NM_020850	RAN binding protein 10 [Source:RefSeq_peptide;Acc:NP_065901]
	ENK13_HUMAN	0.81	-0.63	-0.28		-
RNF17	RNF17	0.12	-0.63	-0.18	NM_019038	RING finger protein 17. [Source:Uniprot/SWISSPROT;Acc:Q9BXT8]
RGL2	RGL2	-0.3	-0.63	0.07	NM_004761	Ral guanine nucleotide dissociation stimulator-like 2 (RalGDS-like factor) (RAS-associated protein RAB2L). [Source:Uniprot/SWISSPROT;Acc:O15211]
		-0.04	-0.63	0.28		31 kDa protein [Source:IPI;Acc:IPI00334809]
		0.39	-0.63	0.2	NM_207426	-
		0.16	-0.63	0.04	XM_498890	-
	Q9H9R9_HUMAN	-0.08	-0.63	-0.28	NM_024043	-
		-0.49	-0.63	0.79	XM_373750	-
APOBEC3A	APOBEC3A	-0.06	-0.63	-0.32	NM_145699	Probable DNA dC->dU editing enzyme APOBEC-3A (EC 3.5.4.-) (Phorbolin 1). [Source:Uniprot/SWISSPROT;Acc:P31941]
		0.28	-0.63	-0.15	NM_145056	thymus expressed gene 3-like [Source:RefSeq_peptide;Acc:NP_659493]
		0.22	-0.63	0.25		Hypothetical protein
	WDR23_HUMAN	0.01	-0.63	-0.01	NM_025230,NM_181357	WD-repeat protein 23 (GL014) (PRO2389). [Source:Uniprot/SWISSPROT;Acc:Q8TEB1]
SLC4A1	SLC4A1	0.57	-0.63	-0.1	NM_000342	Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (CD233 antigen). [Source:Uniprot/SWISSPROT;Acc:P02730]
		0.37	-0.63	0.75	XM_373822	-
		-0.38	-0.63	-0.43		Non-protein coding transcript
CYP4A11	CYP4A11	-0.31	-0.63	-0.19	NM_000778	Cytochrome P450 4A11 precursor (EC 1.14.15.3) (CYPIVA11) (Fatty acid omega-hydroxylase) (P-450 HK omega) (Lauric acid omega-hydroxylase) (CYP4AII) (P450-HL-omega). [Source:Uniprot/SWISSPROT;Acc:Q02928]
FXYD4	FXYD4	0.04	-0.63	0.04	NM_173160	FXYD domain-containing ion transport regulator 4 precursor. [Source:Uniprot/SWISSPROT;Acc:P59646]
