GO	MiRNA Name	p	FDR	Enrichment
protein amino acid autophosphorylation	mmu-let-7c-1	0.00777689	0.3275	2.332949059
protein amino acid autophosphorylation	mmu-let-7f	0.00777689	0.3275	2.332949059
protein amino acid autophosphorylation	mmu-miR-129-3p	0.00777689	0.3275	2.332949059
protein amino acid autophosphorylation	mmu-miR-184	0.00777689	0.3275	2.332949059
protein amino acid autophosphorylation	mmu-miR-186	0.00777689	0.3275	2.332949059
protein amino acid autophosphorylation	mmu-miR-18a	0.00777689	0.3275	2.332949059
protein amino acid autophosphorylation	mmu-miR-718	0.00777689	0.3275	2.332949059
protein amino acid autophosphorylation	mmu-miR-92b	0.00777689	0.3275	2.332949059
cell development	mmu-let-7c-1	0.00797481	0.3375	3.198084335
cell development	mmu-miR-129-3p	0.00797481	0.3375	3.198084335
cell development	mmu-miR-18a	0.00797481	0.3375	3.198084335
cell development	mmu-miR-351	0.00797481	0.3375	3.198084335
gluconeogenesis	mmu-let-7c-1	0.00797481	0.3125	3.198084335
gluconeogenesis	mmu-miR-186	0.00797481	0.3125	3.198084335
gluconeogenesis	mmu-miR-18a	0.00797481	0.3125	3.198084335
gluconeogenesis	mmu-miR-191	0.00797481	0.3125	3.198084335
gluconeogenesis	mmu-miR-29b	0.00797481	0.3125	3.198084335
gluconeogenesis	mmu-miR-351	0.00797481	0.3125	3.198084335
gluconeogenesis	mmu-miR-718	0.00797481	0.3125	3.198084335
sensory perception of pain	mmu-let-7c-1	0.00797481	0.325	3.198084335
sensory perception of pain	mmu-let-7f	0.00797481	0.325	3.198084335
sensory perception of pain	mmu-miR-18a	0.00797481	0.325	3.198084335
sensory perception of pain	mmu-miR-191	0.00797481	0.325	3.198084335
sensory perception of pain	mmu-miR-718	0.00797481	0.325	3.198084335
sensory perception of pain	mmu-miR-92b	0.00797481	0.325	3.198084335
cellular copper ion homeostasis	mmu-let-7c-1	0.00819716	0.315	4.153356279
cellular copper ion homeostasis	mmu-let-7f	0.00819716	0.315	4.153356279
cellular copper ion homeostasis	mmu-miR-186	0.00819716	0.315	4.153356279
cellular copper ion homeostasis	mmu-miR-191	0.00819716	0.315	4.153356279
cellular copper ion homeostasis	mmu-miR-29b	0.00819716	0.315	4.153356279
cellular copper ion homeostasis	mmu-miR-351	0.00819716	0.315	4.153356279
cellular copper ion homeostasis	mmu-miR-718	0.00819716	0.315	4.153356279
chromatin silencing	mmu-let-7f	0.00819716	0.3075	4.153356279
chromatin silencing	mmu-miR-184	0.00819716	0.3075	4.153356279
chromatin silencing	mmu-miR-18a	0.00819716	0.3075	4.153356279
chromatin silencing	mmu-miR-191	0.00819716	0.3075	4.153356279
chromatin silencing	mmu-miR-351	0.00819716	0.3075	4.153356279
chromatin silencing	mmu-miR-718	0.00819716	0.3075	4.153356279
chromatin silencing	mmu-miR-92b	0.00819716	0.3075	4.153356279
interspecies interaction between organisms	mmu-let-7c-1	0.00819716	0.32	4.153356279
interspecies interaction between organisms	mmu-miR-184	0.00819716	0.32	4.153356279
interspecies interaction between organisms	mmu-miR-18a	0.00819716	0.32	4.153356279
interspecies interaction between organisms	mmu-miR-191	0.00819716	0.32	4.153356279
interspecies interaction between organisms	mmu-miR-718	0.00819716	0.32	4.153356279
lipopolysaccharide-mediated signaling pathway	mmu-let-7c-1	0.00819716	0.3275	4.153356279
lipopolysaccharide-mediated signaling pathway	mmu-let-7f	0.00819716	0.3275	4.153356279
lipopolysaccharide-mediated signaling pathway	mmu-miR-186	0.00819716	0.3275	4.153356279
lipopolysaccharide-mediated signaling pathway	mmu-miR-18a	0.00819716	0.3275	4.153356279
lipopolysaccharide-mediated signaling pathway	mmu-miR-29b	0.00819716	0.3275	4.153356279
lipopolysaccharide-mediated signaling pathway	mmu-miR-351	0.00819716	0.3275	4.153356279
lipopolysaccharide-mediated signaling pathway	mmu-miR-718	0.00819716	0.3275	4.153356279
male genitalia development	mmu-let-7c-1	0.00819716	0.325	4.153356279
male genitalia development	mmu-let-7f	0.00819716	0.325	4.153356279
male genitalia development	mmu-miR-129-3p	0.00819716	0.325	4.153356279
male genitalia development	mmu-miR-92b	0.00819716	0.325	4.153356279
protein deubiquitination	mmu-let-7f	0.00819716	0.325	4.153356279
protein deubiquitination	mmu-miR-184	0.00819716	0.325	4.153356279
protein deubiquitination	mmu-miR-186	0.00819716	0.325	4.153356279
odontogenesis of dentine-containing tooth	mmu-let-7c-1	0.00849327	0.38	2.53816217
odontogenesis of dentine-containing tooth	mmu-let-7f	0.00849327	0.38	2.53816217
odontogenesis of dentine-containing tooth	mmu-miR-129-3p	0.00849327	0.38	2.53816217
odontogenesis of dentine-containing tooth	mmu-miR-184	0.00849327	0.38	2.53816217
odontogenesis of dentine-containing tooth	mmu-miR-18a	0.00849327	0.38	2.53816217
odontogenesis of dentine-containing tooth	mmu-miR-351	0.00849327	0.38	2.53816217
odontogenesis of dentine-containing tooth	mmu-miR-718	0.00849327	0.38	2.53816217
odontogenesis of dentine-containing tooth	mmu-miR-92b	0.00849327	0.38	2.53816217
protein amino acid dephosphorylation	mmu-let-7c-1	0.00855534	0.355	1.781015489
protein amino acid dephosphorylation	mmu-let-7f	0.00855534	0.355	1.781015489
protein amino acid dephosphorylation	mmu-miR-129-3p	0.00855534	0.355	1.781015489
protein amino acid dephosphorylation	mmu-miR-184	0.00855534	0.355	1.781015489
protein amino acid dephosphorylation	mmu-miR-18a	0.00855534	0.355	1.781015489
protein amino acid dephosphorylation	mmu-miR-29b	0.00855534	0.355	1.781015489
protein amino acid dephosphorylation	mmu-miR-351	0.00855534	0.355	1.781015489
protein amino acid dephosphorylation	mmu-miR-718	0.00855534	0.355	1.781015489
protein amino acid dephosphorylation	mmu-miR-92b	0.00855534	0.355	1.781015489
regulation of cell migration	mmu-let-7c-1	0.00953552	0.3475	2.652788849
regulation of cell migration	mmu-miR-129-3p	0.00953552	0.3475	2.652788849
regulation of cell migration	mmu-miR-18a	0.00953552	0.3475	2.652788849
regulation of cell migration	mmu-miR-29b	0.00953552	0.3475	2.652788849
regulation of cell migration	mmu-miR-351	0.00953552	0.3475	2.652788849
regulation of cell migration	mmu-miR-718	0.00953552	0.3475	2.652788849
regulation of cell migration	mmu-miR-92b	0.00953552	0.3475	2.652788849
lens induction in camera-type eye	mmu-let-7c-1	0.00962032	0.0875	6.85303786
lens induction in camera-type eye	mmu-miR-129-3p	0.00962032	0.0875	6.85303786
lens induction in camera-type eye	mmu-miR-18a	0.00962032	0.0875	6.85303786
lens induction in camera-type eye	mmu-miR-191	0.00962032	0.0875	6.85303786
mitotic metaphase	mmu-let-7c-1	0.00962032	0.115	6.85303786
mitotic metaphase	mmu-let-7f	0.00962032	0.115	6.85303786
mitotic metaphase	mmu-miR-184	0.00962032	0.115	6.85303786
mitotic metaphase	mmu-miR-351	0.00962032	0.115	6.85303786
mitotic metaphase	mmu-miR-718	0.00962032	0.115	6.85303786
natural killer cell differentiation	mmu-miR-184	0.00962032	0.125	6.85303786
natural killer cell differentiation	mmu-miR-18a	0.00962032	0.125	6.85303786
neuron morphogenesis during differentiation	mmu-let-7f	0.00962032	0.155	6.85303786
neuron morphogenesis during differentiation	mmu-miR-191	0.00962032	0.155	6.85303786
neuron morphogenesis during differentiation	mmu-miR-92b	0.00962032	0.155	6.85303786
positive regulation of bone mineralization	mmu-let-7f	0.00962032	0.1825	6.85303786
positive regulation of bone mineralization	mmu-miR-18a	0.00962032	0.1825	6.85303786
positive regulation of bone mineralization	mmu-miR-351	0.00962032	0.1825	6.85303786
positive regulation of bone mineralization	mmu-miR-92b	0.00962032	0.1825	6.85303786
positive regulation of myoblast differentiation	mmu-let-7c-1	0.00962032	0.185	6.85303786
positive regulation of myoblast differentiation	mmu-miR-29b	0.00962032	0.185	6.85303786
positive regulation of myoblast differentiation	mmu-miR-718	0.00962032	0.185	6.85303786
positive regulation of protein import into nucleus	mmu-let-7c-1	0.00962032	0.1975	6.85303786
positive regulation of protein import into nucleus	mmu-miR-129-3p	0.00962032	0.1975	6.85303786
positive regulation of protein import into nucleus	mmu-miR-18a	0.00962032	0.1975	6.85303786
positive regulation of transforming growth factor beta receptor signaling pathway	mmu-let-7c-1	0.00962032	0.1775	6.85303786
positive regulation of transforming growth factor beta receptor signaling pathway	mmu-miR-18a	0.00962032	0.1775	6.85303786
positive regulation of transforming growth factor beta receptor signaling pathway	mmu-miR-92b	0.00962032	0.1775	6.85303786
regulation of action potential in neuron	mmu-let-7c-1	0.00962032	0.22	6.85303786
regulation of action potential in neuron	mmu-let-7f	0.00962032	0.22	6.85303786
regulation of action potential in neuron	mmu-miR-191	0.00962032	0.22	6.85303786
regulation of action potential in neuron	mmu-miR-29b	0.00962032	0.22	6.85303786
regulation of action potential in neuron	mmu-miR-92b	0.00962032	0.22	6.85303786
regulation of cytokine production	mmu-miR-129-3p	0.00962032	0.2	6.85303786
regulation of cytokine production	mmu-miR-18a	0.00962032	0.2	6.85303786
regulation of cytokine production	mmu-miR-191	0.00962032	0.2	6.85303786
regulation of cytokine production	mmu-miR-29b	0.00962032	0.2	6.85303786
regulation of sensory perception of pain	mmu-let-7c-1	0.00962032	0.2175	6.85303786
regulation of sensory perception of pain	mmu-let-7f	0.00962032	0.2175	6.85303786
regulation of sensory perception of pain	mmu-miR-718	0.00962032	0.2175	6.85303786
