Probe set	Gene symbol	Gene description	Average signal Dex	Vehicle	Expression change Ratio	P-value
1460601_at	Myrip	myosin VIIA and Rab interacting protein	69	8	8.2	0.0200
1423062_at	Igfbp3	insulin-like growth factor binding protein 3	7341	844	8.7	0.0006
1434013_at	Ablim3	actin binding LIM protein family, member 3	129	15	8.8	0.0130
1435790_at	Olfm2	olfactomedin 2	109	12	9.0	0.0064
1460039_at	Clec1a	C-type lectin domain family 1, member a	369	40	9.2	0.0259
1429018_at	3830408D24Rik	RIKEN cDNA 3830408D24 gene	150	16	9.6	0.0215
1435092_at	Arl4a	ADP-ribosylation factor-like 4A	175	17	10.3	0.0072
1439163_at	Zbtb16	zinc finger and BTB domain containing 16	64	6	10.4	0.0236
1430352_at	Adamts9	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9	155	14	11.3	0.0067
1439878_at	Ivl	involucrin	134	10	13.1	0.0002
1442025_a_at			90	6	14.6	0.0441
1416164_at	Fbln5	fibulin 5	608	31	19.8	0.0049
1453678_at	Mbd1	methyl-CpG binding domain protein 1	1058	49	21.6	0.0040
1457707_at	Mctp2	multiple C2 domains, transmembrane 2	141	6	22.3	0.0130
1455859_at	A330021E22Rik	RIKEN cDNA A330021E22 gene	358	14	25.8	0.0018
1450291_s_at	Ms4a4c	membrane-spanning 4-domains, subfamily A, member 4C	201	7	27.5	0.0006
1427034_at	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	727	23	31.9	0.0018
1434202_a_at	BC055107	cDNA sequence BC055107	10170	312	32.6	0.0006
1427345_a_at	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1	250	7	37.7	0.0068
1427747_a_at	Lcn2	lipocalin 2	18710	464	40.4	0.0037
1450826_a_at	Saa3	serum amyloid A 3	512	12	42.2	0.0026
1419491_at	Defb1	defensin beta 1	343	6	53.9	0.0026
1451263_a_at	Fabp4	fatty acid binding protein 4, adipocyte	8478	121	69.9	0.0007
1451596_a_at	Sphk1	sphingosine kinase 1	926	7	136.2	0.0006
1422639_at	Calcb	calcitonin-related polypeptide, beta	1331	10	138.5	0.0006
1422557_s_at	Mt1	metallothionein 1	1719	5	316.9	0.0002
1428942_at	Mt2	metallothionein 2	11202	31	359.0	0.0000
