miRNA	Target symbol	Synonyms	Target description	chromosome	Entrez Gene
hsa-miR-31	CD48	BCM1|BLAST|BLAST1|MEM-102|SLAMF2|hCD48|mCD48	CD48 molecule	1	962
hsa-miR-31	RHOBTB1	KIAA0740|MGC33059|MGC33841	Rho-related BTB domain containing 1	10	9886
hsa-miR-31	OXSR1	KIAA1101|OSR1	oxidative-stress responsive 1	3	9943
hsa-miR-31	NUP153	HNUP153|N153	nucleoporin 153kDa	6	9972
hsa-miR-31|hsa-miR-195	SPRED1	FLJ33903|NFLS	sprouty-related, EVH1 domain containing 1	15	161742
hsa-miR-31|hsa-miR-195	LATS2	FLJ13161|KPM	LATS, large tumor suppressor, homolog 2 (Drosophila)	13	26524
hsa-miR-31|hsa-miR-195	PPP6C	FLJ92648|MGC12249	protein phosphatase 6, catalytic subunit	9	5537
hsa-miR-31|hsa-miR-195	CD28	MGC138290|Tp44	CD28 molecule	2	940
hsa-miR-31|hsa-miR-30d	MLXIP	KIAA0867|MIR|MONDOA	MLX interacting protein	12	22877
hsa-miR-31|hsa-miR-30d	RASA1	CM-AVM|CMAVM|DKFZp434N071|GAP|PKWS|RASA|RASGAP|p120GAP|p120RASGAP	RAS p21 protein activator (GTPase activating protein) 1	5	5921
hsa-miR-31|hsa-miR-30d	CAMK2D	CAMKD|MGC44911	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	4	817
hsa-miR-31|hsa-miR-30d	SYNGAP1	DKFZp761G1421|KIAA1938|RASA1|RASA5|SYNGAP	synaptic Ras GTPase activating protein 1 homolog (rat)	6	8831
hsa-miR-31|hsa-miR-7	CLASP2		cytoplasmic linker associated protein 2	3	23122
hsa-miR-31|hsa-miR-7	HERPUD2	FLJ22313|FLJ31032	HERPUD family member 2	7	64224
hsa-miR-31|hsa-miR-7	TFRC	CD71|TFR|TFR1|TRFR	transferrin receptor (p90, CD71)	3	7037
hsa-miR-31|hsa-miR-7|hsa-miR-195	RSBN1	DKFZp781E21150|ROSBIN|RP11-324J2.1	round spermatid basic protein 1	1	54665
hsa-miR-34a	DPP3	DPPIII|FLJ11387|FLJ22331	dipeptidyl-peptidase 3	11	10072
hsa-miR-34a	PGRMC2	DG6|PMBP	progesterone receptor membrane component 2	4	10424
hsa-miR-34a	VAT1	FLJ20230|VATI	vesicle amine transport protein 1 homolog (T. californica)	17	10493
hsa-miR-34a	DDX17	DKFZp761H2016|P72|RH70	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	22	10521
hsa-miR-34a	DPYSL4	CRMP3|DRP-4|ULIP4	dihydropyrimidinase-like 4	10	10570
hsa-miR-34a	FUT9	Fuc-TIX	fucosyltransferase 9 (alpha (1,3) fucosyltransferase)	6	10690
hsa-miR-34a	LYST	CHS|CHS1	lysosomal trafficking regulator	1	1130
hsa-miR-34a	UHRF2	DKFZp434B0920|DKFZp686G0837|MGC33463|NIRF|RNF107|URF2	ubiquitin-like, containing PHD and RING finger domains, 2	9	115426
hsa-miR-34a	EVI5L		ecotropic viral integration site 5-like	19	115704
hsa-miR-34a	C14orf28	DRIP1|c14_5270	chromosome 14 open reading frame 28	14	122525
hsa-miR-34a	COL12A1	BA209D8.1|COL12A1L|DJ234P15.1	collagen, type XII, alpha 1	6	1303
hsa-miR-34a	FAM123B	FLJ39827|WTX	family with sequence similarity 123B	X	139285
hsa-miR-34a	CSF1R	C-FMS|CD115|CSFR|FIM2|FMS	colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog	5	1436
hsa-miR-34a	MGAT5B	FLJ25132|GnT-IX|GnT-VB|KIAA2008	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B	17	146664
hsa-miR-34a	RTN4RL1	DKFZp547J144|NGRH2|NgR3	reticulon 4 receptor-like 1	17	146760
hsa-miR-34a	JAKMIP1	FLJ31564|Gababrbp|JAMIP1|MARLIN1	janus kinase and microtubule interacting protein 1	4	152789
hsa-miR-34a	EML5	DKFZp781D1122|EMAP-2|HuEMAP-2	echinoderm microtubule associated protein like 5	14	161436
hsa-miR-34a	DBC1	DBCCR1|FAM5A	deleted in bladder cancer 1	9	1620
hsa-miR-34a	DCX	DBCN|DC|LISX|SCLH|XLIS	doublecortex; lissencephaly, X-linked (doublecortin)	X	1641
hsa-miR-34a	JAG1	AGS|AHD|AWS|CD339|HJ1|JAGL1|MGC104644	jagged 1 (Alagille syndrome)	20	182
hsa-miR-34a	FAM76A	MGC34648	family with sequence similarity 76, member A	1	199870
hsa-miR-34a	JMJD1C	DKFZp761F0118|FLJ14374|KIAA1380|RP11-10C13.2|TRIP8	jumonji domain containing 1C	10	221037
hsa-miR-34a	ALDOA	ALDA|MGC10942|MGC17716|MGC17767	aldolase A, fructose-bisphosphate	16	226
hsa-miR-34a	FOXG1	BF1|BF2|FHKL3|FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C|HBF-1|HBF-2|HBF-3|HBF-G2|HBF2|HFK1|HFK2|HFK3|KHL2|QIN	forkhead box G1	14	2290
hsa-miR-34a	DAAM1	FLJ41657|KIAA0666	dishevelled associated activator of morphogenesis 1	14	23002
hsa-miR-34a	FOXM1	FKHL16|FOXM1B|HFH-11|HFH11|HNF-3|INS-1|MPHOSPH2|MPP-2|MPP2|PIG29|TGT3|TRIDENT	forkhead box M1	12	2305
hsa-miR-34a	ARHGAP26	FLJ42530|GRAF|KIAA0621|OPHN1L|OPHN1L1	Rho GTPase activating protein 26	5	23092
hsa-miR-34a	POGZ	KIAA0461|MGC71543|SUHW5|ZNF280E|ZNF635|ZNF635m	pogo transposable element with ZNF domain	1	23126
hsa-miR-34a	METAP1	DKFZp781C0419|KIAA0094	methionyl aminopeptidase 1	4	23173
hsa-miR-34a	ATG4B	APG4B|AUTL1|MGC1353	ATG4 autophagy related 4 homolog B (S. cerevisiae)	2	23192
hsa-miR-34a	PLCB1	FLJ45792|PI-PLC|PLC-154|PLC-I|PLC154	phospholipase C, beta 1 (phosphoinositide-specific)	20	23236
hsa-miR-34a	DNAJC16	DKFZp686G1298|DKFZp686N0387|DKFZp781I1547|KIAA0962	DnaJ (Hsp40) homolog, subfamily C, member 16	1	23341
hsa-miR-34a	ZDHHC17	HIP14|HIP3|HSPC294|HYPH|KIAA0946	zinc finger, DHHC-type containing 17	12	23390
hsa-miR-34a	ZNF281	FLJ12859|FLJ14378|ZBP-99|ZNP-99	zinc finger protein 281	1	23528
hsa-miR-34a	CORO1C	HCRNN4	coronin, actin binding protein, 1C	12	23603
hsa-miR-34a	FUT8	MGC26465	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	14	2530
hsa-miR-34a	CNTNAP2	CASPR2|CDFE|DKFZp781D1846|NRXN4	contactin associated protein-like 2	7	26047
hsa-miR-34a	PPP1R16B	ANKRD4|KIAA0823|TIMAP	protein phosphatase 1, regulatory (inhibitor) subunit 16B	20	26051
hsa-miR-34a	RGS17	RGS-17|RGSZ2|hRGS17	regulator of G-protein signaling 17	6	26575
hsa-miR-34a	FOXP1	12CC4|FLJ23741|HSPC215|MGC12942|MGC88572|MGC99551|QRF1|hFKH1B	forkhead box P1	3	27086
hsa-miR-34a	BRPF3		bromodomain and PHD finger containing, 3	6	27154
hsa-miR-34a	GMFB	GMF	glia maturation factor, beta	14	2764
hsa-miR-34a	SLCO3A1	FLJ40478|OATP-D|OATP3A1|SLC21A11	solute carrier organic anion transporter family, member 3A1	15	28232
hsa-miR-34a	GPR22	MGC129847	G protein-coupled receptor 22	7	2845
hsa-miR-34a	DLL1	DELTA1|DL1|Delta	delta-like 1 (Drosophila)	6	28514
hsa-miR-34a	ANK2	DKFZp686M09125|DKFZp686P0948|FLJ38277|LQT4	ankyrin 2, neuronal	4	287
hsa-miR-34a	GRID1	KIAA1220	glutamate receptor, ionotropic, delta 1	10	2894
hsa-miR-34a	HTR2C	5-HT2C|5-HTR2C|HTR1C	5-hydroxytryptamine (serotonin) receptor 2C	X	3358
hsa-miR-34a	INHBB		inhibin, beta B	2	3625
hsa-miR-34a	LDHA	LDH-M|LDH1|PIG19	lactate dehydrogenase A	11	3939
hsa-miR-34a	CUEDC1	DKFZp547L163|FLJ20739	CUE domain containing 1	17	404093
hsa-miR-34a	MET	AUTS9|HGFR|RCCP2|c-Met	met proto-oncogene (hepatocyte growth factor receptor)	7	4233
hsa-miR-34a	KITLG	DKFZp686F2250|KL-1|Kitl|MGF|SCF|SF|SHEP7	KIT ligand	12	4254
hsa-miR-34a	MLLT3	AF9|FLJ2035|YEATS3	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	9	4300
hsa-miR-34a	MPP2	DKFZp686A06252|DKFZp686J2189|DKFZp761D0712|DLG2	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	17	4355
hsa-miR-34a	NOTCH1	TAN1|hN1	Notch homolog 1, translocation-associated (Drosophila)	9	4851
hsa-miR-34a	LEF1	DKFZp586H0919|TCF1ALPHA	lymphoid enhancer-binding factor 1	4	51176
hsa-miR-34a	MEX3C	BM-013|FLJ38871|MEX-3C|RKHD2|RNF194	mex-3 homolog C (C. elegans)	18	51320
hsa-miR-34a	PDGFRA	CD140A|MGC74795|PDGFR2|Rhe-PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	4	5156
hsa-miR-34a	ASB1	ASB-1|KIAA1146|MGC11165	ankyrin repeat and SOCS box-containing 1	2	51665
hsa-miR-34a	PNOC	PPNOC	prepronociceptin	8	5368
hsa-miR-34a	39877	FLJ20445|MARCH-V|MITOL|RNF153	membrane-associated ring finger (C3HC4) 5	10	54708
hsa-miR-34a	SIDT1	B830021E24Rik|FLJ20174|SID-1|SID1	SID1 transmembrane family, member 1	3	54847
hsa-miR-34a	PPP1R14D	CPI17-like|FLJ20251|GBPI-1|MGC119014|MGC119016	protein phosphatase 1, regulatory (inhibitor) subunit 14D	15	54866
hsa-miR-34a	TTC19	2010204O13Rik|FLJ20343|MGC138312|MGC19520	tetratricopeptide repeat domain 19	17	54902
hsa-miR-34a	RIC8B	FLJ10620|MGC39476|RIC8|hSyn	resistance to inhibitors of cholinesterase 8 homolog B (C. elegans)	12	55188
hsa-miR-34a	PPP2R3A	PPP2R3|PR130|PR72	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	3	5523
hsa-miR-34a	PPP2R5A	B56A|MGC131915|PR61A	protein phosphatase 2, regulatory subunit B, alpha isoform	1	5525
hsa-miR-34a	LGR4	GPR48	leucine-rich repeat-containing G protein-coupled receptor 4	11	55366
hsa-miR-34a	ELMOD1	DKFZp547C176	ELMO/CED-12 domain containing 1	11	55531
hsa-miR-34a	PACS1	FLJ10209|KIAA1175	phosphofurin acidic cluster sorting protein 1	11	55690
hsa-miR-34a	FGD6	ZFYVE24	FYVE, RhoGEF and PH domain containing 6	12	55785
hsa-miR-34a	AXL	JTK11|UFO	AXL receptor tyrosine kinase	19	558
hsa-miR-34a	FOXJ2	FHX	forkhead box J2	12	55810
hsa-miR-34a	KIAA1217	DKFZP761L0424|MGC31990|SKT	KIAA1217	10	56243
hsa-miR-34a	NRIP3	C11orf14|NY-SAR-105	nuclear receptor interacting protein 3	11	56675
hsa-miR-34a	SLC2A4RG	GEF|HDBP1|Si-1-2|Si-1-2-19	SLC2A4 regulator	20	56731
hsa-miR-34a	TMCC3	KIAA1145	transmembrane and coiled-coil domain family 3	12	57458
hsa-miR-34a	XPO5	FLJ14239|FLJ32057|FLJ45606|KIAA1291	exportin 5	6	57510
hsa-miR-34a	GPR158	FLJ37801|KIAA1136|RP11-59G22.1	G protein-coupled receptor 158	10	57512
hsa-miR-34a	HCN3	KIAA1535|MGC131493	hyperpolarization activated cyclic nucleotide-gated potassium channel 3	1	57657
hsa-miR-34a	KIAA1967	DBC-1|DBC1	KIAA1967	8	57805
hsa-miR-34a	PTPRM	MGC166994|PTPRL1|R-PTP-MU|RPTPM|RPTPU|hR-PTPu	protein tyrosine phosphatase, receptor type, M	18	5797
hsa-miR-34a	RALGDS	FLJ20922|RGF|RalGEF	ral guanine nucleotide dissociation stimulator	9	5900
hsa-miR-34a	BCL2	Bcl-2	B-cell CLL/lymphoma 2	18	596
hsa-miR-34a	TGIF2		TGFB-induced factor homeobox 2	20	60436
hsa-miR-34a	RRAS		related RAS viral (r-ras) oncogene homolog	19	6237
hsa-miR-34a	SCN2B		sodium channel, voltage-gated, type II, beta	11	6327
hsa-miR-34a	DKFZP686E2158	DKFZp686O1385	hypothetical protein LOC643155	5	643155
hsa-miR-34a	GREM2	CKTSF1B2|DAND3|PRDC	gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)	1	64388
hsa-miR-34a	ACBD3	GCP60|GOCAP1|GOLPH1|PAP7	acyl-Coenzyme A binding domain containing 3	1	64746
hsa-miR-34a	FNDC3B	DKFZp686D14170|DKFZp762K137|FAD104|FLJ23399|MGC10002|PRO4979|YVTM2421	fibronectin type III domain containing 3B	3	64778
hsa-miR-34a	LOC653566		signal peptidase complex subunit 2 homolog pseudogene	1	653566
hsa-miR-34a	SLC18A1	CGAT|VAT1|VMAT1	solute carrier family 18 (vesicular monoamine), member 1	8	6570
hsa-miR-34a	SOX4	EVI16	SRY (sex determining region Y)-box 4	6	6659
hsa-miR-34a	VAMP2	FLJ11460|SYB2|VAMP-2	vesicle-associated membrane protein 2 (synaptobrevin 2)	17	6844
hsa-miR-34a	SYN2	SYNII|SYNIIa|SYNIIb	synapsin II	3	6854
hsa-miR-34a	CNTN2	AXT|DKFZp781D102|FLJ42746|MGC157722|TAG-1|TAX|TAX1	contactin 2 (axonal)	1	6900
hsa-miR-34a	TPD52	D52|N8L|PC-1|PrLZ|hD52	tumor protein D52	8	7163
hsa-miR-34a	OSGIN2	C8orf1|hT41	oxidative stress induced growth inhibitor family member 2	8	734
hsa-miR-34a	UBP1	DKFZp686L1745|LBP-1B|LBP-1a|LBP1A|LBP1B	upstream binding protein 1 (LBP-1a)	3	7342
hsa-miR-34a	MPPED2	239FB|C11orf8|D11S302E|FAM1B|Hs.46638|dJ1024C24.1|dJ873F21.1	metallophosphoesterase domain containing 2	11	744
hsa-miR-34a	CA7	CAVII	carbonic anhydrase VII	16	766
hsa-miR-34a	ZNF207	DKFZp761N202	zinc finger protein 207	17	7756
hsa-miR-34a	CACNB3	CACNLB3	calcium channel, voltage-dependent, beta 3 subunit	12	784
hsa-miR-34a	TMEM109	MGC5508	transmembrane protein 109	11	79073
hsa-miR-34a	NAT13	FLJ13194|MAK3|NAT5|SAN|hNAT5|hSAN	N-acetyltransferase 13	3	80218
hsa-miR-34a	SGPP1	SPPase1	sphingosine-1-phosphate phosphatase 1	14	81537
hsa-miR-34a	LMAN2L	DKFZp564L2423|MGC11139|VIPL	lectin, mannose-binding 2-like	2	81562
hsa-miR-34a	CAPN6	CANPX|CAPNX|CalpM|DJ914P14.1	calpain 6	X	827
hsa-miR-34a	C8orf13	D8S265|DKFZp761G151|MGC120649|MGC120650|MGC120651	chromosome 8 open reading frame 13	8	83648
hsa-miR-34a	PIP5K1A		phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	1	8394
hsa-miR-34a	FBXO30	FLJ41030|Fbx30|MGC21674	F-box protein 30	6	84085
hsa-miR-34a	LOXL3	LOXL	lysyl oxidase-like 3	2	84695
hsa-miR-34a	PKP4	FLJ31261|FLJ42243|p0071	plakophilin 4	2	8502
hsa-miR-34a	DGKZ	DAGK5|DAGK6|DGK-ZETA|hDGKzeta	diacylglycerol kinase, zeta 104kDa	11	8525
hsa-miR-34a	ZIC5		Zic family member 5 (odd-paired homolog, Drosophila)	13	85416
hsa-miR-34a	DIXDC1	CCD1|KIAA1735	DIX domain containing 1	11	85458
hsa-miR-34a	PEA15	HMAT1|HUMMAT1H|MAT1|MAT1H|PEA-15|PED	phosphoprotein enriched in astrocytes 15	1	8682
hsa-miR-34a	WASF1	FLJ31482|KIAA0269|SCAR1|WAVE|WAVE1	WAS protein family, member 1	6	8936
hsa-miR-34a	NAV3	KIAA0938|POMFIL1|STEERIN3|unc53H3	neuron navigator 3	12	89795
hsa-miR-34a	C14orf43	C14orf117|FLJ00335|LSR68|c14_5541	chromosome 14 open reading frame 43	14	91748
hsa-miR-34a	ZMYM4	CDIR|DKFZp686B09210|DKFZp686L0547|KIAA0425|MYM|ZNF198L3|ZNF262	zinc finger, MYM-type 4	1	9202
hsa-miR-34a	MTA2	DKFZp686F2281|MTA1L1|PID	metastasis associated 1 family, member 2	11	9219
hsa-miR-34a	NUMBL	CAG3A|CTG3a|NBL|NUMB-R|NUMBLIKE|NUMBR|TNRC23	numb homolog (Drosophila)-like	19	9253
hsa-miR-34a	SHKBP1	PP203|Sb1	SH3KBP1 binding protein 1	19	92799
hsa-miR-34a	AKAP6	ADAP100|ADAP6|AKAP100|KIAA0311|MGC165020|PRKA6|mAKAP	A kinase (PRKA) anchor protein 6	14	9472
hsa-miR-34a	SLC25A27	FLJ33552|UCP4	solute carrier family 25, member 27	6	9481
hsa-miR-34a	EI24	PIG8|TP53I8	etoposide induced 2.4 mRNA	11	9538
hsa-miR-34a	SPCS2	KIAA0102|MGC117366	signal peptidase complex subunit 2 homolog (S. cerevisiae)	11	9789
hsa-miR-34a|hsa-miR-10b	BTBD11	FLJ33957|FLJ42845	BTB (POZ) domain containing 11	12	121551
hsa-miR-34a|hsa-miR-10b	BCL6	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	B-cell CLL/lymphoma 6 (zinc finger protein 51)	3	604
hsa-miR-34a|hsa-miR-10b|hsa-miR-195	E2F3	DKFZp686C18211|E2F-3|KIAA0075|MGC104598	E2F transcription factor 3	6	1871
hsa-miR-34a|hsa-miR-18a	SAR1A	SAR1|SARA1|Sara|masra2	SAR1 gene homolog A (S. cerevisiae)	10	56681
hsa-miR-34a|hsa-miR-18a|hsa-miR-195	C1orf9	CH1	chromosome 1 open reading frame 9	1	51430
hsa-miR-34a|hsa-miR-193b	CAMTA1	KIAA0833	calmodulin binding transcription activator 1	1	23261
hsa-miR-34a|hsa-miR-193b|hsa-miR-195	TBL1XR1	C21|DC42|FLJ12894|IRA1|TBLR1	transducin (beta)-like 1 X-linked receptor 1	3	79718
hsa-miR-34a|hsa-miR-195	MGAT4A	GNT-IV|GNT-IVA	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	2	11320
hsa-miR-34a|hsa-miR-195	EIF2C4	AGO4	eukaryotic translation initiation factor 2C, 4	1	192670
hsa-miR-34a|hsa-miR-195	AHCYL2	FLJ21719|KIAA0828	S-adenosylhomocysteine hydrolase-like 2	7	23382
hsa-miR-34a|hsa-miR-195	GRM7	FLJ40498|GLUR7|GPRC1G|MGLUR7|mGlu7	glutamate receptor, metabotropic 7	3	2917
hsa-miR-34a|hsa-miR-195	FAM70A	FLJ20716	family with sequence similarity 70, member A	X	55026
hsa-miR-34a|hsa-miR-195	FBXW7	AGO|CDC4|DKFZp686F23254|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10	F-box and WD repeat domain containing 7	4	55294
hsa-miR-34a|hsa-miR-195	TMEM55A	DKFZp762O076	transmembrane protein 55A	8	55529
hsa-miR-34a|hsa-miR-195	MAP2K1	MAPKK1|MEK1|MKK1|PRKMK1	mitogen-activated protein kinase kinase 1	15	5604
hsa-miR-34a|hsa-miR-195	RELN	PRO1598|RL	reelin	7	5649
hsa-miR-34a|hsa-miR-195	USP31	KIAA1203	ubiquitin specific peptidase 31	16	57478
hsa-miR-34a|hsa-miR-195	TAF5	TAF2D|TAFII100	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	10	6877
hsa-miR-34a|hsa-miR-195	PPP1R11	HCG-V|HCGV|MGC125741|MGC125742|MGC125743|TCTE5|TCTEX5	protein phosphatase 1, regulatory (inhibitor) subunit 11	6	6992
hsa-miR-34a|hsa-miR-195	ZFHX4	FLJ16514|FLJ20980|ZFH-4|ZFH4|ZHF4	zinc finger homeobox 4	8	79776
hsa-miR-34a|hsa-miR-195	CBFA2T3	ETO2|MTG16|MTGR2|ZMYND4	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	16	863
hsa-miR-34a|hsa-miR-195	NAV1	DKFZp781D0314|FLJ12560|FLJ14203|KIAA1151|MGC14961|POMFIL3|steerin-1	neuron navigator 1	1	89796
hsa-miR-34a|hsa-miR-195	SLC4A7	DKFZp686H168|NBC2|NBC3|SBC2|SLC4A6	solute carrier family 4, sodium bicarbonate cotransporter, member 7	3	9497
hsa-miR-34a|hsa-miR-195|hsa-miR-30d	USP48	DKFZp762M1713|MGC132556|MGC14879|RAP1GA1|USP31	ubiquitin specific peptidase 48	1	84196
hsa-miR-34a|hsa-miR-30d	ACCN1	ACCN|ASIC2|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	amiloride-sensitive cation channel 1, neuronal (degenerin)	17	40
hsa-miR-34a|hsa-miR-30d	NR4A2	HZF-3|NOT|NURR1|RNR1|TINUR	nuclear receptor subfamily 4, group A, member 2	2	4929
hsa-miR-34a|hsa-miR-30d	ARID4B	BCAA|BRCAA1|DKFZp313M2420|MGC163290|RBBP1L1|RBP1L1|SAP180	AT rich interactive domain 4B (RBP1-like)	1	51742
hsa-miR-34a|hsa-miR-30d	PGM1		phosphoglucomutase 1	1	5236
hsa-miR-34a|hsa-miR-30d	ZNF644	BM-005|KIAA1221|MGC60165|MGC70410|Zep-2	zinc finger protein 644	1	84146
hsa-miR-34a|hsa-miR-30d	RNMT	DKFZp686H1252|KIAA0398|MET|RG7MT1|hCMT1c	RNA (guanine-7-) methyltransferase	18	8731
hsa-miR-34a|hsa-miR-30d	CCNE2	CYCE2	cyclin E2	8	9134
hsa-miR-34a|hsa-miR-30d	LGI1	EPITEMPIN|EPT|ETL1|IB1099	leucine-rich, glioma inactivated 1	10	9211
hsa-miR-34a|hsa-miR-31	CTNND2	GT24|NPRAP	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	5	1501
hsa-miR-34a|hsa-miR-31	SATB2	FLJ21474|FLJ32076|KIAA1034|MGC119474|MGC119477	SATB homeobox 2	2	23314
hsa-miR-34a|hsa-miR-31	CHMP7	MGC29816	CHMP family, member 7	8	91782
hsa-miR-34a|hsa-miR-7	ZC3H4	C19orf7|KIAA1064	zinc finger CCCH-type containing 4	19	23211
hsa-miR-34a|hsa-miR-7	KLF4	EZF|GKLF	Kruppel-like factor 4 (gut)	9	9314
hsa-miR-34a|hsa-miR-7|hsa-miR-195	ACSL4	ACS4|FACL4|LACS4|MRX63|MRX68	acyl-CoA synthetase long-chain family member 4	X	2182
hsa-miR-663	PHF15	JADE2|KIAA0239	PHD finger protein 15	5	23338
hsa-miR-663	HOXC10	HOX3I|MGC5259	homeobox C10	12	3226
hsa-miR-663	DPF1	MGC150428|MGC150429|NEUD4|neuro-d4	D4, zinc and double PHD fingers family 1	19	8193
hsa-miR-7	TRIM10	HERF1|MGC141979|RFB30|RNF9	tripartite motif-containing 10	6	10107
hsa-miR-7	SLC25A15	D13S327|HHH|ORC1|ORNT1	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	13	10166
hsa-miR-7	VDAC5P	VDAC3	voltage-dependent anion channel 5, pseudogene	12	10187
hsa-miR-7	SMYD5	NN8-4AG|RAI15|RRG1|ZMYND23	SMYD family member 5	2	10322
hsa-miR-7	CKAP4	CLIMP-63|ERGIC-63|MGC99554|p63	cytoskeleton-associated protein 4	12	10970
hsa-miR-7	CHD3	Mi-2a|Mi2-ALPHA|ZFH	chromodomain helicase DNA binding protein 3	17	1107
hsa-miR-7	KLF12	AP-2rep|AP2REP|HSPC122	Kruppel-like factor 12	13	11278
hsa-miR-7	CSMD3	KIAA1894	CUB and Sushi multiple domains 3	8	114788
hsa-miR-7	OSBPL5	FLJ42929|OBPH1|ORP5	oxysterol binding protein-like 5	11	114879
hsa-miR-7	OSBPL11	FLJ13012|FLJ13164|ORP-11|ORP11|OSBP12|TCCCIA00292	oxysterol binding protein-like 11	3	114885
hsa-miR-7	LSM12	FLJ30656|MGC104211|PNAS-135	LSM12 homolog (S. cerevisiae)	17	124801
hsa-miR-7	CNN3		calponin 3, acidic	1	1266
hsa-miR-7	COL2A1	ANFH|AOM|COL11A3|MGC131516|SEDC	collagen, type II, alpha 1	12	1280
hsa-miR-7	UBLCP1	CPUB1|FLJ25267|MGC10067	ubiquitin-like domain containing CTD phosphatase 1	5	134510
hsa-miR-7	DIRAS1	Di-Ras1|FLJ42681|GBTS1|RIG	DIRAS family, GTP-binding RAS-like 1	19	148252
hsa-miR-7	ASXL1	KIAA0978|MGC117280|MGC71111	additional sex combs like 1 (Drosophila)	20	171023
hsa-miR-7	EPHA3	ETK|ETK1|HEK|HEK4|TYRO4	EPH receptor A3	3	2042
hsa-miR-7	KIAA2018	DKFZp781O0144	KIAA2018	3	205717
hsa-miR-7	ESRRG	DKFZp781L1617|ERR3|FLJ16023|KIAA0832|NR3B3	estrogen-related receptor gamma	1	2104
hsa-miR-7	ZNF609	KIAA0295|MGC164858	zinc finger protein 609	15	23060
hsa-miR-7	SR140	KIAA0332|MGC133197	U2-associated SR140 protein	3	23350
hsa-miR-7	LEMD3	MAN1	LEM domain containing 3	12	23592
hsa-miR-7	FLRT2	KIAA0405	fibronectin leucine rich transmembrane protein 2	14	23768
hsa-miR-7	ZNF294	C21orf10|C21orf98|FLJ11053|KIAA0714|RNF160	zinc finger protein 294	21	26046
hsa-miR-7	C2orf24	CGI-57	chromosome 2 open reading frame 24	2	27013
hsa-miR-7	SERP1	MGC117327|MGC133321|MGC133322|RAMP4	stress-associated endoplasmic reticulum protein 1	3	27230
hsa-miR-7	GLI3	ACLS|GCPS|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	7	2737
hsa-miR-7	ZNF828	C13orf8|FLJ90413|KIAA1802	zinc finger protein 828	13	283489
hsa-miR-7	C1orf104	FLJ35976|RP11-21N7.3	chromosome 1 open reading frame 104	1	284618
hsa-miR-7	HDLBP	FLJ16432|HBP|PRO2900|VGL	high density lipoprotein binding protein (vigilin)	2	3069
hsa-miR-7	HELLS	FLJ10339|LSH|Nbla10143|PASG|SMARCA6	helicase, lymphoid-specific	10	3070
hsa-miR-7	TMEM110	DKFZp667E1121|MGC52022	transmembrane protein 110	3	375346
hsa-miR-7	RGS7BP	R7BP	regulator of G-protein signaling 7 binding protein	5	401190
hsa-miR-7	ADAM11	MDC	ADAM metallopeptidase domain 11	17	4185
hsa-miR-7	PAX6	AN|AN2|D11S812E|MGC17209|MGDA|WAGR	paired box 6	11	5080
hsa-miR-7	RNF141	MGC8715|ZFP26|ZNF230	ring finger protein 141	11	50862
hsa-miR-7	PBX3		pre-B-cell leukemia homeobox 3	9	5090
hsa-miR-7	IPO11	RanBP11|SLRN	importin 11	5	51194
hsa-miR-7	PHF21A	BHC80|BM-006|KIAA1696	PHD finger protein 21A	11	51317
hsa-miR-7	HPCAL4	DKFZp761G122|HLP4	hippocalcin like 4	1	51440
hsa-miR-7	PLP2	A4|A4-LSB|MGC126187	proteolipid protein 2 (colonic epithelium-enriched)	X	5355
hsa-miR-7	CCDC76	FLJ10287|FLJ11219	coiled-coil domain containing 76	1	54482
hsa-miR-7	ATRX	ATR2|MGC2094|MRXHF1|RAD54|RAD54L|SFM1|SHS|XH2|XNP|ZNF-HX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	X	546
hsa-miR-7	TMED9	HSGP25L2G	transmembrane emp24 protein transport domain containing 9	5	54732
