P-value	FDR	Fold-change (Slug/Neo Control)	Probe set	Gene symbol	Description
4.41E-05	0.000196	0.149	225792_at	HOOK1	hook homolog 1 (Drosophila)
7.20E-06	8.26E-05	0.146	219429_at	FA2H	fatty acid 2-hydroxylase
5.90E-05	0.0002369	0.146	227048_at	LAMA1	laminin, alpha 1
3.64E-05	0.0001789	0.145	231929_at	IKZF2	IKAROS family zinc finger 2 (Helios)
2.80E-06	6.21E-05	0.145	216905_s_at	ST14	suppression of tumorigenicity 14 (colon carcinoma)
0.0001556	0.0004311	0.143	235852_at	STON2	stonin 2
4.00E-06	6.75E-05	0.143	205190_at	PLS1	plastin 1 (I isoform)
6.00E-07	4.84E-05	0.14	227985_at	NA	NA
3.14E-05	0.0001682	0.14	227899_at	VIT	vitrin
0.0008798	0.0015159	0.139	224407_s_at	RP6-213H19.1	serine/threonine protein kinase MST4
2.48E-05	0.0001493	0.136	223278_at	GJB2	gap junction protein, beta 2, 26kDa
8.86E-05	0.0003063	0.136	218990_s_at	SPRR3	small proline-rich protein 3
2.15E-05	0.0001389	0.136	204364_s_at	REEP1	receptor accessory protein 1
0.0002499	0.0006074	0.136	212093_s_at	MTUS1	mitochondrial tumor suppressor 1
7.65E-05	0.0002808	0.135	239155_at	CXADRP1	coxsackie virus and adenovirus receptor pseudogene 1
0.000122	0.0003683	0.132	203798_s_at	VSNL1	visinin-like 1
3.80E-06	6.75E-05	0.128	209792_s_at	KLK10	kallikrein-related peptidase 10
1.03E-05	9.66E-05	0.126	228051_at	LOC202451	hypothetical protein LOC202451
0.000527	0.0010299	0.124	201688_s_at	TPD52	tumor protein D52
5.90E-06	7.80E-05	0.117	201130_s_at	CDH1	cadherin 1, type 1, E-cadherin (epithelial)
4.00E-06	6.75E-05	0.113	238513_at	PRRG4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
8.38E-05	0.0002992	0.11	1555731_a_at	AP1S3	adaptor-related protein complex 1, sigma 3 subunit
1.60E-06	5.65E-05	0.109	213050_at	COBL	cordon-bleu homolog (mouse)
3.00E-07	3.57E-05	0.101	204469_at	PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1
2.25E-05	0.0001414	0.099	215465_at	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12
2.41E-05	0.0001473	0.099	212224_at	ALDH1A1	aldehyde dehydrogenase 1 family, member A1
3.84E-05	0.0001843	0.099	239196_at	ANKRD22	ankyrin repeat domain 22
3.45E-05	0.0001761	0.098	205306_x_at	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
3.74E-05	0.0001826	0.097	37892_at	COL11A1	collagen, type XI, alpha 1
1.10E-06	5.65E-05	0.094	211138_s_at	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
3.00E-07	3.57E-05	0.091	218966_at	MYO5C	myosin VC
3.50E-06	6.75E-05	0.088	202718_at	IGFBP2	insulin-like growth factor binding protein 2, 36kDa
8.00E-07	5.36E-05	0.088	207935_s_at	KRT13	keratin 13
1.90E-06	5.65E-05	0.087	222830_at	GRHL1	grainyhead-like 1 (Drosophila)
1.55E-05	0.000118	0.082	205064_at	SPRR1B	small proline-rich protein 1B (cornifin)
1.50E-06	5.65E-05	0.082	203571_s_at	C10orf116	chromosome 10 open reading frame 116
3.80E-05	0.0001836	0.078	203453_at	SCNN1A	sodium channel, nonvoltage-gated 1 alpha
6.30E-06	7.96E-05	0.075	211361_s_at	SERPINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13
1.11E-05	0.0001004	0.073	205569_at	LAMP3	lysosomal-associated membrane protein 3
9.60E-06	9.41E-05	0.071	238439_at	ANKRD22	ankyrin repeat domain 22
1.90E-06	5.65E-05	0.068	215692_s_at	MPPED2	metallophosphoesterase domain containing 2
4.70E-06	7.04E-05	0.063	217272_s_at	SERPINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13
1.00E-07	3.57E-05	0.042	209173_at	AGR2	anterior gradient homolog 2 (Xenopus laevis)
7.80E-06	8.44E-05	0.036	205413_at	MPPED2	metallophosphoesterase domain containing 2
< 1e-07	< 1e-07	0.032	231771_at	GJB6	gap junction protein, beta 6, 30kDa
2.70E-06	6.21E-05	0.028	213240_s_at	KRT4	keratin 4
