Genbank	0.1mM Ibu Ratio	0.1mM Ibu P-value	Description
NM_002358	0.26	0.002	MAD2 mitotic arrest deficient-like 1 (yeast)
AA804272	0.26	0.001	Delta-like 1 homolog (Drosophila)
NM_016240	0.26	0.012	scavenger receptor class A, member 3
NM_012428	0.26	0.016	neuroplastin
BX537720	0.26	0.007	Growth factor receptor-bound protein 2
AI261983	0.26	0.021	5-hydroxytryptamine (serotonin) receptor 1B
BM692344	0.26	0.005	Solute carrier family 40 (iron-regulated transporter), member 1
AA278504	0.26	0.0001	Cell division cycle associated 2
AA812932	0.26	0.002	KIAA1822-like
NM_007296	0.26	0.007	breast cancer 1, early onset
BU171278	0.25	0.002	Brain and reproductive organ-expressed (TNFRSF1A modulator)
NM_014264	0.25	0.001	polo-like kinase 4 (Drosophila)
NM_006739	0.25	0.019	MCM5 minichromosome maintenance deficient 5, cell division cycle 46
AW274886	0.25	0.016	Group-specific component (vitamin D binding protein)
AV709391	0.25	0.013	Cell division cycle 2, G1 to S and G2 to M
AI141530	0.25	0.011	Clone TEE3 Cri-du-chat critical region mRNA
NM_020393	0.25	0.010	peptidoglycan recognition protein 4
NM_007280	0.25	0.001	Opa interacting protein 5
BE769276	0.25	0.001	STEAP family member 3
AI554726	0.25	0.016	EH domain binding protein 1
BQ350534	0.25	0.002	Homeobox A9
NM_004079	0.25	0.030	cathepsin S
AW136408	0.25	0.001	Dickkopf homolog 1 (Xenopus laevis)
NM_006596	0.25	0.002	polymerase (DNA directed), theta
NM_004203	0.25	0.0003	protein kinase, membrane associated tyrosine/threonine 1
NM_005841	0.25	0.016	sprouty homolog 1, antagonist of FGF signaling (Drosophila)
NM_000961	0.25	0.003	prostaglandin I2 (prostacyclin) synthase
NM_024908	0.25	0.0003	WD repeat domain 76
NM_007086	0.25	0.005	WD repeat and HMG-box DNA binding protein 1
BQ109318	0.25	0.018	Glucose phosphate isomerase
NM_002250	0.25	0.001	potassium intermediate/small conductance calcium-activated channel
NM_003658	0.25	0.009	BarH-like homeobox 2
AL831928	0.24	0.003	Brain and reproductive organ-expressed (TNFRSF1A modulator)
BE549688	0.24	0.005	Periplakin
NM_144999	0.24	0.013	leucine rich repeat containing 45
NM_000135	0.24	0.028	Fanconi anemia, complementation group A
NM_002388	0.24	0.007	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)
AK093762	0.24	0.001	ankyrin repeat domain 11
NM_002658	0.24	0.007	plasminogen activator, urokinase
NM_004369	0.24	0.0003	collagen, type VI, alpha 3
AA808221	0.24	0.012	Chromosome 21 open reading frame 57
BF510622	0.24	0.014	Nuclear factor of activated T-cells 5, tonicity-responsive
BF592620	0.24	0.002	Laminin, beta 1
NM_018131	0.24	0.001	centrosomal protein 55kDa
BM967329	0.24	0.006	CD44 molecule (Indian blood group)
AW956266	0.24	0.011	Calcium regulated heat stable protein 1, 24kDa
CD357467	0.24	0.029	Butyrylcholinesterase
NM_001761	0.24	0.002	cyclin F
NM_032761	0.24	0.018	hypothetical protein MGC16075
AL713694	0.24	0.004	Polymerase (DNA directed), epsilon
BX099165	0.24	0.003	WD repeat domain 33
BG164964	0.24	0.003	Polycystic kidney disease 2 (autosomal dominant)
BX109924	0.24	0.010	Thrombospondin 3
NM_014109	0.24	0.007	ATPase family, AAA domain containing 2
T27157	0.24	0.041	ATPase, H+ transporting, lysosomal V0 subunit a1
NM_007317	0.24	0.0003	kinesin family member 22
AL110264	0.23	0.006	DENN/MADD domain containing 3
NM_022748	0.23	0.023	tensin 3
W74741	0.23	0.009	CDNA clone IMAGE:4842353
NM_006681	0.23	0.008	neuromedin U
NM_004059	0.23	0.006	cysteine conjugate-beta lyase; cytoplasmic
BU180997	0.23	0.025	Breast cancer anti-estrogen resistance 3
AW020111	0.23	0.001	ADAM metallopeptidase with thrombospondin type 1 motif, 8
NM_032717	0.23	0.034	lysophosphatidic acid acyltransferase theta
BC019078	0.23	0.006	Ankyrin repeat domain 25
NM_004172	0.23	0.005	solute carrier family 1 (glial high affinity glutamate transporter), member 3
NM_012415	0.23	0.001	RAD54 homolog B (S. cerevisiae)
NM_003503	0.23	0.0001	CDC7 cell division cycle 7 (S. cerevisiae)
NM_030760	0.23	0.011	endothelial differentiation, sphingolipid G-protein-coupled receptor, 8
NM_021078	0.23	0.021	GCN5 general control of amino-acid synthesis 5-like 2 (yeast)
AW068242	0.23	0.003	Achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)
NM_032242	0.23	0.014	plexin A1
BF514016	0.23	0.005	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
AK095432	0.23	0.032	CD33 molecule-like 3
BU951170	0.23	0.0001	Mannosidase, alpha, class 1A, member 2
NM_138698	0.23	0.007	prematurely terminated mRNA decay factor-like
NM_007057	0.23	0.005	ZW10 interactor
BX096173	0.23	0.012	C-myc binding protein
N64814	0.23	0.020	Chromosome 21 open reading frame 34
NM_006143	0.23	0.002	G protein-coupled receptor 19
R42039	0.22	0.017	Neuregulin 1
NM_014220	0.22	0.007	transmembrane 4 L six family member 1
NM_001810	0.22	0.002	centromere protein B, 80kDa
NM_033084	0.22	0.025	Fanconi anemia, complementation group D2
BC020389	0.22	0.008	tyrosine kinase, non-receptor, 2
BQ082491	0.22	0.008	Zinc finger protein 609
NM_001062	0.22	0.0005	transcobalamin I (vitamin B12 binding protein, R binder family)
BC014228	0.22	0.003	prohibitin pseudogene
NM_015270	0.22	0.003	adenylate cyclase 6
NM_025048	0.22	0.004	G protein-coupled receptor 110
NM_052942	0.22	0.046	guanylate binding protein 5
AW020549	0.22	0.017	Linker for activation of T cells family, member 2
NM_001175	0.22	0.002	Rho GDP dissociation inhibitor (GDI) beta
BU615849	0.22	0.001	Sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1
NM_015493	0.22	0.001	ankyrin repeat domain 25
NM_025047	0.22	0.004	ADP-ribosylation factor-like 14
CK000484	0.22	0.048	Family with sequence similarity 111, member A
NM_172037	0.22	0.004	retinol dehydrogenase 10 (all-trans)
NM_000550	0.22	0.023	tyrosinase-related protein 1
BI497073	0.22	0.003	CDNA: FLJ23130 fis, clone LNG08419
NM_022074	0.22	0.002	family with sequence similarity 111, member A
NM_001333	0.22	0.002	cathepsin L2
BU959813	0.22	0.029	Thrombospondin 1
CD048516	0.22	0.002	Leucine proline-enriched proteoglycan (leprecan) 1
NM_138698	0.22	0.001	prematurely terminated mRNA decay factor-like
NM_006342	0.22	0.0002	transforming, acidic coiled-coil containing protein 3
NM_020238	0.22	0.008	inner centromere protein antigens 135/155kDa
BC041482	0.21	0.049	Homo sapiens, clone IMAGE:5403381, mRNA
NM_004702	0.21	0.004	cyclin E2
NM_006032	0.21	0.005	copine VI (neuronal)
AF052177	0.21	0.016	glutamate receptor interacting protein 2
AK127442	0.21	0.011	SH3 domain and tetratricopeptide repeats 2
BX538242	0.21	0.027	Forkhead box P1
NM_004772	0.21	0.0002	chromosome 5 open reading frame 13
BU626144	0.21	0.014	Neuregulin 1
BC008941	0.21	0.002	slingshot homolog 2 (Drosophila)
BC002966	0.21	0.048	Hyaluronan-mediated motility receptor (RHAMM)
BF059678	0.21	0.001	Dystrobrevin, alpha
H83208	0.21	0.017	Transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
NM_017957	0.21	0.003	epsin 3
NM_020675	0.21	0.002	spindle pole body component 25 homolog (S. cerevisiae)
NM_006306	0.21	0.00001	structural maintenance of chromosomes 1A
BF510634	0.21	0.008	Chromosome 9 open reading frame 31
NM_030928	0.21	0.039	chromatin licensing and DNA replication factor 1
NM_004480	0.21	0.006	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
BC034825	0.21	0.020	Homo sapiens, clone IMAGE:5165521, mRNA
AL080033	0.21	0.001	Translocase of outer mitochondrial membrane 22 homolog (yeast)
BX098671	0.21	0.006	Nuclear receptor co-repressor 1
BG211832	0.21	0.006	Protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)
U06863	0.21	0.001	follistatin-like 1
NM_004625	0.20	0.002	wingless-type MMTV integration site family, member 7A
NM_012112	0.20	0.014	TPX2, microtubule-associated, homolog (Xenopus laevis)
NM_003981	0.20	0.0002	protein regulator of cytokinesis 1
NM_031966	0.20	0.006	cyclin B1
NM_002965	0.20	0.006	S100 calcium binding protein A9
NM_022346	0.20	0.003	non-SMC condensin I complex, subunit G
NM_018186	0.20	0.005	chromosome 1 open reading frame 112
BF431882	0.20	0.010	Syntaxin 11
NM_003105	0.20	0.003	sortilin-related receptor, L(DLR class) A repeats-containing
AI968035	0.20	0.013	Complexin 2
BC014851	0.20	0.028	lunatic fringe homolog (Drosophila)
NM_004856	0.20	0.040	kinesin family member 23
BM998739	0.20	0.012	C-myc binding protein
NM_006021	0.20	0.0004	deleted in lymphocytic leukemia, 2
NM_020311	0.19	0.002	chemokine orphan receptor 1
BM285393	0.19	0.002	CD44 molecule (Indian blood group)
NM_002692	0.19	0.003	polymerase (DNA directed), epsilon 2 (p59 subunit)
NM_016448	0.19	0.0003	denticleless homolog (Drosophila)
AA631906	0.19	0.001	Cytochrome P450, family 24, subfamily A, polypeptide 1
NM_003896	0.19	0.010	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
NM_004154	0.19	0.011	pyrimidinergic receptor P2Y, G-protein coupled, 6
BC002881	0.19	0.043	chromosome 15 open reading frame 42
NM_030754	0.19	0.019	serum amyloid A2
BM454950	0.19	0.010	Ets variant gene 1
BF508354	0.19	0.005	Chromosome 21 open reading frame 58
NM_005459	0.19	0.013	guanylate cyclase activator 1C
BF087429	0.19	0.038	Sodium channel, nonvoltage-gated 1 alpha
NM_032032	0.19	0.001	FKSG42
NM_000496	0.19	0.008	crystallin, beta B2
AK127442	0.19	0.007	SH3 domain and tetratricopeptide repeats 2
AK074272	0.19	0.006	RAD54 homolog B (S. cerevisiae)
AI306597	0.18	0.004	Metaxin 2
NM_004636	0.18	0.007	sema domain, immunoglobulin domain (Ig)
AK095096	0.18	0.001	CDNA FLJ34964 fis, clone NTONG2004095
BX283766	0.18	0.002	Peroxisome proliferative activated receptor, gamma
NM_007174	0.18	0.002	citron (rho-interacting, serine/threonine kinase 21)
BC042366	0.18	0.009	Protocadherin 9
NM_152633	0.18	0.003	Fanconi anemia, complementation group B
NM_144590	0.18	0.002	ankyrin repeat domain 22
NM_014708	0.18	0.009	kinetochore associated 1
NM_031423	0.18	0.024	cell division cycle associated 1
NM_012387	0.18	0.008	peptidyl arginine deiminase, type IV
NM_005585	0.18	0.044	SMAD, mothers against DPP homolog 6 (Drosophila)
NM_016354	0.18	0.006	solute carrier organic anion transporter family, member 4A1
BC014575	0.18	0.008	Mucin 19, oligomeric
BX640713	0.18	0.003	PHD finger protein 19
NM_001813	0.18	0.002	centromere protein E, 312kDa
BQ425104	0.18	0.008	Erythroblast membrane-associated protein (Scianna blood group)
NM_017779	0.18	0.010	DEP domain containing 1
NM_182487	0.18	0.003	olfactomedin-like 2A
NM_001445	0.18	0.002	fatty acid binding protein 6, ileal (gastrotropin)
BM665616	0.18	0.015	Annexin A6
NM_007019	0.18	0.002	ubiquitin-conjugating enzyme E2C
NM_001168	0.18	0.001	baculoviral IAP repeat-containing 5 (survivin)
H80713	0.17	0.004	Zinc finger protein 219
BU507826	0.17	0.0001	Spire homolog 1 (Drosophila)
BI049362	0.17	0.0001	High-mobility group box 3
NM_007243	0.17	0.003	nurim (nuclear envelope membrane protein)
AI148006	0.17	0.022	C-myc binding protein
AI341563	0.17	0.0003	RAD54 homolog B (S. cerevisiae)
NM_006182	0.17	0.001	discoidin domain receptor family, member 2
BX091276	0.17	0.265	Phosphoprotein associated with glycosphingolipid microdomains 1
NM_002776	0.17	0.003	kallikrein 10
BX118770	0.17	0.010	Apelin, AGTRL1 ligand
NM_153363	0.17	0.009	zinc finger protein 679
NM_004701	0.17	0.0001	cyclin B2
NM_016229	0.17	0.00003	cytochrome b5 reductase 2
NM_021044	0.17	0.020	desert hedgehog homolog (Drosophila)
NM_005914	0.17	0.011	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
AI623139	0.17	0.002	Electron-transferring-flavoprotein dehydrogenase
NM_015686	0.17	0.002	transmembrane protein 28
BX113144	0.17	0.002	F-box and leucine-rich repeat protein 7
NM_018492	0.17	0.001	PDZ binding kinase
NM_003823	0.17	0.0002	tumor necrosis factor receptor superfamily, member 6b, decoy
NM_024857	0.17	0.044	chromosome 17 open reading frame 41
BC042893	0.17	0.004	Laminin, gamma 2
NM_024508	0.16	0.027	zinc finger, BED-type containing 2
NM_003500	0.16	0.003	acyl-Coenzyme A oxidase 2, branched chain
NM_024745	0.16	0.013	SHC SH2-domain binding protein 1
NM_000774	0.16	0.001	cytochrome P450, family 2, subfamily F, polypeptide 1
NM_006065	0.16	0.005	signal-regulatory protein beta 1
AI630319	0.16	0.001	Similar to family with sequence similarity 72, member A
AI797163	0.16	0.005	Structural maintenance of chromosomes 4
NM_004878	0.16	0.007	prostaglandin E synthase
U88897	0.16	0.00001	Myelin oligodendrocyte glycoprotein
NM_004153	0.16	0.003	origin recognition complex, subunit 1-like (yeast)
NM_024087	0.16	0.001	ankyrin repeat and SOCS box-containing 9
NM_006479	0.16	0.001	RAD51 associated protein 1
NM_005329	0.16	0.0003	hyaluronan synthase 3
AW977068	0.16	0.014	CD46 molecule, complement regulatory protein
NM_005769	0.16	0.0004	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4
BF326784	0.16	0.008	Albumin
BU558185	0.16	0.010	Full length insert cDNA clone YQ07A04
AK026802	0.16	0.005	c-mer proto-oncogene tyrosine kinase
NM_003579	0.16	0.006	RAD54-like (S. cerevisiae)
NM_003600	0.16	0.003	aurora kinase A
NM_004753	0.15	0.00003	dehydrogenase/reductase (SDR family) member 3
NM_003155	0.15	0.027	stanniocalcin 1
NM_002974	0.15	0.0002	serpin peptidase inhibitor, clade B (ovalbumin), member 4
NM_033439	0.15	0.011	chromosome 9 open reading frame 26 (NF-HEV)
NM_014783	0.15	0.0001	Rho GTPase activating protein 11A
NM_003318	0.15	0.003	TTK protein kinase
NM_004336	0.15	0.006	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
AI797876	0.15	0.014	Family with sequence similarity 7, member A2
NM_018556	0.15	0.005	signal-regulatory protein gamma
NM_002497	0.15	0.0003	NIMA (never in mitosis gene a)-related kinase 2
NM_013385	0.15	0.005	pleckstrin homology, Sec7 and coiled-coil domains 4
NM_020242	0.15	0.0002	kinesin family member 15
NM_018248	0.15	0.001	nei endonuclease VIII-like 3 (E. coli)
D88153	0.15	0.004	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A)
NM_001150	0.15	0.009	alanyl (membrane) aminopeptidase ( CD13, p150)
NM_012310	0.15	0.003	kinesin family member 4A
NM_012291	0.14	0.012	extra spindle poles like 1 (S. cerevisiae)
AI632791	0.14	0.005	Tumor necrosis factor, alpha-induced protein 8
AK092533	0.14	0.033	mucin 6, oligomeric mucus/gel-forming
BQ323267	0.14	0.001	5-nucleotidase domain containing 4
NM_030762	0.14	0.001	basic helix-loop-helix domain containing, class B, 3
NM_182513	0.14	0.005	spindle pole body component 24 homolog (S. cerevisiae)
NM_003239	0.14	0.005	transforming growth factor, beta 3
NM_006762	0.14	0.001	lysosomal associated multispanning membrane protein 5
AI919317	0.14	0.0001	Guanine nucleotide binding protein (G protein) alpha 12
NM_014865	0.14	0.019	non-SMC condensin I complex, subunit D2
AW173135	0.14	0.003	Chorionic somatomammotropin hormone 2
NM_152308	0.14	0.001	chromosome 16 open reading frame 75
AL832666	0.14	0.006	establishment of cohesion 1 homolog 2 (S. cerevisiae)
AK021443	0.14	0.0001	Helicase, lymphoid-specific
AF274048	0.14	0.039	ubiquitin-like, containing PHD and RING finger domains, 1
BX119090	0.14	0.010	Gamma-aminobutyric acid (GABA) A receptor, pi
NM_002318	0.14	0.000002	lysyl oxidase-like 2
NM_001211	0.14	0.001	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
NM_178822	0.14	0.016	immunoglobulin superfamily, member 10
U94354	0.13	0.0001	lunatic fringe homolog (Drosophila)
AA318707	0.13	0.008	S100 calcium binding protein A9 (calgranulin B)
NM_024680	0.13	0.000005	E2F transcription factor 8
AW845032	0.13	0.016	Solute carrier organic anion transporter family, member 4A1
NM_014875	0.13	0.002	kinesin family member 14
BC020846	0.13	0.003	RAD51-like 1 (S. cerevisiae)
NM_001809	0.13	0.005	centromere protein A
NM_005573	0.13	0.005	lamin B1
NM_020223	0.13	0.026	family with sequence similarity 20, member C
NM_000710	0.13	0.0003	bradykinin receptor B1
NM_018685	0.13	0.001	anillin, actin binding protein
NM_001790	0.13	0.0002	cell division cycle 25C
AW452086	0.13	0.004	Polymerase (DNA directed), alpha
NM_004186	0.13	0.034	sema domain, immunoglobulin domain (Ig), short basic domain
NM_001756	0.13	0.005	serpin peptidase inhibitor, clade A
NM_152524	0.13	0.0002	shugoshin-like 2 (S. pombe)
NM_031894	0.13	0.001	ferritin, heavy polypeptide-like 17
NM_006733	0.13	0.00003	centromere protein I
BX118455	0.12	0.012	Plasminogen activator, tissue
AA768841	0.12	0.047	Mitogen-activated protein kinase kinase 4
NM_016233	0.12	0.003	peptidyl arginine deiminase, type III
NM_002243	0.12	0.008	potassium inwardly-rectifying channel, subfamily J, member 15
NM_020299	0.12	0.045	aldo-keto reductase family 1, member B10 (aldose reductase)
NM_005030	0.12	0.0001	polo-like kinase 1 (Drosophila)
NM_080805	0.12	0.0004	collagen, type XIII, alpha 1
NM_153840	0.12	0.005	G protein-coupled receptor 110
NM_182494	0.12	0.040	family with sequence similarity 26, member A
AK095432	0.12	0.002	CD33 molecule-like 3
NM_018674	0.12	0.0003	amiloride-sensitive cation channel 4, pituitary
BU146732	0.11	0.001	Pvt1 oncogene homolog, MYC activator (mouse)
NM_020190	0.11	0.004	olfactomedin-like 3
NM_002185	0.11	0.0001	interleukin 7 receptor
NM_018518	0.11	0.004	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)
NM_012484	0.11	0.0001	hyaluronan-mediated motility receptor (RHAMM)
NM_015341	0.11	0.00002	non-SMC condensin I complex, subunit H
NM_001262	0.11	0.002	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)
NM_017509	0.11	0.002	kallikrein 15
NM_021643	0.11	0.000004	tribbles homolog 2 (Drosophila)
NM_001716	0.11	0.003	Burkitt lymphoma receptor 1, GTP binding protein
BM673403	0.11	0.008	Proline/serine-rich coiled-coil 1
NM_031299	0.11	0.0001	cell division cycle associated 3
NM_020380	0.11	0.028	AF15q14 protein
NM_000900	0.11	0.016	matrix Gla protein
NM_173623	0.11	0.002	tubulin tyrosine ligase-like family, member 6
NM_004753	0.11	0.003	dehydrogenase/reductase (SDR family) member 3
NM_080668	0.11	0.0001	cell division cycle associated 5
AA937084	0.11	0.007	Nucleoporin 214kDa
AK123891	0.10	0.006	Vaccinia related kinase 3
AA662240	0.10	0.001	Cancer susceptibility candidate 5
NM_016343	0.10	0.0002	centromere protein F, 350/400ka (mitosin)
NM_006461	0.10	0.0003	sperm associated antigen 5
NM_000797	0.10	0.001	dopamine receptor D4
NM_001786	0.10	0.0005	cell division cycle 2, G1 to S and G2 to M
CD356138	0.10	0.001	Small nuclear RNA activating complex, polypeptide 2, 45kDa
NM_014508	0.10	0.001	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C
AI971369	0.10	0.006	Pregnancy specific beta-1-glycoprotein 9
BF058471	0.09	0.003	RCC1 domain containing 1
NM_016426	0.09	0.012	G-2 and S-phase expressed 1
NM_004900	0.09	0.0004	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
NM_006101	0.09	0.000003	kinetochore associated 2
NM_030919	0.09	0.002	family with sequence similarity 83, member D
AW298047	0.09	0.013	Kinesin family member C1
NM_016359	0.09	0.0001	nucleolar and spindle associated protein 1
BQ446634	0.09	0.001	Myosin VIIA and Rab interacting protein
S81734	0.09	0.0004	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
NM_003241	0.09	0.0001	transglutaminase 4 (prostate)
CB215343	0.09	0.0003	Nephronophthisis 4
NM_004217	0.09	0.0002	aurora kinase B
NM_005602	0.09	0.0002	claudin 11 (oligodendrocyte transmembrane protein)
NM_004523	0.09	0.0005	kinesin family member 11
NM_144707	0.09	0.001	prominin 2
NM_002559	0.09	0.005	purinergic receptor P2X, ligand-gated ion channel, 3
NM_031415	0.09	0.045	melanoma-derived leucine zipper, extra-nuclear factor
R42678	0.08	0.001	Formin-like 1
AW248516	0.08	0.006	G protein-coupled receptor 126
BG539998	0.08	0.000	Signal-regulatory protein beta 2
BX098173	0.08	0.001	Chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)
AK097298	0.08	0.003	CDNA FLJ39979 fis, clone SPLEN2030397
AA633230	0.08	0.002	Cerebral cavernous malformation 2
AI739024	0.08	0.040	Zinc finger protein 462
NM_021822	0.08	0.008	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G
CD358053	0.08	0.001	Cytochrome P450, family 19, subfamily A, polypeptide 1
NM_001034	0.07	0.0002	ribonucleotide reductase M2 polypeptide
NM_018154	0.07	0.001	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)
NM_032636	0.07	0.000002	proline/serine-rich coiled-coil 1
NM_012391	0.07	0.004	SAM pointed domain containing ets transcription factor
NM_020889	0.07	0.003	PHD finger protein 12
T40921	0.07	0.002	Protein tyrosine phosphatase, receptor type, A
CF139543	0.07	0.0003	Cyclin A2
NM_000602	0.07	0.005	serpin peptidase inhibitor, clade E
NM_006845	0.06	0.0001	kinesin family member 2C
NM_005368	0.06	0.002	myoglobin
NM_005733	0.06	0.001	kinesin family member 20A
NM_001067	0.06	0.0002	topoisomerase (DNA) II alpha 170kDa
NM_000624	0.06	0.021	serpin peptidase inhibitor, clade A
NM_014750	0.06	0.004	discs, large homolog 7 (Drosophila)
NM_018136	0.06	0.003	asp (abnormal spindle)-like, microcephaly associated (Drosophila)
AB007971	0.06	0.0001	MRNA, chromosome 1 specific transcript KIAA0502
BQ632385	0.05	0.001	Hydrogen voltage-gated channel 1
NM_000623	0.05	0.0004	bradykinin receptor B2
AI640472	0.05	0.002	Lipase-like, ab-hydrolase domain containing 3
NM_002118	0.05	0.003	major histocompatibility complex, class II, DM beta
NM_025049	0.05	0.0001	chromosome 15 open reading frame 20
BF510526	0.05	0.002	Dehydrogenase/reductase (SDR family) member 3
AW151660	0.05	0.00002	Regulator of G-protein signalling 3
BF057280	0.05	0.024	Dehydrogenase/reductase (SDR family) member 3
NM_002341	0.04	0.001	lymphotoxin beta (TNF superfamily, member 3)
NM_002964	0.04	0.0005	S100 calcium binding protein A8
AI214482	0.04	0.004	Eukaryotic translation initiation factor 5
NM_004321	0.04	0.001	kinesin family member 1A
AK002208	0.04	0.002	NPC-A-5
W60880	0.04	0.001	Chromosome 15 open reading frame 20
NM_005411	0.04	0.036	surfactant, pulmonary-associated protein A1
NM_002546	0.04	0.0002	tumor necrosis factor receptor superfamily (osteoprotegerin)
BF741385	0.04	0.001	SAPS domain family, member 3
CD677650	0.04	0.017	Glucose-fructose oxidoreductase domain containing 2
BE468138	0.03	0.004	Echinoderm microtubule associated protein like 4
BQ447410	0.03	0.001	Myosin XVA
CD723798	0.03	0.002	Family with sequence similarity 20, member C
NM_004091	0.03	0.0003	E2F transcription factor 2
CA948963	0.02	0.002	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6
NM_182548	0.02	0.0002	lipoma HMGIC fusion partner-like 5
BE717955	0.02	0.0005	NPC-A-5
AA682722	0.01	0.002	La ribonucleoprotein domain family, member 1
AI792180	0.01	0.0001	Signal-regulatory protein beta 1
