Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.12h_Signal	L3.12h_Signal	L4.12h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
211195_s_at	TP73L	0.019236	tumor protein p73-like	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	1.01	0.59	0.9	-1.57	-0.42	-0.32
211455_at	EIF3S5	0.033268	eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa	protein biosynthesis	translation initiation factor activity	eukaryotic translation initiation factor 3 complex	Translation_Factors	GENMAPP/KEGG	0.99	-0.11	1.87	-1.02	-1.39	-0.68
211483_x_at	CAMK2B	0.014599	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	protein amino acid phosphorylation	protein serine/threonine kinase activity	 	 	 	0.56	0.36	1.76	-0.98	-1.19	-0.77
211517_s_at	IL5RA	0.041426	interleukin 5 receptor, alpha	signal transduction	receptor activity	extracellular space	Inflammatory_Response_Pathway	GENMAPP/KEGG	0.48	0.51	1.96	-1.33	-1.64	-0.1
211678_s_at	MEG3	0.037877	maternally expressed 3	 	 	 	 	 	-0.06	0.79	0.9	-0.17	-0.79	-0.7
211704_s_at	SPIN2	0.011419	spindlin family, member 2	regulation of cell cycle	 	 	 	 	0.32	0.86	0.57	-0.87	-0.17	-0.7
211771_s_at	POU2F2	0.00912	POU domain, class 2, transcription factor 2	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	1.18	0.99	0.2	-0.51	-1.06	-0.86
211779_x_at	AP2A2	0.024575	adaptor-related protein complex 2, alpha 2 subunit	intracellular protein transport	structural molecule activity	Golgi apparatus	 	 	1.14	0.26	0.21	-0.47	-0.72	-0.51
211815_s_at	GGA3	0.043074	golgi associated, gamma adaptin ear containing, ARF binding protein 3	intracellular protein transport	protein transporter activity	Golgi stack	 	 	0.21	0.44	0.19	-0.2	-0.02	-0.6
212050_at	WIRE	0.019167	WIRE protein	 	 	 	 	 	0.09	0.33	0.44	-0.22	-0.5	-0.14
212207_at	THRAP2	0.048517	thyroid hormone receptor associated protein 2	 	 	 	 	 	1.02	0.1	0.9	-0.08	-0.52	-1.34
212239_at	PIK3R1	0.017533	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	intracellular signaling cascade	phosphatidylinositol binding	phosphoinositide 3-kinase complex	 	 	0.38	0.51	1.9	-1.11	-0.79	-1.24
212275_s_at	SRCAP	0.012123	Snf2-related CBP activator protein	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	0.31	0.51	0.08	-0.29	-0.2	-0.41
212493_s_at	HYPB	0.043861	huntingtin interacting protein B	 	 	 	 	 	1.51	-0.29	1.31	-0.88	-1.33	-0.58
212496_s_at	JMJD2B	0.012644	jumonji domain containing 2B	 	 	 	 	 	0.86	0.09	0.64	-0.71	-0.37	-0.54
212527_at	D15Wsu75e	0.039169	DNA segment, Chr 15, Wayne State University 75, expressed	 	 	 	 	 	0.74	0.12	0.21	-0.43	-0.1	-0.55
212571_at	HELSNF1	0.023129	helicase with SNF2 domain 1	chromatin assembly/disassembly	chromatin binding	chromatin	 	 	0.35	0.29	0.3	-0.64	-0.07	-0.21
212662_at	PVR	0.038359	poliovirus receptor	 	receptor activity	extracellular space	 	 	0.03	0.12	0.34	-0.28	-0.13	-0.08
212792_at	KIAA0877	0.049593	KIAA0877 protein	 	 	 	 	 	0.41	-0.01	0.86	-0.31	-0.76	-0.21
212870_at	RASSF3	0.031323	Ras association (RalGDS/AF-6) domain family 3	neuropeptide signaling pathway	 	 	 	 	0.18	0.93	0.89	-0.17	-0.51	-1.26
212919_at	DCP2	0.035472	decapping enzyme hDcp2	 	 	 	 	 	0.79	0.71	0.02	-0.09	-0.79	-0.64
213106_at	ATP8A1	0.025059	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1	cation transport	magnesium ion binding	integral to membrane	Peptide_GPCRs	GENMAPP/KEGG	0.29	0.86	1.04	-0.73	-0.1	-1.29
213208_at	KIAA0240	0.024856	KIAA0240	 	 	 	 	 	0.73	0.03	0.79	-0.56	-0.21	-0.79
213313_at	RABGAP1	0.032974	G protein-coupled receptor 21	G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity	integral to plasma membrane	 	 	0.87	0.34	0.21	-0.13	-0.4	-0.87
213317_at	---	0.003028	MRNA; cDNA DKFZp564B076 (from clone DKFZp564B076)	 	 	 	 	 	0.63	1	1.79	-1.24	-0.96	-1.37
213521_at	PTPN18	0.020326	protein tyrosine phosphatase, non-receptor type 18 (brain-derived)	protein amino acid dephosphorylation	protein tyrosine phosphatase activity	 	 	 	0.83	0.7	-0.02	-0.54	-0.4	-0.61
213530_at	RAB3GAP	0.031025	RAB3 GTPase-ACTIVATING PROTEIN	 	 	 	 	 	0.36	0.27	1.64	-0.44	-1.07	-0.98
213600_at	SIPA1L3	0.03644	signal-induced proliferation-associated 1 like 3	 	 	 	 	 	0.7	0.25	0.14	-0.67	-0.12	-0.31
213737_x_at	DKFZp434P162	0.02242	hypothetical protein DKFZp434P162	 	 	 	 	 	0.86	1.34	0.19	-0.25	-0.91	-1.26
213804_at	INPP5B	0.002075	inositol polyphosphate-5-phosphatase, 75kDa	 	phosphoinositide 5-phosphatase activity	integral to membrane	Inositol phosphate metabolism	GENMAPP/KEGG	0.64	0.84	0.53	-0.97	-0.62	-0.41
213870_at	COL11A2	0.041932	collagen, type XI, alpha 2	skeletal development	extracellular matrix structural constituent conferring tensile strength	collagen	 	 	0.62	-0.02	1.51	-0.61	-1.19	-0.47
213875_x_at	C6orf62	0.034912	chromosome 6 open reading frame 62	 	 	 	 	 	1.32	-0.26	1.59	-0.76	-0.93	-1.26
213882_at	BBP	0.018787	beta-amyloid binding protein precursor	 	 	 	 	 	0.71	0.41	0.17	-0.11	-0.56	-0.63
213905_x_at	BGN	0.034448	biglycan	 	extracellular matrix structural constituent	extracellular matrix	 	 	-0.01	0.37	0.92	-0.56	-0.34	-0.43
214122_at	PDLIM7	0.041452	PDZ and LIM domain 7 (enigma)	receptor mediated endocytosis	protein binding	 	 	 	0.37	1.01	1.35	-1.2	-1.53	0.17
214161_at	C8orf1	0.01957	chromosome 8 open reading frame 1	meiosis	 	 	 	 	0.43	1.17	1.4	-1.54	-0.12	-1.22
214234_s_at	CYP3A5	0.00409	cytochrome P450, family 3, subfamily A, polypeptide 5	electron transport	monooxygenase activity	membrane fraction	Fatty acid metabolism	GENMAPP/KEGG	1.02	1.39	1.13	-1.46	-1.54	-0.38
214258_x_at	HTATIP	0.001835	HIV-1 Tat interacting protein, 60kDa	regulation of transcription, DNA-dependent	transcription coactivator activity	nucleus	 	 	0.46	0.25	0.21	-0.27	-0.28	-0.36
214334_x_at	DAZAP2	0.009422	DAZ associated protein 2	 	 	 	Circadian_Exercise	GENMAPP/KEGG	0.68	0.17	1.17	-0.62	-0.68	-0.8
214462_at	SOCS6	0.041341	suppressor of cytokine signaling 6	regulation of cell growth	 	cytoplasm	 	 	0.87	0.03	0.42	-0.51	-0.72	-0.12
214597_at	SSTR2	0.014331	somatostatin receptor 2	G-protein signaling, coupled to cyclic nucleotide second messenger	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	0.12	1.72	0.94	-0.88	-0.99	-1.17
214605_x_at	GPR1	0.043591	G protein-coupled receptor 1	G-protein coupled receptor protein signaling pathway	rhodopsin-like receptor activity	integral to plasma membrane	 	 	0.8	0.34	0.74	-1.35	-0.28	-0.11
214608_s_at	EYA1	0.009872	eyes absent homolog 1 (Drosophila)	regulation of transcription, DNA-dependent	magnesium ion binding	nucleus	 	 	0.26	0.98	1.3	-0.95	-0.48	-1.17
214645_at	C10orf42	0.044232	chromosome 10 open reading frame 42	 	 	 	 	 	1.57	-0.54	2.18	-1.28	-1.27	-1.4
214855_s_at	GARNL1	0.012377	GTPase activating RANGAP domain-like 1	 	 	 	 	 	0.72	0.18	0.8	-0.64	-0.84	-0.24
214906_x_at	CG018	0.008303	hypothetical gene CG018	 	 	 	 	 	0.31	1.44	0.76	-0.66	-0.85	-1.11
214911_s_at	BRD2	0.049696	bromodomain containing 2	spermatogenesis	protein serine/threonine kinase activity	nucleus	 	 	1.27	0.4	-0.04	-0.51	-0.84	-0.4
214984_at	LAT1-3TM	0.010432	 	 	 	 	 	 	0.21	0.21	0.66	-0.44	-0.35	-0.29
215152_at	MYB	0.048471	v-myb myeloblastosis viral oncogene homolog (avian)	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	0.53	0.22	0.86	0.13	-0.74	-0.95
215173_at	LOC123872	0.021546	similar to RIKEN cDNA 4930457P18	 	 	 	 	 	1.74	0.02	1.06	-1.25	-0.65	-1.18
215178_x_at	ASAHL	0.012403	N-acylsphingosine amidohydrolase (acid ceramidase)-like	 	hydrolase activity	 	 	 	0.81	1.16	0.17	-0.5	-0.65	-1.04
215222_x_at	MACF1	0.002448	microtubule-actin crosslinking factor 1	cell cycle arrest	actin binding	cytoskeleton	 	 	0.85	1	0.63	-1.15	-0.41	-0.89
215268_at	KIAA0754	0.022329	KIAA0754 protein	 	 	 	 	 	1.48	0.63	0.7	-0.06	-1.45	-1.21
215269_at	TMEM1	0.037675	transmembrane protein 1	transport	sodium ion transporter activity	endoplasmic reticulum	 	 	0.14	0.42	0.33	-0.41	0.05	-0.52
215289_at	---	0.0003	CDNA FLJ16360 fis, clone THYMU2028942, moderately similar to ZINC FINGER PROTEIN 132	 	 	 	 	 	0.84	0.57	0.66	-0.86	-0.6	-0.6
215358_x_at	ZNF37A	0.045909	zinc finger protein 37a (KOX 21)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	0.94	-0.18	1.72	-0.4	-1.1	-1.24
215391_at	MAP1A	0.003715	microtubule-associated protein 1A	 	structural molecule activity	microtubule associated complex	 	 	0.58	1	1.16	-1.05	-0.42	-1.23
215395_x_at	PRSS3	0.047643	protease, serine, 3 (mesotrypsin)	proteolysis and peptidolysis	chymotrypsin activity	extracellular	 	 	0.42	0.55	0.86	-0.9	-1.05	0.21
215397_x_at	---	0.01888	MRNA; cDNA DKFZp686P02129 (from clone DKFZp686P02129)	 	 	 	 	 	0.1	0.95	1.64	-1.21	-0.56	-1.12
215441_at	HUMPPA	0.004379	 	 	 	 	 	 	1.07	0.78	0.61	-0.33	-1.16	-0.93
215461_at	LOC148066	0.03953	zinc and ring finger 4	proteolysis and peptidolysis	peptidase activity	 	 	 	1.51	1.47	-0.3	-0.7	-0.93	-1.34
215523_at	---	0.009244	Similar to dJ153G14.3 (novel C2H2 type Zinc Finger protein) (LOC346157), mRNA	 	 	 	 	 	0.39	0.94	1.21	-0.32	-1.14	-1.08
215565_at	DTNB	0.033393	dystrobrevin, beta	 	 	 	 	 	2.32	0.26	0.34	-1.4	-1.31	-0.96
215576_at	---	0.032924	CDNA FLJ12004 fis, clone HEMBB1001564, moderately similar to VACUOLAR ATP SYNTHASE SUBUNIT H (EC 3.6.1.34)	 	 	 	 	 	-0.08	0.96	0.98	-0.53	-0.39	-0.99
215601_at	---	0.00464	CDNA FLJ13833 fis, clone THYRO1000676	 	 	 	 	 	1.18	0.42	1.54	-1.4	-1.01	-0.82
215636_at	RBAF600	0.03025	retinoblastoma-associated factor 600	 	zf-UBR1;ubiquitin-protein ligase activity;3e-26	 	 	 	1.68	0.36	0.3	-0.89	-0.47	-1.2
215828_at	---	0.028395	MRNA; cDNA DKFZp547C126 (from clone DKFZp547C126)	 	 	 	 	 	0.36	0.13	1.37	-0.81	-0.62	-0.59
216027_at		0.022523	hypothetical protein DJ971N18.2	electron transport	electron transporter activity	integral to membrane	 	 	0.4	1.37	0.69	-0.2	-0.82	-1.39
216030_s_at	SEMG2	0.040113	semenogelin II	 	 	extracellular space	 	 	0.28	1.78	0.18	-0.81	-1.14	-0.63
216071_x_at	TNRC11	0.026594	trinucleotide repeat containing 11 (THR-associated protein, 230kDa subunit)	regulation of transcription, DNA-dependent	receptor activity	mediator complex	 	 	0.62	0.43	0.7	-0.8	-0.97	0.08
216231_s_at	B2M	0.024769	beta-2-microglobulin	immune response	MHC class I receptor activity	extracellular	 	 	0.37	1.39	0.39	-0.37	-0.64	-1.2
216305_s_at	C2orf3	0.001227	chromosome 2 open reading frame 3	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	0.25	0.48	0.5	-0.46	-0.29	-0.48
216461_at	---	0.030082	 	 	 	 	 	 	1.15	0.18	0.94	-1.09	-1.1	-0.05
216486_x_at	ZNF79	0.034431	zinc finger protein 79 (pT7)	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	0.64	0.79	0.01	-0.57	-0.12	-0.76
216745_x_at	---	0.003722	CDNA: FLJ20953 fis, clone ADSE01979	 	 	 	 	 	0.24	0.42	0.42	-0.39	-0.17	-0.52
216842_x_at	RBMY1A1	0.004804	RNA binding motif protein, Y-linked, family 1, member A1	 	rrm;nucleic acid binding;1.7e-27	 	 	 	0.56	0.25	0.56	-0.22	-0.52	-0.62
217098_s_at	ZNF305	0.015545	zinc finger protein 305	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	0.43	0.09	0.74	-0.24	-0.46	-0.57
217155_at	RPL34P2	0.005468	ribosomal protein L34 pseudogene 2	 	 	 	 	 	0.97	2.02	0.54	-1.41	-1.34	-1.09
217383_at	PGK1	0.020038	phosphoglycerate kinase 1	glycolysis	phosphoglycerate kinase activity	 	Glycolysis / Gluconeogenesis	GENMAPP/KEGG	0.32	0.34	0.34	-0.02	-0.64	-0.33
217507_at	SLC11A1	0.006694	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	transport	transporter activity	membrane fraction	 	 	1.08	1.05	0.89	-1.22	-0.21	-1.43
217522_at	KCNV2	0.046224	potassium channel, subfamily V, member 2	cation transport	voltage-gated potassium channel activity	voltage-gated potassium channel complex	 	 	1.19	0.23	1.32	-1.48	-1.3	0.17
217536_x_at	---	0.00677	Transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]	 	 	 	 	 	0.96	0.63	1.64	-0.5	-1.32	-1.43
217614_at	HA-1	0.000962	minor histocompatibility antigen HA-1	intracellular signaling cascade	 	 	 	 	0.3	0.27	0.14	-0.26	-0.2	-0.25
217625_x_at	---	0.04461	Clone IMAGE:5229459, mRNA	 	 	 	 	 	0.64	-0.1	1.87	-0.57	-1.13	-1.1
217633_at	C21orf108	0.032698	chromosome 21 open reading frame 108	 	 	nucleus	 	 	0.07	0.93	1.56	-0.44	-0.68	-1.51
217636_at	POLG	0.037478	polymerase (DNA directed), gamma	DNA-dependent DNA replication	magnesium ion binding	mitochondrion	Purine metabolism	GENMAPP/KEGG	0.64	0.04	2.12	-0.62	-1.36	-1.31
217655_at	FXYD5	0.010587	FXYD domain containing ion transport regulator 5	ion transport	actin binding	integral to membrane	 	 	0.2	0.55	0.98	-0.42	-0.52	-0.81
217670_at	RPLP2	0.044513	ribosomal protein, large P2	protein biosynthesis	RNA binding	intracellular	Ribosomal_Proteins	GENMAPP/KEGG	-0.23	0.98	1.86	-1.3	-0.58	-1.09
217711_at	TEK	0.033089	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	 	 	 	 	 	0.25	0.3	2.05	-0.98	-1.23	-0.91
217808_s_at	MAPKAP1	0.005765	mitogen-activated protein kinase associated protein 1	 	Ras interactor activity	 	 	 	0.35	0.12	0.39	-0.41	-0.18	-0.27
218021_at	DHRS4	0.016273	dehydrogenase/reductase (SDR family) member 4	metabolism	carbonyl reductase (NADPH) activity	mitochondrion	 	 	0.37	0.86	0.25	-0.23	-0.8	-0.47
218153_at	FLJ12118	0.022864	hypothetical protein FLJ12118	cysteinyl-tRNA aminoacylation	cysteine-tRNA ligase activity	 	 	 	0.63	0.48	0.15	-0.69	-0.06	-0.5
218401_s_at	ZNF281	0.032611	zinc finger protein 281	negative regulation of transcription from Pol II promoter	DNA binding	nucleus	 	 	0.1	0.52	0.16	-0.42	-0.28	-0.09
218417_s_at	FLJ20489	0.041554	hypothetical protein FLJ20489	 	 	 	 	 	0.5	0.21	0.2	0.05	-0.54	-0.41
218533_s_at	URKL1	0.007892	uridine kinase-like 1	biosynthesis	uridine kinase activity	 	 	 	0.68	0.77	0.13	-0.65	-0.38	-0.58
218551_at	FLJ12438	0.021785	hypothetical protein FLJ12438	 	 	 	 	 	0.25	0.73	0.27	-0.71	-0.38	-0.15
218579_s_at	DHX35	0.017737	DEAH (Asp-Glu-Ala-His) box polypeptide 35	 	nucleic acid binding	 	 	 	0.65	0.99	1.39	-0.04	-1.4	-1.42
218628_at	CGI-116	0.005423	CGI-116 protein	 	 	 	 	 	0.77	0.41	0.73	-1.02	-0.44	-0.41
218651_s_at	FLJ11196	0.008673	acheron	 	RNA binding	nucleus	 	 	0.24	0.73	0.78	-0.34	-0.91	-0.5
218775_s_at	BOMB	0.009772	BH3-only member B protein	 	 	 	 	 	0.64	0.99	0.27	-0.72	-0.29	-0.9
219041_s_at	REPIN1	0.004994	replication initiator 1	DNA replication	nucleic acid binding	nucleus	 	 	1.03	0.56	0.8	-0.99	-0.29	-1.07
219059_s_at	XLKD1	0.030596	extracellular link domain containing 1	cell adhesion	receptor activity	 	 	 	0.42	0.22	2.27	-1.34	-0.99	-1.27
219142_at	RASL11B	0.016189	RAS-like, family 11, member B	small GTPase mediated signal transduction	GTP binding	 	 	 	0.72	0.62	1.36	-0.86	-0.21	-1.52
219405_at	RNF137	0.001864	ring finger protein 137	 	 	 	 	 	0.47	0.77	0.8	-0.94	-0.67	-0.41
219470_x_at	CCNJ	0.046375	cyclin J	regulation of cell cycle	 	nucleus	 	 	0.43	0.24	0.03	-0.03	-0.44	-0.23
219471_at	C13orf18	0.04618	chromosome 13 open reading frame 18	 	 	 	 	 	1.77	0.51	-0.04	-0.51	-1.04	-1.03
219475_at	OKL38	0.046856	pregnancy-induced growth inhibitor	 	 	 	 	 	1.76	-0.34	1.25	-0.62	-1.33	-1.06
219495_s_at	ZNF180	0.003868	zinc finger protein 180 (HHZ168)	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	1.23	0.71	0.67	-0.72	-1.31	-0.57
219505_at	CECR1	0.043011	cat eye syndrome chromosome region, candidate 1	development	growth factor activity	 	 	 	0.53	-0.04	0.37	-0.12	-0.29	-0.46
219585_at	MGC1203	0.002082	hypothetical protein MGC1203	 	 	 	 	 	0.69	1.09	0.76	-1.23	-0.74	-0.55
219606_at	CGI-72	0.041679	CGI-72 protein	 	nucleic acid binding	 	 	 	0.28	0.16	1.95	-0.91	-1.18	-0.76
219611_s_at	DKFZP434L0117	0.018012	hypothetical protein DKFZp434L0117	 	 	 	 	 	0.25	0.14	0.66	-0.29	-0.53	-0.23
219626_at	FLJ12649	0.048783	hypothetical protein FLJ12649	 	 	 	 	 	0.33	0.44	-0.08	-0.16	-0.33	-0.21
219751_at	FLJ21148	0.003168	hypothetical protein FLJ21148	 	 	 	 	 	0.25	0.21	0.4	-0.27	-0.18	-0.41
219775_s_at	LMAN1L	0.014016	lectin, mannose-binding, 1 like	heterophilic cell adhesion	sugar binding	integral to membrane	 	 	0.5	1.14	0.78	-1.08	-0.12	-1.16
219810_at	VCIP135	0.014333	valosin-containing protein (p97)/p47 complex-interacting protein p135	 	 	 	 	 	0.42	1.15	0.7	-0.84	-0.2	-1.2
219849_at	FLJ23506	0.02961	hypothetical protein FLJ23506	regulation of transcription, DNA-dependent	nucleic acid binding	nucleus	 	 	1.41	0.04	1.23	-1.37	-0.25	-1.13
219855_at	NUDT11	0.042869	nudix (nucleoside diphosphate linked moiety X)-type motif 11	intracellular signaling cascade	diphosphoinositol-polyphosphate diphosphatase activity	intracellular	 	 	-0.07	1.32	0.95	-1.06	-0.17	-1.04
219964_at	ST7L	0.020937	suppression of tumorigenicity 7 like	 	 	 	 	 	0.4	1.07	0.65	-0.52	-0.23	-1.3
219968_at	ZNF589	0.034725	zinc finger protein 589	regulation of transcription, DNA-dependent	nucleic acid binding	nucleus	 	 	0.37	0.87	0.08	-0.25	-0.78	-0.32
219989_s_at	EB-1	0.047257	E2a-Pbx1-associated protein	 	 	 	 	 	1.82	-0.42	1.26	-1.17	-1.01	-0.92
220058_at	C17orf39	0.04562	chromosome 17 open reading frame 39	 	 	 	 	 	-0.08	0.36	0.81	-0.46	-0.3	-0.37
220131_at	FXYD7	0.029939	FXYD domain containing ion transport regulator 7	ion transport	ion channel activity	integral to membrane	 	 	0.51	0.54	-0.06	-0.45	-0.29	-0.27
220406_at	TGFB2	0.035557	transforming growth factor, beta 2	regulation of cell cycle	transforming growth factor beta receptor binding	extracellular space	 	 	1.06	-0.04	0.45	-0.52	-0.4	-0.64
220410_s_at	CAMSAP1	0.009286	calmodulin regulated spectrin-associated protein 1	 	 	 	 	 	0.28	0.96	1.58	-1.31	-0.83	-0.81
220499_at	DKFZp434H2215	0.013654	hypothetical protein DKFZp434H2215	 	 	 	 	 	1.05	0.22	0.92	-1.14	-0.33	-0.73
220521_s_at	APG16L	0.011094	APG16 autophagy 16-like (S. cerevisiae)	 	 	 	 	 	0.61	0.53	1.18	-1.03	-0.21	-1.06
220591_s_at	FLJ22843	0.040523	hypothetical protein FLJ22843	 	efhand;calcium ion binding;0.01	 	 	 	0.26	0.16	0.28	-0.46	-0.29	0.05
220711_at	FLJ12121	0.028364	Transcribed sequence with strong similarity to protein ref:NP_079254.1 (H.sapiens) hypothetical protein FLJ12121 [Homo sapiens]	 	 	 	 	 	0.63	0.83	0.12	-0.34	-0.97	-0.24
220746_s_at	RAP80	0.028185	receptor associated protein 80	 	receptor activity	 	 	 	0.25	0.52	0.53	-0.87	-0.08	-0.3
220802_at	KCNH4	0.006954	potassium voltage-gated channel, subfamily H (eag-related), member 4	two-component signal transduction system (phosphorelay)	two-component sensor molecule activity	voltage-gated potassium channel complex	 	 	1.11	0.56	0.59	-0.48	-1.21	-0.55
220825_s_at	KIRREL	0.037593	kin of IRRE like (Drosophila)	 	 	 	 	 	1.68	0.18	0.28	-0.95	-0.89	-0.58
220836_at	ZNF407	0.011434	zinc finger protein 407	regulation of transcription, DNA-dependent	nucleic acid binding	nucleus	 	 	1.21	1.51	0.25	-1.23	-0.53	-1.32
220858_at	PRO0618	0.037115	 	 	 	 	 	 	1.79	-0.41	1.64	-1.22	-1.16	-1.14
220920_at	FLJ21477	0.027494	hypothetical protein FLJ21477	 	 	 	 	 	1.39	-0.24	2.03	-1.25	-1.15	-1.32
221032_s_at	TMPRSS5	0.009312	transmembrane protease, serine 5 (spinesin)	 	trypsin;trypsin activity;3.8e-86	 	 	 	1.68	0.21	1.18	-1.01	-1.35	-0.92
221065_s_at	CHST8	0.043696	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	central nervous system development	N-acetylgalactosamine 4-O-sulfotransferase activity	integral to membrane	 	 	0.62	0.81	0.79	0.23	-1.42	-0.83
221087_s_at	APOL3	0.04744	apolipoprotein L, 3	lipid transport	signal transducer activity	 	 	 	0.64	0.11	0.86	-0.25	-1.12	-0.19
221155_x_at	PRO1496	0.033962	hypothetical protein PRO1496	 	 	 	 	 	1.03	0.67	1.13	-1.4	0.25	-1.41
221298_s_at	SLC22A8	0.02242	solute carrier family 22 (organic anion transporter), member 8	transport	transporter activity	membrane fraction	 	 	1.1	-0.06	0.99	-0.9	-0.62	-0.62
221356_x_at	P2RX2	0.041712	purinergic receptor P2X, ligand-gated ion channel, 2	ion transport	receptor activity	integral to membrane	 	 	-0.01	0.97	1.13	-0.55	-0.25	-1.29
221397_at	TAS2R10	0.0295	taste receptor, type 2, member 10	G-protein coupled receptor protein signaling pathway	receptor activity	integral to membrane	 	 	1	0.16	1.47	-1.29	-0.15	-1.22
221449_s_at	CDA08	0.024009	T-cell immunomodulatory protein	 	 	 	 	 	0.52	0.51	0.21	-0.24	-0.16	-0.82
221498_at	SNX27	0.00031	sorting nexin family member 27	PDZ;intracellular signaling cascade;3.3e-11	 	 	 	 	0.79	0.83	0.56	-0.88	-0.56	-0.74
221681_s_at	DSPP	0.044963	dentin sialophosphoprotein	ossification	tsp_3;calcium ion binding;140	extracellular matrix	 	 	0.39	-0.08	0.63	-0.17	-0.41	-0.39
221769_at	SSB3	0.001771	SPRY domain-containing SOCS box protein SSB-3	intracellular signaling cascade	 	 	 	 	0.62	0.65	0.47	-0.82	-0.31	-0.6
221774_x_at	P38IP	0.016654	transcription factor (p38 interacting protein)	 	 	 	 	 	0.65	0.83	0.04	-0.35	-0.51	-0.68
221886_at	KIAA1277	0.028354	KIAA1277	 	 	 	 	 	0.29	0.94	0.91	-1.2	-0.87	0.01
221928_at	LOC283445	0.009813	hypothetical protein LOC283445	 	 	 	 	 	1.43	0.2	2.12	-1.56	-1.41	-1.22
222053_at	TAF6L	0.008517	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	chromatin remodeling	DNA binding	histone deacetylase complex	 	 	0.44	0.9	0.91	-0.48	-1.26	-0.45
222133_s_at	CGI-72	0.022815	CGI-72 protein	 	nucleic acid binding	 	 	 	0.55	0.85	0.06	-0.37	-0.79	-0.33
222202_at	---	0.038226	CDNA FLJ14293 fis, clone PLACE1007866	 	 	 	 	 	-0.02	0.86	1.78	-1.49	-0.48	-0.87
222220_s_at	TSNAXIP1	0.044762	translin-associated factor X interacting protein 1	 	 	 	 	 	0.36	0.15	1.18	-1	-0.54	-0.19
222241_at	C9orf28	0.047971	chromosome 9 open reading frame 28	 	 	 	 	 	0.41	0.34	1.31	0.06	-1.04	-1.07
222299_x_at	---	0.0034	 	 	 	 	 	 	1.11	0.78	0.71	-0.4	-0.88	-1.25
222336_at	LOC201895	0.005095	hypothetical protein LOC201895	 	 	 	 	 	0.44	0.41	0.31	-0.41	-0.14	-0.61
31837_at	BC002942	0.038048	hypothetical protein BC002942	 	 	 	 	 	0.32	0.37	0.14	0.06	-0.43	-0.45
32541_at	PPP3CC	0.016166	protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma)	 	phosphoprotein phosphatase activity	 	G_Protein_Signaling	GENMAPP/KEGG	0.61	0.64	0.23	-0.09	-0.58	-0.79
38340_at	HIP1R	0.039492	huntingtin interacting protein-1-related	 	actin binding	coated pit	 	 	0.27	0.24	0.79	-0.6	0.01	-0.7
40020_at	CELSR3	0.005281	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)	homophilic cell adhesion	G-protein coupled receptor activity	integral to membrane	GPCRs_Other	GENMAPP/KEGG	0.59	0.26	0.35	-0.21	-0.42	-0.57
45714_at	HCFC1R1	0.044622	host cell factor C1 regulator 1 (XPO1 dependant)	 	 	 	 	 	0.62	0.84	-0.11	-0.23	-0.68	-0.48
47608_at	TJP4	0.003225	tight junction protein 4 (peripheral)	 	 	 	 	 	0.37	0.66	0.61	-0.42	-0.84	-0.37
52078_at	DKFZP564D0478	0.012913	hypothetical protein DKFZp564D0478	 	 	 	 	 	0.43	0.28	0.26	-0.1	-0.28	-0.58
65438_at	KIAA1609	0.033378	KIAA1609 protein	 	 	 	 	 	1.28	1.14	0.1	-1.27	-0.09	-1.16
89476_r_at	NPEPL1	0.002354	aminopeptidase-like 1	proteolysis and peptidolysis	aminopeptidase activity	intracellular	 	 	0.91	1.15	0.43	-0.66	-1.07	-0.79
	---	0.038376	 	 	 	 	 	 	0.16	0.85	0.99	-1.23	-0.68	-0.03
