Gene	Fold Change	Gene Name
LOC650610	-2.370950207	LOC650610
LOC645745	-2.370950207	LOC645745
KLF2	-2.373417974	Kruppel-like factor 2 (lung)
DCBLD2	-2.373926408	discoidin, CUB and LCCL domain containing 2
ANKH	-2.374925603	ankylosis, progressive homolog (mouse)
FZD8	-2.376385304	frizzled homolog 8 (Drosophila)
KIAA0746	-2.379089255	KIAA0746 protein
TRIB2	-2.383388692	tribbles homolog 2 (Drosophila)
EPC1	-2.383720365	enhancer of polycomb homolog 1 (Drosophila)
CPEB1	-2.384176835	cytoplasmic polyadenylation element binding protein 1
CDKN2B	-2.384595645	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
IGSF4D	-2.389889802	IGSF4D
TMC4	-2.39137577	transmembrane channel-like 4
ARHGEF6	-2.397517546	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
DEPDC6	-2.400517997	DEP domain containing 6
IAPP	-2.400956576	islet amyloid polypeptide
ZNF581	-2.401451805	zinc finger protein 581
LOC648470	-2.408376963	LOC648470
MOXD1	-2.419006131	monooxygenase, DBH-like 1
TMEM159	-2.423403949	transmembrane protein 159
GAS5	-2.424286404	GAS5
PKP2	-2.426314092	plakophilin 2
IBRDC2	-2.429049531	IBR domain containing 2
C1orf78	-2.43019268	chromosome 1 open reading frame 78
CTSO	-2.434139785	cathepsin O
CFH	-2.434526254	complement factor H
PLXDC1	-2.435255406	plexin domain containing 1
SLC1A4	-2.436248034	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
TETRAN	-2.436282586	tetracycline transporter-like protein
NFATC1	-2.437898203	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
MAPK10	-2.438033025	mitogen-activated protein kinase 10
PDLIM1	-2.444556508	PDZ and LIM domain 1 (elfin)
TMEM171	-2.444866662	transmembrane protein 171
FAM107B	-2.452625417	family with sequence similarity 107, member B
C6orf48	-2.453792359	chromosome 6 open reading frame 48
STARD13	-2.476171824	START domain containing 13
FLJ31958	-2.478755937	FLJ31958
SLC20A2	-2.481862882	solute carrier family 20 (phosphate transporter), member 2
FLJ35409	-2.482405189	FLJ35409
SVIL	-2.488274164	supervillin
C9orf103	-2.488821164	chromosome 9 open reading frame 103
CHML	-2.497036874	choroideremia-like (Rab escort protein 2)
DOCK5	-2.499368452	dedicator of cytokinesis 5
CAPN3	-2.499397524	calpain 3, (p94)
FGF18	-2.502844258	fibroblast growth factor 18
C4orf30	-2.503699065	chromosome 4 open reading frame 30
C10orf47	-2.505578462	chromosome 10 open reading frame 47
TSC22D3	-2.511975932	TSC22 domain family, member 3
GPR161	-2.513850162	G protein-coupled receptor 161
GPR137B	-2.513906112	G protein-coupled receptor 137B
CYP4V2	-2.516358448	cytochrome P450, family 4, subfamily V, polypeptide 2
LRRC8C	-2.518289644	leucine rich repeat containing 8 family, member C
CNO	-2.523478043	cappuccino homolog (mouse)
LOC650392	-2.524280657	LOC650392
MGC18216	-2.52492483	MGC18216
TRIB3	-2.534690533	tribbles homolog 3 (Drosophila)
KIAA0500	-2.535441054	KIAA0500
MYEF2	-2.535534646	myelin expression factor 2
TRIM7	-2.541465408	tripartite motif-containing 7
SIGIRR	-2.542150988	single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
C10orf58	-2.544889729	chromosome 10 open reading frame 58
BTG1	-2.545715428	B-cell translocation gene 1, anti-proliferative
PCGF5	-2.546610436	polycomb group ring finger 5
UBE2I	-2.553976	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)
DSU	-2.557860042	DSU
LOC56757	-2.561269302	LOC56757
CAMK2D	-2.563537207	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta
PPP2R5C	-2.565374624	protein phosphatase 2, regulatory subunit B, gamma isoform
EEF1A1	-2.565412022	eukaryotic translation elongation factor 1 alpha 1
LOC148987	-2.569906044	LOC148987
C6orf65	-2.575214632	chromosome 6 open reading frame 65
FAM44A	-2.575460604	family with sequence similarity 44, member A
DBNDD2	-2.581802729	dysbindin (dystrobrevin binding protein 1) domain containing 2
CTSH	-2.582915026	cathepsin H
LOC554203	-2.584376832	LOC554203
PEG10	-2.586733232	paternally expressed 10
LOC653444	-2.586925978	LOC653444
LOC441417	-2.586925978	LOC441417
LOC441408	-2.586925978	LOC441408
EPHA7	-2.601585504	EPH receptor A7
PHLDB2	-2.608050847	pleckstrin homology-like domain, family B, member 2
TTC17	-2.620031405	tetratricopeptide repeat domain 17
FLJ10986	-2.620511539	hypothetical protein FLJ10986
GPR126	-2.632790029	G protein-coupled receptor 126
DSP	-2.633053221	desmoplakin
KIAA1345	-2.634721955	KIAA1345 protein
RNF150	-2.640570006	ring finger protein 150
MGAT4C	-2.640625	mannosyl (alpha-1,3-)-glycoprotein
LPPR4	-2.645291515	plasticity related gene 1
GAST	-2.646107179	gastrin
PFTK1	-2.648805815	PFTAIRE protein kinase 1
RAB7	-2.655256724	RAB7
TGIF	-2.656311791	TGIF
KIAA1571	-2.656825979	KIAA1571
RGMB	-2.663222249	RGM domain family, member B
TBC1D1	-2.673614477	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1
CCPG1	-2.675417428	cell cycle progression 1
FOXC1	-2.676080893	forkhead box C1
OSBPL10	-2.678711598	oxysterol binding protein-like 10
LOC283378	-2.682284941	LOC283378
ATF3	-2.692681598	activating transcription factor 3
C10orf30	-2.694348243	chromosome 10 open reading frame 30
OGFRL1	-2.69892976	opioid growth factor receptor-like 1
DUSP1	-2.70086717	dual specificity phosphatase 1
MGC34646	-2.707847731	hypothetical protein MGC34646
ANXA3	-2.708358534	annexin A3
FGF2	-2.715222913	fibroblast growth factor 2 (basic)
PKIB	-2.717539863	protein kinase (cAMP-dependent, catalytic) inhibitor beta
MT2A	-2.721735415	metallothionein 2A
LOC387904	-2.729568287	LOC387904
IFIH1	-2.742970918	interferon induced with helicase C domain 1
GATM	-2.74315562	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
LOC400027	-2.75069472	hypothetical gene supported by BC047417
NBLA00301	-2.759004498	putative protein product of Nbla00301
CDC42EP3	-2.759558508	CDC42 effector protein (Rho GTPase binding) 3
C7orf41	-2.764482287	chromosome 7 open reading frame 41
ZNF20	-2.765232975	zinc finger protein 20
PSMAL	-2.777367124	growth-inhibiting protein 26
LRRC8B	-2.799709953	leucine rich repeat containing 8 family, member B
IQCH	-2.806436421	IQ motif containing H
FLJ20160	-2.816988417	FLJ20160 protein
CSPG2	-2.81749765	CSPG2
LRRN3	-2.81965812	leucine rich repeat neuronal 3
RGS16	-2.823539669	regulator of G-protein signalling 16
SP2	-2.832081621	Sp2 transcription factor
SLC9A9	-2.834221865	solute carrier family 9 (sodium/hydrogen exchanger), member 9
F2RL1	-2.835032033	coagulation factor II (thrombin) receptor-like 1
SLC25A27	-2.836982149	solute carrier family 25, member 27
MAGI2	-2.839406308	membrane associated guanylate kinase, WW and PDZ domain containing 2
MDH1B	-2.845293927	malate dehydrogenase 1B, NAD (soluble)
PLAGL1	-2.853296921	pleiomorphic adenoma gene-like 1
LOC388335	-2.866732031	similar to RIKEN cDNA A730055C05 gene
SRPX	-2.875049394	sushi-repeat-containing protein, X-linked
SLC4A8	-2.884143464	solute carrier family 4, sodium bicarbonate cotransporter, member 8
PNMA2	-2.905633944	paraneoplastic antigen MA2
MCART6	-2.910888432	mitochondrial carrier triple repeat 6
SQRDL	-2.913851699	sulfide quinone reductase-like (yeast)
C5orf26	-2.922031642	C5orf26
GALNT13	-2.930453636	UDP-N-acetyl-alpha-D-galactosamine:polypeptide
ISL1	-2.938940154	ISL1 transcription factor, LIM/homeodomain, (islet-1)
SYDE2	-2.953605016	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)
TMEM16C	-2.956119628	transmembrane protein 16C
MYCL1	-2.957291667	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma
DYX1C1	-2.959726985	dyslexia susceptibility 1 candidate 1
S100A4	-2.966470122	S100 calcium binding protein A4
LOC284214	-2.967201675	LOC284214
C12orf39	-2.974346942	chromosome 12 open reading frame 39
C11orf1	-2.976549372	chromosome 11 open reading frame 1
LIPF	-2.981907216	lipase, gastric
LOC347273	-2.983611675	similar to RIKEN cDNA 2310039E09
FCGR2C	-2.984551095	Fc fragment of IgG, low affinity IIc, receptor for (CD32)
SAMD4A	-2.984745651	sterile alpha motif domain containing 4A
AKR1C2	-2.992216563	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase
EPB41L4A	-2.9984301	erythrocyte membrane protein band 4.1 like 4A
ACPL2	-3.000608571	acid phosphatase-like 2
SNORA24	-3.003121173	SNORA24
CHRNA3	-3.014454838	cholinergic receptor, nicotinic, alpha 3
SEMA3E	-3.014860642	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E
ERRFI1	-3.022663272	ERBB receptor feedback inhibitor 1
FOSL1	-3.024342746	FOS-like antigen 1
HTATIP2	-3.032939073	HIV-1 Tat interactive protein 2, 30kDa
MMRN2	-3.037839231	multimerin 2
ACSM3	-3.043556759	acyl-CoA synthetase medium-chain family member 3
BAMBI	-3.0460823	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
C4orf18	-3.052205585	chromosome 4 open reading frame 18
C4orf32	-3.060649819	chromosome 4 open reading frame 32
ITPR2	-3.066798873	inositol 1,4,5-triphosphate receptor, type 2
ATF5	-3.087109625	activating transcription factor 5
LOC643607	-3.091333404	LOC643607
RGNEF	-3.091333404	Rho-guanine nucleotide exchange factor
TMEM118	-3.092598684	transmembrane protein 118
MAP1LC3A	-3.100308325	microtubule-associated protein 1 light chain 3 alpha
TNFRSF19	-3.107444276	tumor necrosis factor receptor superfamily, member 19
GABRA5	-3.115884846	gamma-aminobutyric acid (GABA) A receptor, alpha 5
WDR78	-3.122215976	WD repeat domain 78
ANK2	-3.160831399	ankyrin 2, neuronal
CENTD1	-3.161981318	centaurin, delta 1
NEGR1	-3.171562903	neuronal growth regulator 1
TTN	-3.187529357	titin
ISYNA1	-3.189293723	myo-inositol 1-phosphate synthase A1
TSPAN7	-3.197470927	tetraspanin 7
SLC10A4	-3.203705896	solute carrier family 10 (sodium/bile acid cotransporter family), member 4
CSTA	-3.207520477	cystatin A (stefin A)
FOS	-3.20776486	v-fos FBJ murine osteosarcoma viral oncogene homolog
NR0B1	-3.22972601	nuclear receptor subfamily 0, group B, member 1
SLC27A2	-3.23875046	solute carrier family 27 (fatty acid transporter), member 2
PHLDA1	-3.247621674	pleckstrin homology-like domain, family A, member 1
KCNMB4	-3.260494403	potassium large conductance calcium-activated channel, subfamily M, beta member 4
EDNRA	-3.271895444	endothelin receptor type A
PIK3C3	-3.316496164	phosphoinositide-3-kinase, class 3
FRMD3	-3.316567207	FERM domain containing 3
LCORL	-3.332200247	ligand dependent nuclear receptor corepressor-like
GPR160	-3.345772666	G protein-coupled receptor 160
FOSB	-3.351328624	FBJ murine osteosarcoma viral oncogene homolog B
MYL5	-3.368672557	myosin, light chain 5, regulatory
LOC649851	-3.368672557	similar to Superfast myosin regulatory light chain 2 (MyLC-2)
C4orf28	-3.375427127	chromosome 4 open reading frame 28
PPARG	-3.400053265	peroxisome proliferator-activated receptor gamma
PRPH	-3.41020422	peripherin
PRSS7	-3.442051395	protease, serine, 7 (enterokinase)
EGR2	-3.457712699	early growth response 2 (Krox-20 homolog, Drosophila)
NUPR1	-3.458921792	nuclear protein 1
ANTXR1	-3.468468568	anthrax toxin receptor 1
TLE1	-3.519461261	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
UST	-3.569511801	uronyl-2-sulfotransferase
PDGFRL	-3.569753291	platelet-derived growth factor receptor-like
IL13RA2	-3.57699687	interleukin 13 receptor, alpha 2
JUN	-3.587305019	jun oncogene
BRD7	-3.590449306	bromodomain containing 7
SCHIP1	-3.593815215	schwannomin interacting protein 1
SOX8	-3.594816511	SRY (sex determining region Y)-box 8
PPFIA2	-3.601246106	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2
SIRT5	-3.617722725	sirtuin (silent mating type information regulation 2 homolog) 5 (S.
TMEM158	-3.629035425	transmembrane protein 158
PERP	-3.640890282	PERP, TP53 apoptosis effector
LOC285550	-3.688394039	LOC285550
FAM46C	-3.692307692	family with sequence similarity 46, member C
PTX3	-3.714984282	pentraxin-related gene, rapidly induced by IL-1 beta
LRIG3	-3.739313836	leucine-rich repeats and immunoglobulin-like domains 3
RARB	-3.751896207	retinoic acid receptor, beta
LIFR	-3.770591369	leukemia inhibitory factor receptor alpha
PLEKHG1	-3.78544542	pleckstrin homology domain containing, family G (with RhoGef domain)
DKFZP686A01247	-3.78895966	hypothetical protein
NRIP1	-3.797845912	nuclear receptor interacting protein 1
MUSK	-3.810237203	muscle, skeletal, receptor tyrosine kinase
CNTNAP3B	-3.81193368	CNTNAP3B
FLJ37512	-3.81193368	similar to Contactin-associated protein-like 3 precursor (Cell
CNTNAP3	-3.81193368	contactin associated protein-like 3
LOC642373	-3.81193368	LOC642373
LOC642342	-3.81193368	LOC642342
CCR1	-3.832517127	chemokine (C-C motif) receptor 1
SGCE	-3.838426894	sarcoglycan, epsilon
SHROOM3	-3.840055911	shroom family member 3
RAB3IP	-3.870816729	RAB3A interacting protein (rabin3)
CD226	-3.942833698	CD226 molecule
FAM84B	-3.957324541	family with sequence similarity 84, member B
RALGPS2	-3.982893126	Ral GEF with PH domain and SH3 binding motif 2
TSPAN13	-4.054124612	tetraspanin 13
GLT25D2	-4.087488439	glycosyltransferase 25 domain containing 2
ATP8A1	-4.119391825	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1
FOLH1	-4.12057251	folate hydrolase (prostate-specific membrane antigen) 1
MCOLN3	-4.154037733	mucolipin 3
C6orf155	-4.198605719	C6orf155
ASPH	-4.223029782	aspartate beta-hydroxylase
CADPS2	-4.236744433	Ca2+-dependent activator protein for secretion 2
ZNRF2	-4.255676209	zinc and ring finger 2
RNF128	-4.271353747	ring finger protein 128
LOC643911	-4.300593765	LOC643911
LOC650242	-4.300593765	hypothetical protein LOC650242
CYP39A1	-4.369578253	cytochrome P450, family 39, subfamily A, polypeptide 1
PDE5A	-4.376981611	phosphodiesterase 5A, cGMP-specific
NR3C1	-4.398839907	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid
CXorf57	-4.41078427	chromosome X open reading frame 57
---	-4.414300624	---
CDH10	-4.478197263	cadherin 10, type 2 (T2-cadherin)
FNDC6	-4.493879368	FNDC6
MYBL1	-4.512970627	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
C6orf85	-4.566678584	chromosome 6 open reading frame 85
C1orf21	-4.572043242	chromosome 1 open reading frame 21
C9orf26	-4.592221022	C9orf26
FBN2	-4.608959178	fibrillin 2 (congenital contractural arachnodactyly)
SLIT2	-4.634660559	slit homolog 2 (Drosophila)
LOC653108	-4.63536102	LOC653108
TGFA	-4.705222573	transforming growth factor, alpha
RBM24	-4.711571001	RNA binding motif protein 24
C4orf31	-4.73184287	chromosome 4 open reading frame 31
GDF15	-4.739319883	growth differentiation factor 15
NOVA1	-4.740292955	neuro-oncological ventral antigen 1
GUCY1B3	-4.804551981	guanylate cyclase 1, soluble, beta 3
C4orf10	-4.877887789	C4orf10
PPM1H	-4.88642468	protein phosphatase 1H (PP2C domain containing)
TSLP	-4.894891945	thymic stromal lymphopoietin
SSFA2	-4.910313901	sperm specific antigen 2
BMP5	-4.966000951	bone morphogenetic protein 5
EPSTI1	-5.006493506	epithelial stromal interaction 1 (breast)
RTN1	-5.037443821	reticulon 1
OTUD1	-5.044311614	OTU domain containing 1
MORC4	-5.066089838	MORC family CW-type zinc finger 4
DSC2	-5.13013736	desmocollin 2
IFI44L	-5.20695629	interferon-induced protein 44-like
ATP5J	-5.235520246	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6
SGCG	-5.248533724	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)
PITX2	-5.326461211	paired-like homeodomain transcription factor 2
SLC26A7	-5.400484262	solute carrier family 26, member 7
LOC653222	-5.440104167	LOC653222
C5orf30	-5.452113028	chromosome 5 open reading frame 30
PLK2	-5.47914711	polo-like kinase 2 (Drosophila)
PLSCR4	-5.53280543	phospholipid scramblase 4
NRG1	-5.561027837	neuregulin 1
C7orf44	-5.72	chromosome 7 open reading frame 44
HS6ST3	-5.809045226	heparan sulfate 6-O-sulfotransferase 3
C2orf15	-5.869337979	chromosome 2 open reading frame 15
FRAS1	-5.91374269	Fraser syndrome 1
POSTN	-5.916445299	periostin, osteoblast specific factor
CD55	-6.030542506	CD55 molecule, decay accelerating factor for complement (Cromer
MUM1L1	-6.165527195	melanoma associated antigen (mutated) 1-like 1
OLFM3	-6.193182215	olfactomedin 3
PKIA	-6.203389831	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
PI15	-6.24755202	peptidase inhibitor 15
IGFBP3	-6.312651773	insulin-like growth factor binding protein 3
ZNF347	-6.359722222	zinc finger protein 347
JAM2	-6.517051871	junctional adhesion molecule 2
TSPAN12	-6.531825659	tetraspanin 12
ROBO2	-6.560745211	roundabout, axon guidance receptor, homolog 2 (Drosophila)
PMAIP1	-6.799369332	phorbol-12-myristate-13-acetate-induced protein 1
CRIM1	-6.868032911	cysteine rich transmembrane BMP regulator 1 (chordin-like)
LOC644923	-6.94576523	LOC644923
MAL2	-7.032412523	mal, T-cell differentiation protein 2
SNCA	-7.051218844	synuclein, alpha (non A4 component of amyloid precursor)
FLJ23049	-7.359661495	hypothetical protein FLJ23049
HMCN1	-7.376690947	hemicentin 1
KLF4	-7.561674009	Kruppel-like factor 4 (gut)
C1orf24	-7.671111556	C1orf24
MAP7	-7.950947062	microtubule-associated protein 7
LOC387758	-8.023139808	similar to RIKEN cDNA 1110018M03
LPHN3	-8.457360666	latrophilin 3
DKK2	-8.476588629	dickkopf homolog 2 (Xenopus laevis)
TMTC2	-8.641823108	transmembrane and tetratricopeptide repeat containing 2
LGALS3	-8.66408052	lectin, galactoside-binding, soluble, 3
GALIG	-8.66408052	GALIG
PTPN21	-8.758200168	protein tyrosine phosphatase, non-receptor type 21
MMP1	-8.979276803	matrix metallopeptidase 1 (interstitial collagenase)
PLA2G4A	-8.995755907	phospholipase A2, group IVA (cytosolic, calcium-dependent)
C2orf10	-9.082383308	C2orf10
ZDHHC2	-9.299399281	zinc finger, DHHC-type containing 2
CLGN	-9.431243082	calmegin
FSTL5	-9.617241379	follistatin-like 5
CCR5	-9.719519956	chemokine (C-C motif) receptor 5
LOC653725	-9.719519956	LOC653725
ANXA1	-9.876986869	annexin A1
RBM35A	-9.878511236	RNA binding motif protein 35A
TM4SF18	-9.95741695	transmembrane 4 L six family member 18
LOX	-10.00985659	lysyl oxidase
LRFN5	-10.10989011	leucine rich repeat and fibronectin type III domain containing 5
CXADR	-10.35481838	coxsackie virus and adenovirus receptor
PPP1R9A	-10.4218853	protein phosphatase 1, regulatory (inhibitor) subunit 9A
AREG	-10.59221936	amphiregulin (schwannoma-derived growth factor)
LOC653193	-10.59221936	LOC653193
TNS3	-10.5984252	tensin 3
MRC1L1	-10.80754664	mannose receptor, C type 1-like 1
MRC1	-10.80754664	mannose receptor, C type 1
MME	-11.95626364	membrane metallo-endopeptidase
ALDH1A1	-11.97288788	aldehyde dehydrogenase 1 family, member A1
C9orf3	-12.21374289	chromosome 9 open reading frame 3
NUP210L	-12.22230294	nucleoporin 210kDa-like
EPHA3	-12.30399816	EPH receptor A3
PDGFC	-12.86121725	platelet derived growth factor C
IFT74	-12.88717156	intraflagellar transport 74 homolog (Chlamydomonas)
	-13.22003474	RP5-875H10.1
CD160	-13.53877472	CD160 molecule
COL21A1	-14.14832254	collagen, type XXI, alpha 1
CCDC4	-14.52785146	coiled-coil domain containing 4
PTGS2	-14.65899242	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase
GUCY1A3	-14.96530043	guanylate cyclase 1, soluble, alpha 3
BCL11A	-15.07661286	B-cell CLL/lymphoma 11A (zinc finger protein)
GPR37	-15.42064315	G protein-coupled receptor 37 (endothelin receptor type B-like)
ODAM	-15.82106782	odontogenic, ameloblast asssociated
MEF2C	-15.94511859	myocyte enhancer factor 2C
EDG2	-16.18130669	endothelial differentiation, lysophosphatidic acid G-protein-coupled
SERPINA3	-16.19298246	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
LOC339535	-16.48370462	hypothetical protein LOC339535
LOC57400	-17.19485294	LOC57400
LOC152573	-17.41821417	hypothetical protein BC012029
ELTD1	-19.87433628	EGF, latrophilin and seven transmembrane domain containing 1
CHRM3	-20.74031008	cholinergic receptor, muscarinic 3
CLDN11	-21.53485194	claudin 11 (oligodendrocyte transmembrane protein)
MMP10	-21.75980438	matrix metallopeptidase 10 (stromelysin 2)
NPFFR2	-27.39685864	neuropeptide FF receptor 2
SLC27A6	-28.83722438	solute carrier family 27 (fatty acid transporter), member 6
CMKOR1	-34.31496881	CMKOR1
COL11A1	-35.60060968	collagen, type XI, alpha 1
COL6A3	-36.84836583	collagen, type VI, alpha 3
TM4SF1	-39.86419096	transmembrane 4 L six family member 1
SOSTDC1	-44.2627824	sclerostin domain containing 1
MEOX2	-46.90202177	mesenchyme homeobox 2
MMP3	-51.64895268	matrix metallopeptidase 3 (stromelysin 1, progelatinase)
C4orf7	-55.01111111	chromosome 4 open reading frame 7
FAM5C	-56.19924338	family with sequence similarity 5, member C
CDH2	-81.3883194	cadherin 2, type 1, N-cadherin (neuronal)
LGR5	-117.6930438	leucine-rich repeat-containing G protein-coupled receptor 5
TSPAN8	-142.3116711	tetraspanin 8
PTPRR	-173.9918656	protein tyrosine phosphatase, receptor type, R
