ProbeSet	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	N2.C_Signal	N3.C_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
208760_at	UBE2I	0.040239	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	ubiquitin-dependent protein catabolism	ubiquitin conjugating enzyme activity	synaptonemal complex	Ubiquitin mediated proteolysis	GENMAPP/KEGG	0.38	0.41	0.03	-0.43	-0.4
208943_s_at	TLOC1	0.038494	translocation protein 1	cotranslational protein-membrane targeting	receptor activity	endoplasmic reticulum			0.4	1.62	-0.48	-0.74	-1.06
208982_at	PECAM1	0.015699	platelet/endothelial cell adhesion molecule (CD31 antigen)	cell motility	nucleic acid binding	plasma membrane			0.66	1.74	-0.89	-1.1	-0.73
208992_s_at	STAT3	0.036	signal transducer and activator of transcription 3 (acute-phase response factor)	negative regulation of transcription from Pol II promoter	transcription factor activity	nucleus			0.47	0.76	-0.78	-0.38	-0.08
209001_s_at	ANAPC13	0.044111	anaphase promoting complex subunit 13						0.2	0.85	-0.45	-0.44	-0.2
209012_at	TRIO	0.024557	triple functional domain (PTPRF interacting)	protein amino acid phosphorylation	protein serine/threonine kinase activity				1.19	0.83	-0.1	-1.06	-0.89
209076_s_at	LOC56270	0.036281	WDR45-like						0.87	0.41	-0.11	-0.42	-0.76
209114_at	TSPAN-1	0.013832	tetraspan 1	cell motility		integral to membrane			0.5	0.66	-0.14	-0.43	-0.61
209201_x_at	CXCR4	0.047244	chemokine (C-X-C motif) receptor 4				GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	0.6	1.02	-1.12	-0.34	-0.15
209376_x_at	SFRS2IP	0.036278	splicing factor, arginine/serine-rich 2, interacting protein	mRNA processing	pre-mRNA splicing factor activity	DNA-directed RNA polymerase II, core complex	Apoptosis	GENMAPP/KEGG	0.51	0.42	-0.13	-0.16	-0.63
209407_s_at	DEAF1	0.03017	deformed epidermal autoregulatory factor 1 (Drosophila)						1.02	0.61	-0.92	-0.64	-0.09
209419_at	C22orf19	0.049915	chromosome 22 open reading frame 19						0.8	0.42	-0.27	-0.83	-0.11
209424_s_at	AMACR	0.001916	alpha-methylacyl-CoA racemase	metabolism	alpha-methylacyl-CoA racemase activity	mitochondrion			0.72	1.09	-0.7	-0.65	-0.55
209428_s_at	ZFPL1	0.028427	zinc finger protein-like 1			integral to membrane			0.49	0.63	-0.72	-0.27	-0.13
209432_s_at	CREB3	0.013322	cAMP responsive element binding protein 3	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.25	0.61	-0.28	-0.28	-0.31
209435_s_at	ARHGEF2	0.019063	rho/rac guanine nucleotide exchange factor (GEF) 2	cellular morphogenesis	Rho guanyl-nucleotide exchange factor activity	microtubule			0.89	1.11	-0.22	-0.63	-1.17
209508_x_at	CFLAR	0.031345	CASP8 and FADD-like apoptosis regulator	proteolysis and peptidolysis	signal transducer activity				0.36	1.04	-0.7	-0.22	-0.54
209515_s_at	RAB27A	0.03908	RAB27A, member RAS oncogene family	small GTPase mediated signal transduction	GTPase activity				0.91	1.79	-1.71	-0.21	-0.86
209593_s_at	TOR1B	0.022809	torsin family 1, member B (torsin B)	protein folding	ATP binding	endoplasmic reticulum			0.61	0.83	-0.65	-0.08	-0.74
209630_s_at	FBXW2	0.042261	F-box and WD-40 domain protein 2				Wnt_signaling	GENMAPP/KEGG	0.8	0.53	-0.42	-0.04	-0.86
209686_at	S100B	0.022484	S100 calcium binding protein, beta (neural)	energy reserve metabolism	calcium ion binding	extracellular			0.71	2.53	-1.53	-1.16	-1.51
209707_at	PIGK	0.009096	phosphatidylinositol glycan, class K	proteolysis and peptidolysis	legumain activity	endoplasmic reticulum			1.28	0.86	-0.83	-0.37	-1.04
209766_at	PRDX3	0.035334	peroxiredoxin 3		peroxidase activity	mitochondrion			0.82	0.46	-0.77	-0.07	-0.45
209783_at	DBP	0.02054							0.74	0.87	-0.13	-0.92	-0.57
209797_at	TMEM4	0.001138	transmembrane protein 4			integral to plasma membrane			0.44	0.53	-0.38	-0.36	-0.24
209807_s_at	NFIX	0.002316	nuclear factor I/X (CCAAT-binding transcription factor)	DNA replication	transcription factor activity	nucleus			1.28	1.28	-0.56	-1.04	-1.12
209844_at	HOXB13	0.049964	homeo box B13	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.36	0.44	-0.57	-0.19	-0.03
209859_at	TRIM9	0.015151	tripartite motif-containing 9	protein ubiquitination	ubiquitin-protein ligase activity	ubiquitin ligase complex			1.72	0.66	-1.03	-0.97	-0.7
209925_at	OCLN	0.004239	occludin	protein complex assembly	structural molecule activity	plasma membrane			1.43	1.16	-1.29	-0.6	-0.85
209943_at	FBXL4	0.033666	F-box and leucine-rich repeat protein 4			nucleus			1.11	0.79	-0.01	-1.01	-0.9
209960_at	HGF	0.03408	hepatocyte growth factor (hepapoietin A; scatter factor)	proteolysis and peptidolysis	chymotrypsin activity				2.18	0.77	-1.84	-0.88	-0.66
209961_s_at	HGF	0.03701							1.73	0.89	-1.71	-0.42	-0.55
209993_at	ABCB1	0.046654	ATP-binding cassette, sub-family B (MDR/TAP), member 1	transport	nucleotide binding	membrane fraction			1.31	0.55	-0.2	-0.51	-1.2
210000_s_at	SOCS1	0.040835							1.08	1.73	-1.53	0.03	-1.35
210022_at	NSPC1	0.049317	likely ortholog of mouse nervous system polycomb 1	protein ubiquitination	ubiquitin-protein ligase activity	ubiquitin ligase complex			0.7	0.58	-0.36	-0.01	-0.89
210025_s_at	CARD10	0.044294	caspase recruitment domain family, member 10	protein complex assembly	protein binding	cytoplasm			0.65	0.72	-0.75	-0.69	0.07
210163_at	CXCL11	0.007322	chemokine (C-X-C motif) ligand 11	chemotaxis	chemokine activity	extracellular			0.98	1.62	-0.85	-0.66	-1.31
210191_s_at	PHTF1	0.002273	putative homeodomain transcription factor 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.69	0.63	-0.57	-0.28	-0.49
210239_at	IRX5	0.04809	iroquois homeobox protein 5	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.75	0.96	-0.92	0.1	-0.88
210252_s_at	MADD	0.045848	MAP-kinase activating death domain	cell surface receptor linked signal transduction	death receptor binding	cytoplasm			0.23	0.77	-0.43	-0.1	-0.49
210341_at	MYT1	0.027247	myelin transcription factor 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.79	0.73	-0.91	-0.55	-0.07
210392_x_at	NR6A1	0.000472	nuclear receptor subfamily 6, group A, member 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.53	1.68	-0.94	-1.25	-1.34
210417_s_at	PIK4CB	0.036822	phosphatidylinositol 4-kinase, catalytic, beta polypeptide		phosphotransferase activity, alcohol group as acceptor				0.35	0.71	-0.53	-0.5	-0.04
210486_at	ANKMY1	0.001106	ankyrin repeat and MYND domain containing 1						1.5	1.96	-1.54	-1.27	-1.08
210596_at	DKFZp564K142	0.030468							0.85	0.53	-0.05	-0.62	-0.72
210637_at	TACR1	0.039858	tachykinin receptor 1	inflammatory response	rhodopsin-like receptor activity	plasma membrane	Peptide_GPCRs	GENMAPP/KEGG	0.75	1.76	-1.53	-0.92	-0.22
210669_at	TFAP2A	0.01322	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			1.13	1.21	-0.23	-1.04	-1.14
210706_s_at	RNF24	0.018277	ring finger protein 24	protein ubiquitination	ubiquitin-protein ligase activity	ubiquitin ligase complex			1.05	0.86	-1.15	-0.45	-0.33
210721_s_at	PAK7	0.029428	p21(CDKN1A)-activated kinase 7	protein amino acid phosphorylation	protein serine/threonine kinase activity				1.02	0.37	-0.21	-0.59	-0.65
210755_at	HGF	0.002841	hepatocyte growth factor (hepapoietin A; scatter factor)	proteolysis and peptidolysis	chymotrypsin activity				2.11	1.51	-1.75	-1.03	-1.3
210769_at	CNGB1	0.002892	cyclic nucleotide gated channel beta 1	ion transport	ion channel activity	intracellular cyclic nucleotide activated cation channel complex			1.4	1.2	-0.94	-0.59	-1.22
210827_s_at	ELF3	0.020382	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.77	1.34	-1.07	-0.22	-0.91
210855_at	GREB1	0.002209	GREB1 protein						1.29	1.68	-1.32	-0.76	-1.16
210909_x_at	LPAL2	0.021639	lipoprotein, Lp(a)-like 2						0.72	1.73	-0.56	-1.34	-0.8
210945_at	COL4A6	0.009614	collagen, type IV, alpha 6	phosphate transport	extracellular matrix structural constituent	collagen			1.64	1.18	-0.44	-1.18	-1.38
210990_s_at	LAMA4	0.014056	laminin, alpha 4	regulation of cell adhesion	receptor binding	laminin-1			0.55	0.36	-0.24	-0.17	-0.5
210997_at	HGF	0.028915	hepatocyte growth factor (hepapoietin A; scatter factor)	proteolysis and peptidolysis	chymotrypsin activity				2.4	1.61	-2.24	-1.77	-0.17
210998_s_at	HGF	0.013894	hepatocyte growth factor (hepapoietin A; scatter factor)	proteolysis and peptidolysis	chymotrypsin activity				1.88	2.41	-2.16	-1.96	-0.49
211022_s_at	ATRX	0.000305	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	DNA repair	DNA helicase activity	nucleus			0.68	0.75	-0.44	-0.58	-0.45
211034_s_at	FLJ30092	0.021178	AF-1 specific protein phosphatase	ubiquitin cycle	ubiquitin-protein ligase activity	intracellular			0.44	0.71	-0.31	-0.68	-0.18
211284_s_at	GRN	0.035729	granulin	signal transduction	cytokine activity	extracellular			0.74	2.32	-1.14	-0.61	-1.86
211330_s_at	HFE	0.033761	hemochromatosis	protein complex assembly	MHC class I receptor activity	cytoplasm			0.97	0.5	-0.36	-0.21	-0.92
211340_s_at	MCAM	0.015544	melanoma cell adhesion molecule	cell adhesion	protein binding	integral to plasma membrane			0.85	1.28	-0.92	-0.24	-1.04
211380_s_at	PRKG1	0.030446	protein kinase, cGMP-dependent, type I	protein amino acid phosphorylation	protein serine/threonine kinase activity	cAMP-dependent protein kinase complex	Phosphatidylinositol signaling system	GENMAPP/KEGG	1.33	1.01	-0.03	-1.1	-1.22
211397_x_at	KIR3DL1	0.007861	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	immune response	receptor activity	integral to plasma membrane			0.66	0.75	-0.7	-0.21	-0.52
211404_s_at	APLP2	0.006072	amyloid beta (A4) precursor-like protein 2	G-protein coupled receptor protein signaling pathway	DNA binding	nucleus			1.58	0.89	-0.69	-0.87	-1.13
211405_x_at	IFNA17	0.00027	interferon, alpha 17	defense response	interferon-alpha/beta receptor binding	extracellular			0.26	0.23	-0.16	-0.19	-0.14
211529_x_at	HLA-G	0.033008	HLA-G histocompatibility antigen, class I, G	cellular defense response	MHC class I receptor activity	integral to membrane	Proteasome_Degradation	GENMAPP/KEGG	1.34	1.61	-1.2	-1.71	-0.02
211575_s_at	UBE3A	0.033597	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	proteolysis and peptidolysis	ubiquitin conjugating enzyme activity	intracellular			0.75	0.79	-0.16	-1.03	-0.33
211588_s_at	PML	0.031341	promyelocytic leukemia	regulation of transcription, DNA-dependent	nucleic acid binding	ubiquitin ligase complex			1.93	0.66	-1.33	-1.19	-0.43
211638_at	IGHM	0.037213	Partial mRNA for immunoglobulin heavy chain variable region (IGHV32-D-JH-Cmu gene), clone ET39						0.91	1.06	-1.34	-0.31	-0.27
211663_x_at	PTGDS	0.025247	prostaglandin D2 synthase 21kDa (brain)	prostaglandin biosynthesis	prostaglandin-D synthase activity	extracellular	Prostaglandin and leukotriene metabolism	GENMAPP/KEGG	0.99	0.86	-0.97	-0.84	-0.05
211695_x_at	MUC1	0.042481	mucin 1, transmembrane		actin binding	cytoskeleton			0.99	0.63	-0.9	-0.75	0.03
211709_s_at	SCGF	0.029147	stem cell growth factor; lymphocyte secreted C-type lectin	positive regulation of cell proliferation	nucleic acid binding	extracellular			0.85	2.65	-2.15	-1.04	-1.15
211748_x_at	PTGDS	0.009277	prostaglandin D2 synthase 21kDa (brain)	prostaglandin biosynthesis	prostaglandin-D synthase activity	extracellular	Prostaglandin and leukotriene metabolism	GENMAPP/KEGG	1.11	2.51	-1.31	-1.4	-1.75
211756_at	PTHLH	0.045248	parathyroid hormone-like hormone	cell-cell signaling	hormone activity	extracellular space			0.36	2.35	-1.31	-0.89	-1.37
211771_s_at	POU2F2	0.008044	POU domain, class 2, transcription factor 2	regulation of transcription, DNA-dependent	DNA binding	nucleus			0.87	1.62	-0.63	-1.14	-0.95
211789_s_at	MONDOA	0.005031	Mlx interactor						0.63	0.56	-0.6	-0.33	-0.27
211809_x_at	COL13A1	0.001042	collagen, type XIII, alpha 1	phosphate transport	extracellular matrix structural constituent	collagen type XIII			0.93	1.23	-0.85	-0.62	-0.82
211818_s_at	PDE4C	0.040988	phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)	porphyrin biosynthesis	catalytic activity		Purine metabolism	GENMAPP/KEGG	0.51	1.65	-1.25	-0.34	-0.79
211837_s_at	PTCRA	0.000107							1.72	2.04	-1.44	-1.44	-1.4
211901_s_at	PDE4A	0.004461	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)	porphyrin biosynthesis	catalytic activity	membrane fraction	Purine metabolism	GENMAPP/KEGG	1.95	1.11	-1.39	-1.02	-1.07
211905_s_at	ITGB4	0.029499	integrin, beta 4	cell-matrix adhesion	receptor activity	integrin complex	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	0.26	0.52	-0.44	-0.27	-0.08
211919_s_at	CXCR4	0.016468	chemokine (C-X-C motif) receptor 4				GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	1	1.51	-1.13	-1.24	-0.27
211925_s_at	PLCB1	0.023301	phospholipase C, beta 1 (phosphoinositide-specific)	regulation of cell cycle	phosphoinositide phospholipase C activity	nucleus	Inositol phosphate metabolism	GENMAPP/KEGG	1.88	0.54	-1.06	-0.92	-0.88
211979_at	GPR107	0.030923	G protein-coupled receptor 107						0.68	1.26	-1.16	-0.64	-0.19
212068_s_at	KIAA0515	0.022332	KIAA0515						1.28	1.37	-1.17	-0.12	-1.4
212069_s_at	KIAA0515	0.03469	KIAA0515						0.72	1.26	-0.56	-0.18	-1.25
212118_at	RFP	0.001679	ret finger protein	transcription	DNA binding	ubiquitin ligase complex			0.81	0.74	-0.67	-0.36	-0.57
212133_at	NIPA2	0.036193	non-imprinted in Prader-Willi/Angelman syndrome 2						0.4	0.41	-0.28	-0.51	-0.02
212140_at	KIAA0648	0.006338	SCC-112 protein						0.56	0.82	-0.67	-0.31	-0.43
212167_s_at	SMARCB1	0.03299	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	chromatin remodeling		nuclear chromosome			0.54	0.14	-0.22	-0.22	-0.25
212187_x_at	PTGDS	0.0029	prostaglandin D2 synthase 21kDa (brain)	prostaglandin biosynthesis	prostaglandin-D synthase activity	extracellular	Prostaglandin and leukotriene metabolism	GENMAPP/KEGG	1.44	1.59	-1.51	-0.95	-0.79
212198_s_at	TM9SF4	0.006152	transmembrane 9 superfamily protein member 4	transport	transporter activity	integral to membrane			1.04	1.24	-1.1	-0.4	-0.88
212204_at	DKFZP564G2022	0.012087	DKFZP564G2022 protein			integral to membrane			1.4	1.05	-1.26	-0.96	-0.32
212208_at	THRAP2	0.012841	thyroid hormone receptor associated protein 2		receptor activity				0.97	0.55	-0.55	-0.27	-0.75
212239_at	PIK3R1	0.011925	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	intracellular signaling cascade	phosphatidylinositol binding	phosphoinositide 3-kinase complex			1.65	0.76	-0.96	-0.6	-1.1
212245_at	MCFD2	0.041481	multiple coagulation factor deficiency 2						0.8	0.24	-0.51	-0.14	-0.42
212259_s_at	PBXIP1	0.002133	pre-B-cell leukemia transcription factor interacting protein 1	negative regulation of transcription	transcription corepressor activity	nucleus			1.25	1.34	-0.84	-1.24	-0.67
212263_at	QKI	0.003612	quaking homolog, KH domain RNA binding (mouse)		nucleic acid binding				0.58	0.36	-0.32	-0.37	-0.26
212277_at	MTMR4	0.046241	myotubularin related protein 4	protein amino acid dephosphorylation	phosphoprotein phosphatase activity				1	0.62	-0.9	0.05	-0.78
212288_at	FNBP1	0.041041	formin binding protein 1						1.11	0.78	-1.22	-0.62	-0.04
212319_at	RUTBC1	0.013828	RUN and TBC1 domain containing 1						0.54	1.21	-0.75	-0.4	-0.69
212341_at	MGC21416	0.002236	hypothetical protein MGC21416						0.61	0.65	-0.26	-0.51	-0.51
212382_at	TCF4	0.0336	transcription factor 4	regulation of transcription from Pol II promoter	DNA binding	nucleus			1.53	0.49	-1.12	-0.42	-0.67
212385_at	TCF4	0.00286	transcription factor 4	regulation of transcription from Pol II promoter	DNA binding	nucleus			1.53	0.92	-0.96	-0.9	-0.8
212387_at	TCF4	0.015653	transcription factor 4	regulation of transcription from Pol II promoter	DNA binding	nucleus			1.26	0.61	-0.74	-0.89	-0.34
212408_at	LAP1B	0.036176	lamina-associated polypeptide 1B						0.31	0.56	-0.53	-0.05	-0.31
212465_at	C14orf154	0.012323	chromosome 14 open reading frame 154						0.21	0.44	-0.18	-0.18	-0.3
212480_at	KIAA0376	0.031053	KIAA0376 protein						0.84	0.6	-0.91	-0.43	-0.11
212484_at	MTVR1	0.014416	Mouse Mammary Turmor Virus Receptor homolog 1		receptor activity				1.32	0.81	-0.42	-1.18	-0.62
212496_s_at	JMJD2B	0.029161	jumonji domain containing 2B						0.32	1.01	-0.64	-0.29	-0.46
212505_s_at	KIAA0892	0.004719	KIAA0892						0.64	1.07	-0.56	-0.74	-0.48
212518_at	PIP5K1C	0.007237	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma		1-phosphatidylinositol-4-phosphate 5-kinase activity				0.91	1.13	-0.36	-0.72	-1.02
212527_at	D15Wsu75e	0.026288	DNA segment, Chr 15, Wayne State University 75, expressed						0.37	0.54	-0.38	-0.04	-0.5
212592_at	IGJ	0.000871	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	immune response	antigen binding	extracellular			2.11	1.48	-1.38	-1.41	-1.35
212598_at	WDFY3	0.008692	WD repeat and FYVE domain containing 3		zinc ion binding				0.74	1.65	-0.93	-0.85	-0.89
212630_at	SEC6L1	0.023705	SEC6-like 1 (S. cerevisiae)	exocytosis					0.55	1.44	-0.97	-0.38	-0.81
212662_at	PVR	0.021337	poliovirus receptor		receptor activity	extracellular space			0.55	0.22	-0.38	-0.23	-0.18
212741_at	MAOA	0.022038	monoamine oxidase A	electron transport	amine oxidase activity	mitochondrion	Glycine, serine and threonine metabolism	GENMAPP/KEGG	0.87	1.08	-0.67	-0.16	-1.13
212742_at	ZNF364	0.023508	zinc finger protein 364	protein ubiquitination	ubiquitin-protein ligase activity	ubiquitin ligase complex			0.57	0.56	-0.06	-0.43	-0.65
212764_at	TCF8	0.009353	transcription factor 8 (represses interleukin 2 expression)	negative regulation of transcription from Pol II promoter	transcription factor activity	nucleus	Hypertrophy_model	GENMAPP/KEGG	0.64	1.01	-0.79	-0.3	-0.6
212796_s_at	KIAA1055	0.024207	KIAA1055 protein	regulation of transcription, DNA-dependent	nucleic acid binding	intracellular			0.71	1.87	-1.14	-0.5	-1.28
212834_at	DDX52	0.048583	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52		nucleic acid binding	nucleus			0.33	0.4	0.04	-0.34	-0.42
212856_at	KIAA0767	0.009623							1.4	0.82	-1.14	-0.7	-0.51
212993_at	SAP18	0.042838	Clone IMAGE:5311129, mRNA						0.64	1.88	-0.23	-1.3	-1.26
213073_at	ZFYVE26	0.039061	zinc finger, FYVE domain containing 26		nucleic acid binding	nucleus			0.68	1.45	-0.72	-0.17	-1.3
213076_at	ITPKC	0.000548	inositol 1,4,5-trisphosphate 3-kinase C		inositol-trisphosphate 3-kinase activity				0.66	0.66	-0.52	-0.48	-0.34
213091_at	MECT1	0.018075	mucoepidermoid carcinoma translocated 1						0.46	1.24	-0.59	-0.75	-0.47
213100_at	UNC5B	0.00783	unc-5 homolog B (C. elegans)	signal transduction	receptor activity	integral to membrane			0.95	1.95	-1.3	-1.13	-0.89
213106_at	ATP8A1	0.008768	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1	cation transport	magnesium ion binding	integral to membrane	Peptide_GPCRs	GENMAPP/KEGG	1.56	1.19	-0.98	-0.48	-1.43
213110_s_at	COL4A5	0.005245	collagen, type IV, alpha 5 (Alport syndrome)	phosphate transport	extracellular matrix structural constituent	collagen			0.72	1.22	-0.86	-0.52	-0.68
213146_at	JMJD3	0.045521	jumonji domain containing 3						1.33	0.51	-0.1	-0.79	-1.04
213172_at	TTC9	0.00252	tetratricopeptide repeat domain 9						1.3	1.1	-1.03	-0.53	-0.97
213174_at	TTC9	0.026643	tetratricopeptide repeat domain 9						0.52	1.56	-1.04	-0.46	-0.81
213177_at	MAPK8IP3	0.010934	mitogen-activated protein kinase 8 interacting protein 3	proteolysis and peptidolysis	MAP-kinase scaffold activity	cytoplasm			1	2.02	-0.72	-1.39	-1.33
213182_x_at	CDKN1C	0.009933	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	regulation of cyclin dependent protein kinase activity	cyclin-dependent protein kinase inhibitor activity	nucleus			1.62	1.75	-0.43	-1.57	-1.55
213204_at	PARC	0.016443	p53-associated parkin-like cytoplasmic protein						1.42	1.53	-0.35	-1.71	-0.95
213208_at	KIAA0240	0.039998	KIAA0240						0.35	1.06	-0.53	-0.18	-0.76
213297_at	FLJ22318	0.043485	hypothetical protein FLJ22318						0.7	0.87	-0.63	-0.96	0.04
213348_at	CDKN1C	0.036206	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	regulation of cyclin dependent protein kinase activity	cyclin-dependent protein kinase inhibitor activity	nucleus			0.35	1.43	-0.85	-0.64	-0.48
213402_at	LOC126208	0.007748	hypothetical protein LOC126208						1.08	1.07	-0.56	-1.17	-0.47
213430_at	RIPX	0.035593	rap2 interacting protein x						1.69	1.01	-1.39	-0.04	-1.35
213469_at	PGAP1	0.003424	GPI deacylase		catalytic activity				1.38	1.82	-0.91	-1.6	-0.98
213473_at	BRAP	0.007496	BRCA1 associated protein						1.6	0.78	-0.79	-1.03	-0.81
213541_s_at	ERG	0.014318	v-ets erythroblastosis virus E26 oncogene like (avian)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			2.26	1.42	-1.98	-1.49	-0.57
213545_x_at	SNX3	0.040756	sorting nexin 3	endocytosis					1.02	0.9	-1.07	0.07	-0.9
213552_at	GLCE	0.026263	glucuronyl C5-epimerase	peptidoglycan biosynthesis	isomerase activity	Golgi apparatus			0.75	0.56	-0.04	-0.67	-0.61
213589_s_at	B3GNTL1	0.046976	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1						0.77	1.14	-1.33	-0.34	-0.19
213640_s_at	LOX	0.032407	lysyl oxidase	protein modification	protein-lysine 6-oxidase activity	extracellular matrix (sensu Metazoa)			1.19	0.94	-1.26	-0.04	-0.82
213656_s_at	KNS2	0.032953	kinesin 2 60/70kDa		microtubule motor activity	kinesin complex			0.33	1.19	-0.54	-0.73	-0.36
213669_at	FCHO1	0.012928	FCH domain only 1						1.57	1.2	-0.63	-1.6	-0.63
213689_x_at	RPL5	0.037701	ribosomal protein L5	protein biosynthesis	structural constituent of ribosome	intracellular	Ribosomal_Proteins	GENMAPP/KEGG	1.07	0.23	-0.45	-0.47	-0.48
213690_s_at	PTOV1	0.013806	prostate tumor overexpressed gene 1						0.5	1.21	-0.45	-0.66	-0.71
213716_s_at	SECTM1	0.021807	secreted and transmembrane 1	positive regulation of I-kappaB kinase/NF-kappaB cascade	signal transducer activity	integral to membrane			1.99	1.05	-1.19	-1.69	-0.41
213718_at	RBM4	0.039508	RNA binding motif protein 4	RNA processing	nucleic acid binding				1.68	0.55	-1.16	-1.04	-0.26
213719_s_at	SMARCA4	0.000578							1.23	1.15	-1.03	-0.82	-0.69
213764_s_at	MFAP5	0.029102	microfibrillar associated protein 5		extracellular matrix structural constituent	microfibril			0.52	2.08	-1.14	-0.84	-1.21
213768_s_at	ASCL1	0.024242	achaete-scute complex-like 1 (Drosophila)	regulation of transcription from Pol II promoter	transcription factor activity	nucleus			0.44	0.42	-0.55	-0.17	-0.14
213772_s_at	GGA2	0.028371	golgi associated, gamma adaptin ear containing, ARF binding protein 2	protein complex assembly	protein transporter activity	Golgi stack			0.99	0.76	-0.19	-0.44	-1.11
213784_at	RABL4	0.026968	RAB, member of RAS oncogene family-like 4	small GTPase mediated signal transduction	GTP binding				0.23	0.44	-0.06	-0.26	-0.35
213796_at	SPRR1A	0.01909	small proline-rich protein 1A	epidermis development	structural molecule activity				0.86	0.55	-0.51	-0.16	-0.76
213804_at	INPP5B	0.027845	inositol polyphosphate-5-phosphatase, 75kDa		phosphoinositide 5-phosphatase activity	integral to membrane	Inositol phosphate metabolism	GENMAPP/KEGG	0.74	0.5	-0.76	-0.36	-0.12
213844_at	HOXA5	0.018403	homeo box A5	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			2.04	0.79	-1.48	-1.03	-0.77
213868_s_at	retSDR4	0.008746							1.33	0.84	-0.39	-0.97	-0.93
213902_at	ASAH1	0.029717	N-acylsphingosine amidohydrolase (acid ceramidase) 1	fatty acid metabolism	hydrolase activity	lysosome	Sphingoglycolipid metabolism	GENMAPP/KEGG	0.47	1.92	-0.81	-1.07	-0.98
213934_s_at	ZNF23	0.011104	zinc finger protein 23 (KOX 16)	regulation of transcription, DNA-dependent	DNA binding	nucleus			1.93	1.18	-1.45	-1.42	-0.53
213940_s_at	FNBP1	0.040742	formin binding protein 1						0.86	1.09	-0.96	0.07	-1.05
213947_s_at	NUP210	0.038108	nucleoporin 210						0.59	0.31	-0.45	-0.44	-0.02
213976_at	CIZ1	0.030707	CDKN1A interacting zinc finger protein 1	regulation of cell cycle	nucleic acid binding	nucleus			1.09	1.01	0	-1.07	-1.03
214015_at	SOCS7	0.002996	suppressor of cytokine signaling 7	regulation of cell growth	SH3 domain binding				0.7	1.11	-0.56	-0.59	-0.75
214029_at	---	0.015546							1.06	0.41	-0.6	-0.52	-0.43
214043_at	PTPRD	0.01271	protein tyrosine phosphatase, receptor type, D	protein amino acid dephosphorylation	protein tyrosine phosphatase activity	integral to plasma membrane			0.48	0.57	-0.56	-0.38	-0.13
214100_x_at	WBSCR20B	0.027309	Williams-Beuren Syndrome critical region protein 20 copy B						0.62	0.81	-0.15	-0.38	-0.9
214120_at	RFPL1S	0.002815	ret finger protein-like 1 antisense						1.6	1.03	-0.79	-0.93	-1.15
214134_at	---	0.020701							0.45	0.85	-0.19	-0.43	-0.7
214160_at	CDK6	0.012908					Cell_cycle	GENMAPP/KEGG	0.69	1.71	-1.08	-0.81	-0.83
214192_at	NUP88	0.035545	nucleoporin 88kDa	protein transport	transporter activity	nucleus			0.41	0.75	-0.23	-0.18	-0.75
214217_at	GRM5	0.049125	glutamate receptor, metabotropic 5	G-protein coupled receptor protein signaling pathway	metabotropic glutamate, GABA-B-like receptor activity	integral to plasma membrane	GPCRs_Class_C_Metabotropic_glutamate_pheromone	GENMAPP/KEGG	1.52	0.48	-0.51	-0.35	-1.28
214262_at	TRIP6	0.028248	thyroid hormone receptor interactor 6		protein binding				1.69	0.95	-1.54	-0.23	-0.99
214334_x_at	DAZAP2	0.032921	DAZ associated protein 2				Circadian_Exercise	GENMAPP/KEGG	1.15	0.29	-0.43	-0.49	-0.62
