Genesymbol	Sequence description	Fold change	P-value
AK094786	CDNA FLJ37467 fis, clone BRAWH2011920	-5.59	2.75E-14
MEIS1	Homo sapiens Meis1, myeloid ecotropic viral integration site 1 homolog (mouse) (MEIS1), mRNA [NM_002398]	-5.6	1.35E-16
FLJ25421	Homo sapiens hypothetical protein FLJ25421 (FLJ25421), mRNA [NM_152512]	-5.62	0.00009
PKIA	Protein kinase (cAMP-dependent, catalytic) inhibitor alpha	-5.62	1.89E-36
MUC19	Mucin 19, oligomeric	-5.66	4.47E-10
MPDZ	Multiple PDZ domain protein	-5.73	1.24E-10
HECW2	KIAA1301 protein	-5.73	1.80E-10
PDCL2	Homo sapiens phosducin-like 2 (PDCL2), mRNA [NM_152401]	-5.79	2.43E-12
EPHA4	Homo sapiens EPH receptor A4 (EPHA4), mRNA [NM_004438]	-5.79	2.79E-07
PFN2	Homo sapiens profilin 2 (PFN2), transcript variant 1, mRNA [NM_053024]	-5.8	4.40E-06
CRB1	Homo sapiens crumbs homolog 1 (Drosophila) (CRB1), transcript variant 2, mRNA [NM_201253]	-5.83	0.00025
THC2691824	Q4STM1_TETNG (Q4STM1) Chromosome undetermined SCAF14146, whole genome shotgun sequence, partial (9%) [THC2691824]	-5.83	1.24E-34
THC2687713	Unknown	-5.84	1.25E-10
FIGF	Homo sapiens c-fos induced growth factor (vascular endothelial growth factor D) (FIGF), mRNA [NM_004469]	-5.91	2.78E-13
MGC33414	Homo sapiens hypothetical protein MGC33414 (MGC33414), mRNA [NM_173574]	-5.94	1.25E-08
THC2688038	Unknown	-5.96	4.30E-12
BIRC4BP	XIAP associated factor-1	-6.07	0.00031
CD3D	Homo sapiens CD3D antigen, delta polypeptide (TiT3 complex) (CD3D), mRNA [NM_000732]	-6.11	1.08E-11
GLULD1	Homo sapiens glutamate-ammonia ligase (glutamine synthase) domain containing 1 (GLULD1), mRNA [NM_016571]	-6.14	5.04E-23
MME	Membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)	-6.17	?E-46
OLR1	Homo sapiens oxidised low density lipoprotein (lectin-like) receptor 1 (OLR1), mRNA [NM_002543]	-6.23	0.00002
TAT	Homo sapiens tyrosine aminotransferase (TAT), nuclear gene encoding mitochondrial protein, mRNA [NM_000353]	-6.25	0.00012
SCN9A	Homo sapiens sodium channel, voltage-gated, type IX, alpha (SCN9A), mRNA [NM_002977]	-6.27	3.25E-19
A_32_P47778	Unknown	-6.39	2.68E-18
AK091573	CDNA clone IMAGE:5284125	-6.4	5.18E-15
THC2696662	Unknown	-6.43	1.85E-20
A_32_P122089	Unknown	-6.48	1.29E-35
COL4A3	Collagen, type IV, alpha 3 (Goodpasture antigen)	-6.48	1.51E-38
IGFBPL1	Insulin-like growth factor binding protein-like 1	-6.49	6.28E-12
THC2667632	Unknown	-6.5	1.90E-21
THC2656519	Unknown	-6.52	7.50E-35
CD1D	Homo sapiens CD1D antigen, d polypeptide (CD1D), mRNA [NM_001766]	-6.54	2.78E-23
SIRPG	hypothetical protein SIRP-b2	-6.55	1.01E-09
C19orf21	Homo sapiens chromosome 19 open reading frame 21 (C19orf21), mRNA [NM_173481]	-6.55	0.00115
EPS8	Homo sapiens epidermal growth factor receptor pathway substrate 8 (EPS8), mRNA [NM_004447]	-6.64	0.00001
DBCCR1L	Homo sapiens DBCCR1-like (DBCCR1L), mRNA [NM_199051]	-6.64	2.94E-13
LOC138046	Homo sapiens hypothetical protein LOC138046 (LOC138046), mRNA [NM_173848]	-6.8	5.55E-09
HBG1	Hemoglobin, gamma A	-6.83	9.30E-30
GRID1	Homo sapiens glutamate receptor, ionotropic, delta 1 (GRID1), mRNA [NM_017551]	-6.84	6.46E-40
THC2687398	Unknown	-6.86	?E-46
ENST00000333010	Jak and microtubule interacting protein 2 [Source:RefSeq_peptide;Acc:NP_055605] [ENST00000333010]	-6.88	2.34E-07
POPDC3	Homo sapiens popeye domain containing 3 (POPDC3), mRNA [NM_022361]	-6.89	1.48E-09
SPOCK	Homo sapiens sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) (SPOCK), mRNA [NM_004598]	-6.92	?E-46
RGS18	Homo sapiens regulator of G-protein signalling 18 (RGS18), mRNA [NM_130782]	-6.93	4.99E-14
PTPRG	Protein tyrosine phosphatase, receptor type, G	-6.93	1.14E-12
ZNF575	Zinc finger protein 575	-7.02	?E-46
HOXA7	Homo sapiens homeo box A7 (HOXA7), mRNA [NM_006896]	-7.09	1.08E-23
LOC731997	PREDICTED: Homo sapiens hypothetical protein LOC731997 (LOC731997), mRNA [XM_001131542]	-7.16	8.89E-19
BC105699	Homo sapiens cDNA clone IMAGE:40024259. [BC105699]	-7.28	0.00002
THC2706386	Q9T6M0_GLOPA (Q9T6M0) NADH-ubiquinone oxidoreductase subunit 1, partial (6%) [THC2706386]	-7.3	1.74E-10
FLJ31547	Homo sapiens hypothetical protein FLJ31547 (FLJ31547), mRNA [NM_145024]	-7.33	3.44E-23
EFEMP1	Homo sapiens EGF-containing fibulin-like extracellular matrix protein 1 (EFEMP1), transcript variant 1, mRNA [NM_004105]	-7.34	1.28E-07
TGIF2LY	TGFB-induced factor 2-like, Y-linked	-7.34	3.90E-06
HEBP1	Homo sapiens heme binding protein 1 (HEBP1), mRNA [NM_015987]	-7.35	0.00006
KCNS3	Homo sapiens potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3 (KCNS3), mRNA [NM_002252]	-7.4	1.50E-15
SLC28A3	Homo sapiens solute carrier family 28 (sodium-coupled nucleoside transporter), member 3 (SLC28A3), mRNA [NM_022127]	-7.46	3.88E-21
ZNF222	Homo sapiens zinc finger protein 222 (ZNF222), mRNA [NM_013360]	-7.58	1.18E-10
MAPK10	Homo sapiens mitogen-activated protein kinase 10 (MAPK10), transcript variant 3, mRNA [NM_138980]	-7.62	4.94E-14
BACE2	Beta-site APP-cleaving enzyme 2	-7.63	?E-46
PLCB1	phosphoinositide-specific phospholipase C-beta 1	-7.65	8.89E-30
CD69	Homo sapiens CD69 antigen (p60, early T-cell activation antigen) (CD69), mRNA [NM_001781]	-7.71	?E-46
FLJ23467	Homo sapiens hypothetical protein FLJ23467 (FLJ23467), mRNA [NM_024575]	-7.73	7.52E-08
ZNF339	Homo sapiens zinc finger protein 339 (ZNF339), mRNA [NM_021220]	-7.77	1.13E-19
TLL1	Tolloid-like 1	-7.79	0.00001
FAF1	mesenchymal stem cell protein DSCD28	-7.89	1.51E-10
THC2706547	Q7Z6F8_HUMAN (Q7Z6F8) MGC18079, partial (7%) [THC2706547]	-7.94	1.10E-14
INADL	PDZ domain protein (Drosophila inaD-like)	-8.13	9.30E-06
IL7	Homo sapiens interleukin 7 (IL7), mRNA [NM_000880]	-8.26	?E-46
DKFZp434L142	Homo sapiens hypothetical protein DKFZp434L142 (DKFZp434L142), mRNA [NM_016613]	-8.29	3.49E-31
CANP	Homo sapiens cancer-associated nucleoprotein (CANP), mRNA [NM_198947]	-8.3	1.51E-07
A_23_P21393	Unknown	-8.32	3.83E-26
BTBD3	KIAA0952 protein	-8.33	2.23E-18
FLJ14966	Homo sapiens hypothetical protein FLJ14966 (FLJ14966), mRNA [NM_032867]	-8.35	?E-46
LOC253012	Hypothetical protein LOC253012	-8.4	6.58E-30
RDHE2	Homo sapiens epidermal retinal dehydrogenase 2 (RDHE2), mRNA [NM_138969]	-8.43	2.14E-06
SLC24A3	Homo sapiens solute carrier family 24 (sodium/potassium/calcium exchanger), member 3 (SLC24A3), mRNA [NM_020689]	-8.46	?E-46
LOC375108	Homo sapiens membrane-associated phospholipase A1 beta (LOC375108), mRNA [NM_198996]	-8.57	2.43E-10
CD3G	Homo sapiens CD3G antigen, gamma polypeptide (TiT3 complex) (CD3G), mRNA [NM_000073]	-8.57	1.32E-09
TAS2R60	Homo sapiens taste receptor, type 2, member 60 (TAS2R60), mRNA [NM_177437]	-8.59	4.28E-18
HOXB6	Homo sapiens homeo box B6 (HOXB6), transcript variant 2, mRNA [NM_018952]	-8.79	7.99E-33
TIMD4	Homo sapiens T-cell immunoglobulin and mucin domain containing 4 (TIMD4), mRNA [NM_138379]	-8.88	2.69E-07
AF052141	Clone 24626 mRNA sequence	-9.23	6.63E-11
ENST00000317931	l(3)mbt-like 4 [Source:RefSeq_peptide;Acc:NP_775735] [ENST00000317931]	-9.41	2.23E-12
ROBO2	Roundabout, axon guidance receptor, homolog 2 (Drosophila)	-9.59	1.10E-20
CNTN4	Homo sapiens contactin 4 (CNTN4), transcript variant 1, mRNA [NM_175607]	-9.77	3.39E-07
RAPGEF4	Homo sapiens Rap guanine nucleotide exchange factor (GEF) 4 (RAPGEF4), mRNA [NM_007023]	-9.78	1.40E-45
ENST00000359050	FAT3 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q96AU6] [ENST00000359050]	-9.8	7.04E-10
GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q). [Source:Uniprot/SWISSPROT;Acc:P50148] [ENST00000376611]	-10.01	2.73E-10
ATP11A	ATPase, Class VI, type 11A	-10.17	2.89E-12
DKFZp779O175	CDNA FLJ27459 fis, clone TST05904. (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q6ZNN0] [ENST00000330692]	-10.18	?E-46
TMEM100	hypothetical protein FLJ10970	-10.3	4.92E-14
THC2625884	Unknown	-10.41	?E-46
ZNF545	Zinc finger protein 545	-10.77	1.63E-25
CFH	Homo sapiens complement factor H (CFH), mRNA [NM_000186]	-10.78	1.16E-29
SCN3A	Homo sapiens sodium channel, voltage-gated, type III, alpha (SCN3A), mRNA [NM_006922]	-10.84	1.91E-12
UEV3	Homo sapiens ubiquitin-conjugating enzyme E2-like (UEV3), mRNA [NM_018314]	-10.91	3.16E-13
CBFA2T1	Runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	-11.42	8.18E-40
ARG99	Homo sapiens ARG99 protein (ARG99), mRNA [NM_175861]	-11.43	3.46E-11
PTPRT	Homo sapiens protein tyrosine phosphatase, receptor type, T (PTPRT), transcript variant 1, mRNA [NM_133170]	-11.9	1.30E-35
IRS2	Homo sapiens insulin receptor substrate 2 (IRS2), mRNA [NM_003749]	-11.91	?E-46
SLITRK6	Homo sapiens SLIT and NTRK-like family, member 6 (SLITRK6), mRNA [NM_032229]	-11.91	1.36E-17
GRIK2	Homo sapiens glutamate receptor, ionotropic, kainate 2 (GRIK2), transcript variant 2, mRNA [NM_175768]	-12.34	4.54E-24
ZNF350	Homo sapiens zinc finger protein 350 (ZNF350), mRNA [NM_021632]	-12.35	3.96E-06
SYT4	Homo sapiens synaptotagmin IV (SYT4), mRNA [NM_020783]	-12.45	1.74E-23
SEC15L2	Homo sapiens cDNA FLJ13729 fis, clone PLACE3000121, weakly similar to VESICULAR TRAFFIC CONTROL PROTEIN SEC15. [AK023791]	-12.99	?E-46
FMR2	Homo sapiens fragile X mental retardation 2 (FMR2), mRNA [NM_002025]	-13.16	5.76E-18
ABCA8	Homo sapiens ATP-binding cassette, sub-family A (ABC1), member 8 (ABCA8), mRNA [NM_007168]	-13.72	?E-46
CALCRL	Homo sapiens calcitonin receptor-like (CALCRL), mRNA [NM_005795]	-13.73	1.58E-21
SERPINI2	Homo sapiens serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 2 (SERPINI2), mRNA [NM_006217]	-14.78	3.62E-28
C14orf172	Homo sapiens chromosome 14 open reading frame 172 (C14orf172), mRNA [NM_152307]	-14.79	1.03E-31
ENST00000298047	FAT3 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q96AU6] [ENST00000298047]	-14.81	2.54E-14
FCMD	Homo sapiens Fukuyama type congenital muscular dystrophy (fukutin) (FCMD), transcript variant 1, mRNA [NM_001079802]	-15.65	1.76E-40
KIAA0367	KIAA0367 protein	-16.06	1.36E-22
CDH19	Homo sapiens cadherin 19, type 2 (CDH19), mRNA [NM_021153]	-16.35	9.58E-14
THC2509288	ALU4_HUMAN (P39191) Alu subfamily SB2 sequence contamination warning entry, partial (29%) [THC2509288]	-17	7.80E-24
MYRIP	Homo sapiens myosin VIIA and Rab interacting protein (MYRIP), mRNA [NM_015460]	-17.47	6.73E-35
NMU	Homo sapiens neuromedin U (NMU), mRNA [NM_006681]	-18.66	4.81E-11
DCN	Decorin	-19.1	5.61E-45
PBX1	Homo sapiens pre-B-cell leukemia transcription factor 1 (PBX1), mRNA [NM_002585]	-20.59	5.89E-07
CR936711	MRNA; cDNA DKFZp781P02163 (from clone DKFZp781P02163)	-24.43	3.79E-17
A_32_P429046	Unknown	-25.1	1.63E-08
SECTM1	Homo sapiens secreted and transmembrane 1 (SECTM1), mRNA [NM_003004]	-25.42	?E-46
ARPP21	Homo sapiens cyclic AMP-regulated phosphoprotein, 21 kD (ARPP-21), transcript variant 1, mRNA [NM_016300]	-26.87	?E-46
LOC92196	Similar to death-associated protein	-41.45	4.11E-27
LUM	Homo sapiens lumican (LUM), mRNA [NM_002345]	-68.38	6.90E-22
NTRK3	Neurotrophic tyrosine kinase, receptor, type 3	-78.74	1.29E-06
FLJ13197	Homo sapiens hypothetical protein FLJ13197 (FLJ13197), mRNA [NM_024614]	-105.32	6.39E-06
