Probe ID	Fold change	p-value	GeneSymbol	GenbankAccession	Description
A_52_P628067	13.28	1.95E-04	Cdca3	NM_013538	cell division cycle associated 3 (Cdca3), mRNA [NM_013538]
A_52_P219473	13.24	3.14E-04	Cdc6	NM_011799	cell division cycle 6 homolog (S. cerevisiae) (Cdc6), transcript variant 1, mRNA [NM_011799]
A_51_P133138	13.2	2.89E-04	Kif20a	Y09632	mRNA for rabkinesin-6. [Y09632]
A_52_P577533	13.16	7.36E-05	AI427515	NM_173016	expressed sequence AI427515 (AI427515), mRNA [NM_173016]
A_51_P409694	13.15	2.44E-05	Psrc1	NM_019976	proline/serine-rich coiled-coil 1 (Psrc1), mRNA [NM_019976]
A_52_P595663	13.14	1.17E-03	D2Ertd750e	NM_026412	DNA segment, Chr 2, ERATO Doi 750, expressed (D2Ertd750e), mRNA [NM_026412]
A_51_P379750	13.11	3.95E-05	Myoz1	NM_021508	myozenin 1 (Myoz1), mRNA [NM_021508]
A_51_P480796	12.96	1.35E-02	4930547N16Rik	NM_029249	RIKEN cDNA 4930547N16 gene (4930547N16Rik), mRNA [NM_029249]
A_51_P270949	12.94	9.95E-05	Hist1h1b	NM_020034	histone cluster 1, H1b (Hist1h1b), mRNA [NM_020034]
A_52_P392509	12.93	1.37E-04	Zh2c2	AK018404	16 days embryo lung cDNA, RIKEN full-length enriched library, clone:8430411H10 product:gross passage A viral integration region 1, full insert sequence. [AK018404]
A_52_P1056789	12.91	1.73E-05	Brunol5	AK132321	15 days embryo head cDNA, RIKEN full-length enriched library, clone:4022413P21 product:Bruno-like 5, RNA binding protein (Drosophila) homolog [Homo sapiens], full insert sequence [AK132321]
A_51_P473554	12.86	2.60E-05	5330430C04Rik	AK019921	adult male pituitary gland cDNA, RIKEN full-length enriched library, clone:5330430C04 product:hypothetical protein, full insert sequence. [AK019921]
A_52_P25932	12.6	3.64E-06	TC1660846		Q66LN2_MOUSE (Q66LN2) Cytoskeleton associated protein 2, partial (14%) [TC1660846]
A_51_P254811	12.58	7.41E-08	Kif4	NM_008446	kinesin family member 4 (Kif4), mRNA [NM_008446]
A_52_P512427	12.52	5.17E-05	2510049J12Rik	XM_132808	PREDICTED:  RIKEN cDNA 2510049J12 gene, transcript variant 1 (2510049J12Rik), mRNA [XM_132808]
A_51_P151732	12.47	6.40E-04	Pkp1	NM_019645	plakophilin 1 (Pkp1), mRNA [NM_019645]
A_51_P350748	12.46	3.20E-06	Zcchc18	NM_025893	zinc finger, CCHC domain containing 18 (Zcchc18), transcript variant 3, mRNA [NM_025893]
A_51_P328817	12.43	8.53E-06	6330514A18Rik	NM_183152	RIKEN cDNA 6330514A18 gene (6330514A18Rik), mRNA [NM_183152]
A_51_P289131	12.38	4.90E-05	Dmc1	NM_010059	DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)disrupted meiotic cDNA 1 (Dmc1), mRNA [NM_010059]
A_52_P371129	12.37	4.17E-07	Cdk5r1	NM_009871	cyclin-dependent kinase 5, regulatory subunit (p35) 1 (Cdk5r1), mRNA [NM_009871]
A_51_P125135	12.34	1.22E-04	Cdca5	NM_026410	cell division cycle associated 5 (Cdca5), mRNA [NM_026410]
A_51_P397468	12.31	7.81E-05	Rap2ip	NM_016759	Rap2 interacting protein (Rap2ip), mRNA [NM_016759]
A_51_P169087	12.29	1.79E-07	Gls2	NM_001033264	glutaminase 2 (liver, mitochondrial) (Gls2), mRNA [NM_001033264]
A_52_P550734	12.29	1.83E-06	Kifc1	NM_053173	kinesin family member C1 (Kifc1), mRNA [NM_053173]
A_52_P622850	12.28	1.41E-04	Hes5	NM_010419	hairy and enhancer of split 5 (Drosophila) (Hes5), mRNA [NM_010419]
A_52_P265938	12.28	8.79E-05	Tagln3	NM_019754	transgelin 3 (Tagln3), mRNA [NM_019754]
A_51_P133137	12.27	3.07E-04	Kif20a	NM_009004	kinesin family member 20A (Kif20a), mRNA [NM_009004]
A_52_P13448	12.16	3.51E-06	2810417H13Rik	NM_026515	RIKEN cDNA 2810417H13 gene (2810417H13Rik), mRNA [NM_026515]
A_51_P351970	12.16	2.60E-05	Hells	NM_008234	helicase, lymphoid specific (Hells), mRNA [NM_008234]
A_51_P155458	12.14	5.04E-04	Dok7	BC089590	docking protein 7, mRNA (cDNA clone MGC:107606 IMAGE:6759981), complete cds. [BC089590]
A_51_P306247	12.14	2.38E-03	Nrcam	AK048567	16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130076O07 product:hypothetical Immunoglobulin-like/Immunoglobulin C-2 type/Immunoglobulin subtype/Ig-like domain profile containing protein, full insert sequence....
A_51_P344376	12.13	1.17E-03	Gpr162	NM_013533	G protein-coupled receptor 162 (Gpr162), mRNA [NM_013533]
A_51_P100997	12.12	1.48E-04	Serpinb3c	AK003650	18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110013A16 product:similar to SQUAMOUS CELL CARCINOMA ANTIGEN 2 [], full insert sequence. [AK003650]
A_52_P11402	12.11	3.72E-05	Lrrc24	NM_198119	leucine rich repeat containing 24 (Lrrc24), mRNA [NM_198119]
A_51_P270519	11.96	1.89E-04	Apitd1	NM_027263	apoptosis-inducing, TAF9-like domain 1 (Apitd1), mRNA [NM_027263]
A_51_P309589	11.83	1.63E-04	2700099C18Rik	AK012623	11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2700099C18 product:inferred: , Similar to highly expressed in cancer, rich in leucine heptad repeats, clone MGC:8311, mRNA, complete cds / putative {Mus...
A_51_P451151	11.81	1.42E-04	Ube2c	NM_026785	ubiquitin-conjugating enzyme E2C (Ube2c), mRNA [NM_026785]
A_52_P289173	11.77	3.73E-04	C130021I20Rik		Riken cDNA C130021I20  gene
A_51_P154913	11.71	3.28E-04	AK037524	AK037524	16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130023H07 product:unclassifiable, full insert sequence. [AK037524]
A_51_P158210	11.69	8.89E-06	Mcm2	NM_008564	minichromosome maintenance deficient 2 mitotin (S. cerevisiae) (Mcm2), mRNA [NM_008564]
A_51_P355151	11.67	1.55E-05	Camk2n2	AK013788	adult male hippocampus cDNA, RIKEN full-length enriched library, clone:2900075A18 product:CAM-KII INHIBITORY PROTEIN homolog [Homo sapiens], full insert sequence. [AK013788]
A_51_P424810	11.63	3.81E-05	Ncapg2	NM_133762	non-SMC condensin II complex, subunit G2 (Ncapg2), mRNA [NM_133762]
A_52_P529570	11.61	1.91E-04	Nsl1	NM_198654	NSL1, MIND kinetochore complex component, homolog (S. cerevisiae) (Nsl1), mRNA [NM_198654]
A_51_P110689	11.6	1.45E-04	Rrm2	NM_009104	ribonucleotide reductase M2 (Rrm2), mRNA [NM_009104]
A_51_P137707	11.59	1.31E-06	AV065344	AV065344	AV065344 AV065344  small intestine C57BL/6J adult  cDNA clone 2010015I06, mRNA sequence [AV065344]
A_51_P499698	11.58	1.56E-04	Asprv1	NM_026414	aspartic peptidase, retroviral-like 1 (Asprv1), mRNA [NM_026414]
A_51_P239984	11.58	2.48E-04	Exo1	NM_012012	exonuclease 1 (Exo1), mRNA [NM_012012]
A_51_P244792	11.56	2.36E-04	Rgs17	NM_019958	regulator of G-protein signaling 17 (Rgs17), mRNA [NM_019958]
A_52_P211063	11.51	1.36E-03	Cks2	NM_025415	CDC28 protein kinase regulatory subunit 2 (Cks2), mRNA [NM_025415]
A_52_P270429	11.51	3.75E-05	2200001I15Rik	NM_183278	RIKEN cDNA 2200001I15 gene (2200001I15Rik), mRNA [NM_183278]
A_51_P263290	11.48	1.98E-05	Galnt9	NM_198306	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (Galnt9), mRNA [NM_198306]
A_51_P254805	11.48	8.92E-07	Kif4	NM_008446	kinesin family member 4 (Kif4), mRNA [NM_008446]
A_51_P335460	11.47	1.16E-03	Scin	NM_009132	scinderin (Scin), mRNA [NM_009132]
A_51_P444696	11.46	8.67E-05	Cdca2	NM_175384	cell division cycle associated 2 (Cdca2), mRNA [NM_175384]
A_51_P303079	11.45	2.86E-05	Tmem54	NM_025452	transmembrane protein 54 (Tmem54), mRNA [NM_025452]
A_51_P328333	11.45	2.89E-03	Ccnf	NM_007634	cyclin F (Ccnf), mRNA [NM_007634]
A_51_P450033	11.43	1.35E-04	Cdc2a	NM_007659	cell division cycle 2 homolog A (S. pombe) (Cdc2a), mRNA [NM_007659]
A_52_P669035	11.43	7.17E-05	Clca1	NM_009899	chloride channel calcium activated 1 (Clca1), mRNA [NM_009899]
A_52_P571350	11.42	1.67E-04	H19	AK003142	18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1100001A04 product: H19 fetal liver mRNA (H19), mRNA, full insert sequence. [AK003142]
A_51_P156113	11.41	9.36E-05	Igsf9	NM_033608	immunoglobulin superfamily, member 9 (Igsf9), mRNA [NM_033608]
A_51_P490509	11.35	9.51E-06	Bub1b	NM_009773	budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae) (Bub1b), mRNA [NM_009773]
A_52_P69194	11.33	1.99E-04	BC057371	NM_177572	cDNA sequence BC057371 (BC057371), mRNA [NM_177572]
A_51_P503729	11.29	8.77E-06	Elavl4	NM_010488	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D) (Elavl4), transcript variant 1, mRNA [NM_010488]
A_51_P203547	11.23	4.14E-04	4930488B01Rik	AK015642	adult male testis cDNA, RIKEN full-length enriched library, clone:4930488B01 product:unclassifiable, full insert sequence [AK015642]
A_52_P211223	11.2	1.35E-05	Cdca2	NM_175384	cell division cycle associated 2 (Cdca2), mRNA [NM_175384]
A_51_P503494	11.19	1.76E-05	Arc	NM_018790	activity regulated cytoskeletal-associated protein (Arc), mRNA [NM_018790]
A_51_P322801	11.16	9.66E-05	Wasf1	NM_031877	WASP family 1 (Wasf1), mRNA [NM_031877]
A_51_P144813	11.15	1.87E-05	Cdkn2a	NM_009877	cyclin-dependent kinase inhibitor 2A (Cdkn2a), transcript variant 1, mRNA [NM_009877]
A_51_P360492	11.13	4.79E-05	Mcm6	NM_008567	minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae) (Mcm6), mRNA [NM_008567]
A_51_P469449	11.12	7.33E-05	Ung	NM_011677	uracil DNA glycosylase (Ung), transcript variant 2, mRNA [NM_011677]
A_52_P56397	11.07	4.49E-05	2610002D18Rik	NM_001081099	RIKEN cDNA 2610002D18 gene (2610002D18Rik), mRNA [NM_001081099]
A_51_P220422	11.07	3.22E-04	Pacsin1	NM_011861	protein kinase C and casein kinase substrate in neurons 1 (Pacsin1), mRNA [NM_011861]
A_51_P284686	11.07	7.21E-06	Aak1	NM_177762	AP2 associated kinase 1 (Aak1), transcript variant 2, mRNA [NM_177762]
A_51_P494430	11.04	2.45E-07	Id4	NM_031166	inhibitor of DNA binding 4 (Id4), mRNA [NM_031166]
A_51_P150912	11.02	5.27E-05	Aurka	NM_011497	aurora kinase A (Aurka), mRNA [NM_011497]
A_52_P127239	10.96	1.88E-02	F730047E07Rik	BC094429	RIKEN cDNA F730047E07 gene, mRNA (cDNA clone IMAGE:30639029). [BC094429]
A_51_P211260	10.95	2.23E-03	Dscaml1	NM_001081270	Down syndrome cell adhesion molecule-like 1 (Dscaml1), mRNA [NM_001081270]
A_52_P646684	10.82	4.23E-07	Trp53i5	NM_178381	transformation related protein 53 inducible protein 5 (Trp53i5), mRNA [NM_178381]
A_52_P54770	10.78	1.23E-02	C130034I18Rik	NM_177233	RIKEN cDNA C130034I18 gene (C130034I18Rik), mRNA [NM_177233]
A_52_P411274	10.73	4.19E-05	A830007L07Rik	NM_001039645	RIKEN cDNA A830007L07 gene (A830007L07Rik), mRNA [NM_001039645]
A_52_P203316	10.72	4.09E-05	Kcnf1	NM_201531	potassium voltage-gated channel, subfamily F, member 1 (Kcnf1), mRNA [NM_201531]
A_52_P220933	10.69	1.00E-02	ENSMUSG00000033219	NM_198666	predicted gene, ENSMUSG00000033219 (ENSMUSG00000033219), mRNA [NM_198666]
A_51_P398366	10.66	4.40E-05	Tyms	NM_021288	thymidylate synthase (Tyms), mRNA [NM_021288]
A_51_P265806	10.64	1.92E-05	Clca2	NM_030601	chloride channel calcium activated 2 (Clca2), mRNA [NM_030601]
A_51_P201035	10.63	6.47E-06	Cenpi	NM_145924	centromere protein I (Cenpi), mRNA [NM_145924]
A_51_P122268	10.57	2.01E-04	B4galt6	NM_019737	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6 (B4galt6), mRNA [NM_019737]
A_51_P224530	10.55	5.00E-05	Nrip3	NM_020610	nuclear receptor interacting protein 3 (Nrip3), mRNA [NM_020610]
A_51_P150876	10.54	4.92E-04	Lypd3	NM_133743	Ly6/Plaur domain containing 3 (Lypd3), mRNA [NM_133743]
A_51_P275808	10.5	1.12E-04	Trim59	NM_025863	tripartite motif-containing 59 (Trim59), mRNA [NM_025863]
A_51_P183197	10.48	2.07E-04	2310002J15Rik	NM_026415	RIKEN cDNA 2310002J15 gene (2310002J15Rik), mRNA [NM_026415]
A_52_P556099	10.46	7.60E-06	Oip5	NM_001042653	Opa interacting protein 5 (Oip5), mRNA [NM_001042653]
A_51_P455897	10.45	8.05E-05	6720460F02Rik	NM_144526	RIKEN cDNA 6720460F02 gene (6720460F02Rik), mRNA [NM_144526]
A_51_P472217	10.39	1.24E-05	2010317E24Rik	NM_001081085	RIKEN cDNA 2010317E24 gene (2010317E24Rik), mRNA [NM_001081085]
A_51_P503004	10.37	1.83E-05	Cpne7	NM_170684	copine VII (Cpne7), mRNA [NM_170684]
A_51_P255365	10.35	7.93E-05	Cited1	NM_007709	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1 (Cited1), mRNA [NM_007709]
A_51_P459479	10.32	3.02E-04	Unc13a	BC058348	unc-13 homolog A (C. elegans), mRNA (cDNA clone MGC:66595 IMAGE:5700788), complete cds. [BC058348]
A_52_P596755	10.31	7.02E-05	BC048355	NM_207161	cDNA sequence BC048355 (BC048355), mRNA [NM_207161]
A_52_P292651	10.3	1.68E-05	Tyms	NM_021288	thymidylate synthase (Tyms), mRNA [NM_021288]
A_51_P273538	10.3	3.53E-05	Syce2	NM_027954	synaptonemal complex central element protein 2 (Syce2), mRNA [NM_027954]
A_51_P114094	10.29	9.64E-07	Clstn3	NM_153508	calsyntenin 3 (Clstn3), mRNA [NM_153508]
A_51_P341041	10.29	4.29E-06	2600005O03Rik	NM_183089	RIKEN cDNA 2600005O03 gene (2600005O03Rik), mRNA [NM_183089]
A_51_P408071	10.25	1.87E-06	Kntc1	NM_001042421	kinetochore associated 1 (Kntc1), mRNA [NM_001042421]
A_51_P367310	10.22	9.52E-05	Chaf1b	NM_028083	chromatin assembly factor 1, subunit B (p60) (Chaf1b), mRNA [NM_028083]
A_52_P184149	10.21	1.82E-05	Mthfd2	NM_008638	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase (Mthfd2), mRNA [NM_008638]
A_51_P380807	10.16	1.66E-04	Ckm	NM_007710	creatine kinase, muscle (Ckm), mRNA [NM_007710]
A_51_P361022	10.15	1.58E-04	Cdc20	NM_023223	cell division cycle 20 homolog (S. cerevisiae) (Cdc20), mRNA [NM_023223]
A_51_P517672	10.14	2.66E-06	Rnf152	NM_178779	ring finger protein 152 (Rnf152), mRNA [NM_178779]
A_52_P681495	10.13	5.92E-06	2610016C23Rik	NM_027930	RIKEN cDNA 2610016C23 gene (2610016C23Rik), mRNA [NM_027930]
A_51_P458130	10.13	1.48E-05	Tph1	NM_009414	tryptophan hydroxylase 1 (Tph1), mRNA [NM_009414]
A_51_P268068	10.12	2.85E-04	Six1	X80339	M.musculus Six1 mRNA. [X80339]
A_52_P682707	10.1	2.16E-06	2810465G24Rik	AK013380	10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810465G24 product:similar to KIAA0159 PROTEIN [Homo sapiens], full insert sequence. [AK013380]
A_51_P380309	10.09	9.59E-05	Ncam1	NM_001081445	neural cell adhesion molecule 1 (Ncam1), transcript variant 1, mRNA [NM_001081445]
A_52_P160057	10.08	3.22E-05	LOC100036568	BC096548	RIKEN cDNA 2610042L04 gene, mRNA (cDNA clone IMAGE:6853167) [BC096548]
A_52_P422050	10.06	1.14E-04	Kcnc1	NM_008421	potassium voltage gated channel, Shaw-related subfamily, member 1 (Kcnc1), mRNA [NM_008421]
A_52_P529374	10.04	2.23E-04	D230005D02Rik	NM_172813	RIKEN cDNA D230005D02 gene (D230005D02Rik), mRNA [NM_172813]
A_52_P362603	10.04	1.10E-03	2600005O03Rik	NM_183089	RIKEN cDNA 2600005O03 gene (2600005O03Rik), mRNA [NM_183089]
A_51_P230878	10.02	4.04E-05	Mad2l1	U83902	mitotic checkpoint component Mad2 mRNA, complete cds. [U83902]
A_51_P424272	10.01	1.49E-04	Mt4	NM_008631	metallothionein 4 (Mt4), mRNA [NM_008631]
A_51_P516728	10.01	1.18E-05	Hap1	NM_010404	huntingtin-associated protein 1 (Hap1), mRNA [NM_010404]
A_51_P351363	10	2.01E-05	Tyms-ps	M30774	Mouse thymidylate synthase pseudogene mRNA, complete cds [M30774]
A_51_P407780	10	3.23E-05	Ly6h	NM_011837	lymphocyte antigen 6 complex, locus H (Ly6h), mRNA [NM_011837]
A_51_P220222	9.98	4.97E-05	Tacc3	NM_001040435	transforming, acidic coiled-coil containing protein 3 (Tacc3), mRNA [NM_001040435]
A_51_P276142	9.96	1.61E-04	Gpr37l1	NM_134438	G protein-coupled receptor 37-like 1 (Gpr37l1), mRNA [NM_134438]
A_52_P153929	9.95	4.90E-05	Brip1	NM_178309	BRCA1 interacting protein C-terminal helicase 1 (Brip1), mRNA [NM_178309]
A_51_P268069	9.83	2.43E-05	Six1	NM_009189	sine oculis-related homeobox 1 homolog (Drosophila) (Six1), mRNA [NM_009189]
A_51_P436669	9.82	1.36E-05	Pclo	Y19186	mRNA for aczonin, short spliced variant (acz gene). [Y19186]
A_51_P105709	9.82	1.09E-04	Trip13	NM_027182	thyroid hormone receptor interactor 13 (Trip13), mRNA [NM_027182]
A_52_P267651	9.81	1.46E-03	Arntl	NM_007489	aryl hydrocarbon receptor nuclear translocator-like (Arntl), mRNA [NM_007489]
A_51_P369154	9.8	2.23E-05	Sez6l2	NM_144926	seizure related 6 homolog like 2 (Sez6l2), mRNA [NM_144926]
A_51_P151586	9.77	2.39E-05	Gsg2	NM_010353	germ cell-specific gene 2 (Gsg2), mRNA [NM_010353]
A_51_P168632	9.72	2.51E-06	Prim1	NM_008921	DNA primase, p49 subunit (Prim1), mRNA [NM_008921]
A_52_P624168	9.7	3.15E-05	Atad2	NM_027435	ATPase family, AAA domain containing 2 (Atad2), mRNA [NM_027435]
A_51_P230873	9.69	6.88E-06	Mad2l1	NM_019499	MAD2 (mitotic arrest deficient, homolog)-like 1 (yeast) (Mad2l1), mRNA [NM_019499]
A_51_P108767	9.68	1.61E-07	Rad54l	NM_009015	RAD54 like (S. cerevisiae) (Rad54l), mRNA [NM_009015]
A_52_P545181	9.64	1.75E-04	Caln1	NM_021371	calneuron 1 (Caln1), mRNA [NM_021371]
A_51_P339898	9.6	6.71E-04	Atad2	NM_027435	ATPase family, AAA domain containing 2 (Atad2), mRNA [NM_027435]
A_51_P262773	9.6	4.17E-06	Cdh2	NM_007664	cadherin 2 (Cdh2), mRNA [NM_007664]
A_51_P216108	9.57	1.84E-06	Rps6kl1	NM_146244	ribosomal protein S6 kinase-like 1 (Rps6kl1), mRNA [NM_146244]
A_52_P311168	9.55	2.81E-04	Krt78	NM_212487	keratin 78 (Krt78), mRNA [NM_212487]
A_52_P355751	9.53	1.03E-05	LOC544988	NM_001024712	hypothetical protein LOC544988 (LOC544988), mRNA [NM_001024712]
A_51_P516826	9.51	7.51E-05	Igf2	NM_010514	insulin-like growth factor 2 (Igf2), mRNA [NM_010514]
A_51_P202074	9.51	1.22E-05	Ncapd2	NM_146171	non-SMC condensin I complex, subunit D2 (Ncapd2), mRNA [NM_146171]
A_51_P463912	9.48	9.09E-03	Odz1	NM_011855	odd Oz/ten-m homolog 1 (Drosophila) (Odz1), mRNA [NM_011855]
A_52_P439263	9.48	1.69E-04	Ugt8a	NM_011674	UDP galactosyltransferase 8A (Ugt8a), mRNA [NM_011674]
A_51_P303160	9.47	5.36E-04	Arg1	NM_007482	arginase 1, liver (Arg1), mRNA [NM_007482]
A_51_P502437	9.46	1.11E-04	Cacna2d3	NM_009785	calcium channel, voltage-dependent, alpha2/delta subunit 3 (Cacna2d3), mRNA [NM_009785]
A_52_P36591	9.41	3.25E-04	NAP104453-1
A_52_P59206	9.39	6.11E-05	Cst6	NM_028623	cystatin E/M (Cst6), mRNA [NM_028623]
A_52_P27878	9.39	3.32E-06	E130306D19Rik	NM_001013377	RIKEN cDNA E130306D19 gene (E130306D19Rik), mRNA [NM_001013377]
A_52_P76931	9.32	1.86E-07	Wdhd1	NM_172598	WD repeat and HMG-box DNA binding protein 1 (Wdhd1), mRNA [NM_172598]
A_51_P284079	9.32	1.80E-03	Bai2	NM_173071	brain-specific angiogenesis inhibitor 2 (Bai2), mRNA [NM_173071]
A_51_P287691	9.3	3.06E-04	Kremen2	NM_028416	kringle containing transmembrane protein 2 (Kremen2), mRNA [NM_028416]
A_52_P613255	9.24	5.49E-04	Ncam1	NM_001081445	neural cell adhesion molecule 1 (Ncam1), transcript variant 1, mRNA [NM_001081445]
A_52_P642488	9.22	1.90E-06	Kcnk1	NM_008430	potassium channel, subfamily K, member 1 (Kcnk1), mRNA [NM_008430]
A_52_P271528	9.21	1.67E-06	Psrc1	NM_019976	proline/serine-rich coiled-coil 1 (Psrc1), mRNA [NM_019976]
A_51_P196113	9.2	2.36E-05	Mast1	NM_019945	microtubule associated serine/threonine kinase 1 (Mast1), mRNA [NM_019945]
A_51_P281525	9.2	4.43E-04	Cplx2	NM_009946	complexin 2 (Cplx2), mRNA [NM_009946]
A_51_P324287	9.2	1.65E-07	Kif23	NM_024245	kinesin family member 23 (Kif23), mRNA [NM_024245]
A_52_P266686	9.19	3.69E-04	Ntsr2	NM_008747	neurotensin receptor 2 (Ntsr2), mRNA [NM_008747]
A_51_P443443	9.18	1.50E-04	5830417I10Rik	AY040842	clone H5.1 unknown mRNA. [AY040842]
A_52_P208453	9.17	2.55E-04	Bai2	NM_173071	brain-specific angiogenesis inhibitor 2 (Bai2), mRNA [NM_173071]
A_51_P114843	9.12	3.64E-05	H1fx	NM_198622	H1 histone family, member X (H1fx), mRNA [NM_198622]
A_52_P73436	9.11	7.85E-06	Nfatc2	AK081853	16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130082H17 product:nuclear factor of activated T-cells, cytoplasmic 2, full insert sequence. [AK081853]
A_52_P30989	9.1	5.56E-06	Cdkn3	BC049694	cyclin-dependent kinase inhibitor 3, mRNA (cDNA clone MGC:58593 IMAGE:6705916), complete cds. [BC049694]
A_52_P651248	9.08	1.42E-04	Zdhhc2	NM_178395	zinc finger, DHHC domain containing 2 (Zdhhc2), mRNA [NM_178395]
A_52_P612137	9.08	3.64E-05	Runx1t1	NM_009822	runt-related transcription factor 1; translocated to, 1 (cyclin D-related) (Runx1t1), mRNA [NM_009822]
A_51_P441843	9.06	1.26E-06	BC025462	NM_145946	cDNA sequence BC025462 (BC025462), mRNA [NM_145946]
A_51_P107020	9.06	1.86E-04	Kif5a	NM_001039000	kinesin family member 5A (Kif5a), transcript variant 2, mRNA [NM_001039000]
A_52_P151362	9.01	4.91E-07	Mboat2	NM_026037	membrane bound O-acyltransferase domain containing 2 (Mboat2), transcript variant 1, mRNA [NM_026037]
A_51_P301603	9	1.92E-02	AI854517	AK032343	adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430523C15 product:unclassifiable, full insert sequence [AK032343]
A_51_P303749	8.99	4.63E-06	Depdc1b	NM_178683	DEP domain containing 1B (Depdc1b), mRNA [NM_178683]
A_51_P513062	8.96	1.78E-05	B630019K06Rik	NM_175327	RIKEN cDNA B630019K06 gene (B630019K06Rik), mRNA [NM_175327]
A_51_P289107	8.95	1.72E-04	Hrh3	NM_133849	histamine receptor H 3 (Hrh3), mRNA [NM_133849]
A_51_P462249	8.95	2.75E-03	Cks2	NM_025415	CDC28 protein kinase regulatory subunit 2 (Cks2), mRNA [NM_025415]
A_51_P273979	8.85	3.80E-04	Cenpa	NM_007681	centromere protein A (Cenpa), mRNA [NM_007681]
A_51_P480190	8.82	2.31E-02	Spaca1	NM_026293	sperm acrosome associated 1 (Spaca1), mRNA [NM_026293]
A_51_P429308	8.8	5.38E-05	Neto2	NM_001081324	neuropilin (NRP) and tolloid (TLL)-like 2 (Neto2), mRNA [NM_001081324]
A_51_P117226	8.75	2.98E-05	Zdhhc2	AK046533	adult male adrenal gland cDNA, RIKEN full-length enriched library, clone:B330016H11 product:SMALL REC homolog [Rattus norvegicus], full insert sequence [AK046533]
A_51_P410451	8.75	2.56E-05	Tube1	NM_028006	epsilon-tubulin 1 (Tube1), mRNA [NM_028006]
A_52_P149336	8.71	3.74E-05	Mphosph1	NM_183046	M-phase phosphoprotein 1 (Mphosph1), mRNA [NM_183046]
A_52_P609120	8.71	3.99E-06	Pdxp	NM_020271	pyridoxal (pyridoxine, vitamin B6) phosphatase (Pdxp), mRNA [NM_020271]
A_52_P478025	8.69	9.97E-05	Smpd3	NM_021491	sphingomyelin phosphodiesterase 3, neutral (Smpd3), mRNA [NM_021491]
A_52_P227746	8.69	3.88E-06	LOC619863	XR_003516	PREDICTED:  similar to High mobility group protein 2 (HMG-2) (LOC619863), mRNA [XR_003516]
A_51_P251205	8.62	6.15E-05	Psd	NM_028627	pleckstrin and Sec7 domain containing (Psd), mRNA [NM_028627]
A_51_P155482	8.62	1.30E-04	Pole	NM_011132	polymerase (DNA directed), epsilon (Pole), mRNA [NM_011132]
A_51_P306689	8.61	4.25E-04	Rcor2	NM_054048	REST corepressor 2 (Rcor2), mRNA [NM_054048]
A_52_P11920	8.6	1.02E-02	Cpne5	NM_153166	copine V (Cpne5), mRNA [NM_153166]
A_52_P480360	8.55	4.83E-05	Dut	NM_023595	deoxyuridine triphosphatase (Dut), mRNA [NM_023595]
A_52_P668812	8.54	9.65E-05	Sgol2	NM_199007	shugoshin-like 2 (S. pombe) (Sgol2), mRNA [NM_199007]
