Symbol	Gene Name	combined p value	Expression
Idb1	Inhibitor of DNA binding 1	8.49E-04	Down-regulated transcripts
Cln6	Ceroid-lipofuscinosis, neuronal 6	8.68E-04	Down-regulated transcripts
Chek2	CHK2 checkpoint homolog (S. pombe)	8.91E-04	Down-regulated transcripts
Mrpl51	Mitochondrial ribosomal protein L51	8.93E-04	Down-regulated transcripts
Kars	Lysyl-tRNA synthetase	8.93E-04	Down-regulated transcripts
Map2k3	Mitogen activated protein kinase kinase 3	9.22E-04	Down-regulated transcripts
Pprc1	Peroxisome proliferative activated receptor, gamma, coactivator-related 1	9.31E-04	Down-regulated transcripts
Scoc	Short coiled-coil protein	9.31E-04	Down-regulated transcripts
Tcf20	Transcription factor 20	9.38E-04	Down-regulated transcripts
Gls	Glutaminase	9.44E-04	Down-regulated transcripts
Eif5b	Eukaryotic translation initiation factor 5B	9.67E-04	Down-regulated transcripts
Psmd5	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	9.73E-04	Down-regulated transcripts
Stau1	Staufen (RNA binding protein) homolog 1 (Drosophila)	9.73E-04	Down-regulated transcripts
Rpo1-4	RNA polymerase 1-4	9.78E-04	Down-regulated transcripts
Fuca1	Fucosidase, alpha-L- 1, tissue	9.86E-04	Down-regulated transcripts
Nek7	NIMA (never in mitosis gene a)-related expressed kinase 7	9.87E-04	Down-regulated transcripts
Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	9.98E-04	Down-regulated transcripts
Cdca4	Cell division cycle associated 4	1.05E-03	Down-regulated transcripts
Cfdp1	Craniofacial development protein 1	1.09E-03	Down-regulated transcripts
Brd3	Bromodomain containing 3	1.14E-03	Down-regulated transcripts
Slc29a1	Solute carrier family 29 (nucleoside transporters), member 1	1.14E-03	Down-regulated transcripts
Csf3r	Colony stimulating factor 3 receptor (granulocyte)	1.15E-03	Down-regulated transcripts
Pecam1	Platelet/endothelial cell adhesion molecule 1	1.16E-03	Down-regulated transcripts
Rnu64	Similar to 40S ribosomal protein S2	1.19E-03	Down-regulated transcripts
Ptprg	Protein tyrosine phosphatase, receptor type, G	1.19E-03	Down-regulated transcripts
Cacybp	Calcyclin binding protein	1.20E-03	Down-regulated transcripts
Ak7	Adenylate kinase 7	1.21E-03	Down-regulated transcripts
Arhgap19	Rho GTPase activating protein 19	1.22E-03	Down-regulated transcripts
Rgs10	Regulator of G-protein signalling 10	1.22E-03	Down-regulated transcripts
Smc6l1	SMC6 structural maintenance of chromosomes 6-like 1 (yeast)	1.24E-03	Down-regulated transcripts
Mastl	Microtubule associated serine/threonine kinase-like	1.25E-03	Down-regulated transcripts
Slc16a1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	1.30E-03	Down-regulated transcripts
Unc84a	Unc-84 homolog A (C. elegans)	1.31E-03	Down-regulated transcripts
Ywhae	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	1.33E-03	Down-regulated transcripts
Lrrc16	Leucine rich repeat containing 16	1.38E-03	Down-regulated transcripts
Gbas	Glioblastoma amplified sequence	1.38E-03	Down-regulated transcripts
Nrf1	Nuclear respiratory factor 1	1.39E-03	Down-regulated transcripts
Mov10	Moloney leukemia virus 10	1.39E-03	Down-regulated transcripts
Terf2	Telomeric repeat binding factor 2	1.39E-03	Down-regulated transcripts
Evc2	Ellis van Creveld syndrome 2 homolog (human)	1.40E-03	Down-regulated transcripts
H2afz	H2A histone family, member Z	1.42E-03	Down-regulated transcripts
Fgfrl1	Fibroblast growth factor receptor-like 1	1.42E-03	Down-regulated transcripts
Cbx1	Chromobox homolog 1 (Drosophila HP1 beta)	1.42E-03	Down-regulated transcripts
Taf12	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor	1.45E-03	Down-regulated transcripts
Vamp8	Vesicle-associated membrane protein 8	1.45E-03	Down-regulated transcripts
Psme1	Proteasome (prosome, macropain) 28 subunit, alpha	1.55E-03	Down-regulated transcripts
Ars2	Arsenate resistance protein 2	1.57E-03	Down-regulated transcripts
S100a6	S100 calcium binding protein A6 (calcyclin)	1.58E-03	Down-regulated transcripts
Ccar1	Cell division cycle and apoptosis regulator 1	1.58E-03	Down-regulated transcripts
Solt	SoxLZ/Sox6 leucine zipper binding protein in testis	1.62E-03	Down-regulated transcripts
Pde6d	Phosphodiesterase 6D, cGMP-specific, rod, delta	1.63E-03	Down-regulated transcripts
Ipo11	Importin 11	1.69E-03	Down-regulated transcripts
Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	1.69E-03	Down-regulated transcripts
Pgm2	Phosphoglucomutase 2	1.71E-03	Down-regulated transcripts
Col6a1	Procollagen, type VI, alpha 1	1.72E-03	Down-regulated transcripts
Tpr	Translocated promoter region	1.73E-03	Down-regulated transcripts
Park7	Parkinson disease (autosomal recessive, early onset) 7	1.79E-03	Down-regulated transcripts
Fubp1	Far upstream element (FUSE) binding protein 1	1.80E-03	Down-regulated transcripts
Ak2	Adenylate kinase 2	1.82E-03	Down-regulated transcripts
Mutyh	MutY homolog (E. coli)	1.84E-03	Down-regulated transcripts
Dhx15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	1.84E-03	Down-regulated transcripts
Gnb1l	Guanine nucleotide binding protein (G protein), beta polypeptide 1-like	1.87E-03	Down-regulated transcripts
Cenpb	Centromere autoantigen B	1.88E-03	Down-regulated transcripts
Ndufv2	NADH dehydrogenase (ubiquinone) flavoprotein 2	1.89E-03	Down-regulated transcripts
Gtf2h4	General transcription factor II H, polypeptide 4	1.90E-03	Down-regulated transcripts
Mtch1	Mitochondrial carrier homolog 1 (C. elegans)	1.91E-03	Down-regulated transcripts
Nrbf1	Nuclear receptor binding factor 1	1.98E-03	Down-regulated transcripts
Nup155	Nucleoporin 155	1.99E-03	Down-regulated transcripts
Nudt5	Nudix (nucleoside diphosphate linked moiety X)-type motif 5	2.00E-03	Down-regulated transcripts
C1d	Nuclear DNA binding protein	2.03E-03	Down-regulated transcripts
Rpa1	Replication protein A1	2.04E-03	Down-regulated transcripts
Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	2.04E-03	Down-regulated transcripts
Casp6	Caspase 6	2.06E-03	Down-regulated transcripts
Klhl5	Kelch-like 5 (Drosophila)	2.06E-03	Down-regulated transcripts
Bnipl	BCL2/adenovirus E1B 19kD interacting protein like	2.11E-03	Down-regulated transcripts
Nup43	Nucleoporin 43	2.13E-03	Down-regulated transcripts
Dysf	Dysferlin	2.14E-03	Down-regulated transcripts
Tmem4	Transmembrane protein 4	2.15E-03	Down-regulated transcripts
Igfbp3	Insulin-like growth factor binding protein 3	2.27E-03	Down-regulated transcripts
Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1	2.28E-03	Down-regulated transcripts
Dap3	Death associated protein 3	2.34E-03	Down-regulated transcripts
Mpp1	Membrane protein, palmitoylated	2.41E-03	Down-regulated transcripts
H19	H19 fetal liver mRNA	2.41E-03	Down-regulated transcripts
Ccnc	Cyclin C	2.41E-03	Down-regulated transcripts
Aaas	Achalasia, adrenocortical insufficiency, alacrimia	2.48E-03	Down-regulated transcripts
Nup205	Nucleoporin 205	2.53E-03	Down-regulated transcripts
Rab7	RAB7, member RAS oncogene family	2.56E-03	Down-regulated transcripts
Dirc2	Disrupted in renal carcinoma 2 (human)	2.56E-03	Down-regulated transcripts
Ap3d1	Adaptor-related protein complex 3, delta 1 subunit	2.64E-03	Down-regulated transcripts
Rrm2	Ribonucleotide reductase M2	2.71E-03	Down-regulated transcripts
Shfdg1	Split hand/foot deleted gene 1	2.72E-03	Down-regulated transcripts
Tinf2	Terf1 (TRF1)-interacting nuclear factor 2	2.72E-03	Down-regulated transcripts
Tm4sf8	Transmembrane 4 superfamily member 8	2.73E-03	Down-regulated transcripts
Mta2	Metastasis-associated gene family, member 2	2.74E-03	Down-regulated transcripts
Fgfr2	Fibroblast growth factor receptor 2	2.76E-03	Down-regulated transcripts
Cry1	Cryptochrome 1 (photolyase-like)	2.78E-03	Down-regulated transcripts
Pfkm	Phosphofructokinase, muscle	2.87E-03	Down-regulated transcripts
Ung	Uracil-DNA glycosylase	2.88E-03	Down-regulated transcripts
Pdcd8	Programmed cell death 8	2.94E-03	Down-regulated transcripts
Fancg	Fanconi anemia, complementation group G	2.97E-03	Down-regulated transcripts
Top2b	Topoisomerase (DNA) II beta	3.00E-03	Down-regulated transcripts
Commd3	COMM domain containing 3	3.00E-03	Down-regulated transcripts
Ctbp1	C-terminal binding protein 1	3.00E-03	Down-regulated transcripts
Gkap1	G kinase anchoring protein 1	3.02E-03	Down-regulated transcripts
Dia1	Diaphorase 1 (NADH)	3.05E-03	Down-regulated transcripts
Zbed3	Zinc finger, BED domain containing 3	3.06E-03	Down-regulated transcripts
Rab11b	RAB11B, member RAS oncogene family	3.06E-03	Down-regulated transcripts
Eif4enif1	Eukaryotic translation initiation factor 4E nuclear import factor 1	3.07E-03	Down-regulated transcripts
Dctd	DCMP deaminase	3.08E-03	Down-regulated transcripts
Ncor1	Nuclear receptor co-repressor 1	3.13E-03	Down-regulated transcripts
Akt2	Thymoma viral proto-oncogene 2	3.13E-03	Down-regulated transcripts
Rev1l	REV1-like (S. cerevisiae)	3.15E-03	Down-regulated transcripts
Rgs11	Regulator of G-protein signaling 11	3.22E-03	Down-regulated transcripts
Exo1	Exonuclease 1	3.28E-03	Down-regulated transcripts
Atp11b	ATPase, Class VI, type 11B	3.32E-03	Down-regulated transcripts
Tmsb10	Thymosin, beta 10	3.32E-03	Down-regulated transcripts
Isgf3g	Interferon dependent positive acting transcription factor 3 gamma	3.40E-03	Down-regulated transcripts
Axin1	Axin 1	3.48E-03	Down-regulated transcripts
Etohi2	Ethanol induced 2	3.48E-03	Down-regulated transcripts
Cbara1	Calcium binding atopy-related autoantigen 1	3.49E-03	Down-regulated transcripts
Tapbp	TAP binding protein	3.49E-03	Down-regulated transcripts
Galm	Galactose mutarotase	3.57E-03	Down-regulated transcripts
Pole2	Polymerase (DNA directed), epsilon 2 (p59 subunit)	3.57E-03	Down-regulated transcripts
Cxxc6	CXXC finger 6	3.67E-03	Down-regulated transcripts
Pvrl1	Poliovirus receptor-related 1	3.73E-03	Down-regulated transcripts
Kif2c	Kinesin family member 2C	3.78E-03	Down-regulated transcripts
Cks1b	CDC28 protein kinase 1b	3.79E-03	Down-regulated transcripts
H6pd	Hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	3.80E-03	Down-regulated transcripts
Mrps17	Mitochondrial ribosomal protein S17	3.82E-03	Down-regulated transcripts
Hnrpr	Heterogeneous nuclear ribonucleoprotein R	3.83E-03	Down-regulated transcripts
Arpc5l	Actin related protein 2/3 complex, subunit 5-like	3.85E-03	Down-regulated transcripts
Tex10	Testis expressed gene 10	3.86E-03	Down-regulated transcripts
Grcc2f	Gene rich cluster, C2f gene	3.89E-03	Down-regulated transcripts
Sh2d4a	SH2 domain containing 4A	3.97E-03	Down-regulated transcripts
Lgals9	Lectin, galactose binding, soluble 9	3.98E-03	Down-regulated transcripts
Rpap1	RNA polymerase II associated protein 1	4.07E-03	Down-regulated transcripts
Ganab	Alpha glucosidase 2 alpha neutral subunit	4.11E-03	Down-regulated transcripts
Hrmt1l2	Heterogeneous nuclear ribonucleoproteins methyltransferase-like 2 (S. cerevisiae)	4.11E-03	Down-regulated transcripts
Phtf1	Putative homeodomain transcription factor 1	4.16E-03	Down-regulated transcripts
Tra1	Tumor rejection antigen gp96	4.23E-03	Down-regulated transcripts
Statip1	Signal transducer and activator of transcription interacting protein 1	4.24E-03	Down-regulated transcripts
Casp8ap2	Caspase 8 associated protein 2	4.24E-03	Down-regulated transcripts
Anapc2	Anaphase promoting complex subunit 2	4.25E-03	Down-regulated transcripts
Nup88	Nucleoporin 88	4.29E-03	Down-regulated transcripts
Cabc1	Chaperone, ABC1 activity of bc1 complex like (S. pombe)	4.30E-03	Down-regulated transcripts
Pols	Polymerase (DNA directed) sigma	4.34E-03	Down-regulated transcripts
Myadm	Myeloid-associated differentiation marker	4.37E-03	Down-regulated transcripts
Rab12	RAB12, member RAS oncogene family	4.41E-03	Down-regulated transcripts
Tbc1d8	TBC1 domain family, member 8	4.43E-03	Down-regulated transcripts
Abca3	ATP-binding cassette, sub-family A (ABC1), member 3	4.47E-03	Down-regulated transcripts
Psmc3ip	Proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein	4.47E-03	Down-regulated transcripts
Rnf38	Ring finger protein 38	4.51E-03	Down-regulated transcripts
Dstn	Destrin	4.51E-03	Down-regulated transcripts
Matn2	Matrilin 2	4.54E-03	Down-regulated transcripts
Nfkbia	Nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	4.57E-03	Down-regulated transcripts
Trim14	Tripartite motif-containing 14	4.58E-03	Down-regulated transcripts
Cri1	CREBBP/EP300 inhibitory protein 1	4.60E-03	Down-regulated transcripts
Oaz2	Ornithine decarboxylase antizyme 2	4.62E-03	Down-regulated transcripts
Rps15a	Ribosomal protein S15a	4.63E-03	Down-regulated transcripts
Rnf130	Ring finger protein 130	4.70E-03	Down-regulated transcripts
Sept7	Septin 7	4.75E-03	Down-regulated transcripts
Mtmr6	Myotubularin related protein 6	4.79E-03	Down-regulated transcripts
Nr3c1	Nuclear receptor subfamily 3, group C, member 1	4.87E-03	Down-regulated transcripts
Hnrpf	Heterogeneous nuclear ribonucleoprotein F	4.91E-03	Down-regulated transcripts
Phkb	Phosphorylase kinase beta	4.92E-03	Down-regulated transcripts
Man1c1	Mannosidase, alpha, class 1C, member 1	4.93E-03	Down-regulated transcripts
Plod3	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	4.99E-03	Down-regulated transcripts
Ndufa10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10	5.01E-03	Down-regulated transcripts
Mylk	Myosin, light polypeptide kinase	5.04E-03	Down-regulated transcripts
Gpr125	G protein-coupled receptor 125	5.05E-03	Down-regulated transcripts
Bcap37	B-cell receptor-associated protein 37	5.05E-03	Down-regulated transcripts
Foxn4	Forkhead box N4	5.08E-03	Down-regulated transcripts
Rgl2	Ral guanine nucleotide dissociation stimulator-like 2	5.14E-03	Down-regulated transcripts
Scarb2	Scavenger receptor class B, member 2	5.22E-03	Down-regulated transcripts
Pcdh7	Protocadherin 7	5.23E-03	Down-regulated transcripts
Usp22	Ubiquitin specific protease 22	5.25E-03	Down-regulated transcripts
Zfp91	Zinc finger protein 91	5.28E-03	Down-regulated transcripts
Gm440	Gene model 440, (NCBI)	5.28E-03	Down-regulated transcripts
Ddhd1	DDHD domain containing 1	5.31E-03	Down-regulated transcripts
Uhrf1	Ubiquitin-like, containing PHD and RING finger domains, 1	5.36E-03	Down-regulated transcripts
Ilf2	Interleukin enhancer binding factor 2	5.36E-03	Down-regulated transcripts
Glg1	Golgi apparatus protein 1	5.36E-03	Down-regulated transcripts
Spag5	Sperm associated antigen 5	5.45E-03	Down-regulated transcripts
Wdr10	WD repeat domain 10	5.47E-03	Down-regulated transcripts
Ptger4	Prostaglandin E receptor 4 (subtype EP4)	5.49E-03	Down-regulated transcripts
Mapkap1	Mitogen-activated protein kinase associated protein 1	5.59E-03	Down-regulated transcripts
Rpl23	Ribosomal protein L23	5.66E-03	Down-regulated transcripts
Smarce1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	5.69E-03	Down-regulated transcripts
Safb2	Scaffold attachment factor B2	5.80E-03	Down-regulated transcripts
Lrrc28	Leucine rich repeat containing 28	5.82E-03	Down-regulated transcripts
Snx3	Sorting nexin 3	5.83E-03	Down-regulated transcripts
Glb1	Galactosidase, beta 1	5.94E-03	Down-regulated transcripts
Tusc3	Tumor suppressor candidate 3	6.13E-03	Down-regulated transcripts
Pmf1	Polyamine-modulated factor 1	6.18E-03	Down-regulated transcripts
Wdr7	WD repeat domain 7	6.19E-03	Down-regulated transcripts
Dppa5	Developmental pluripotency associated 5	6.35E-03	Down-regulated transcripts
Etfa	Electron transferring flavoprotein, alpha polypeptide	6.40E-03	Down-regulated transcripts
Api5	Apoptosis inhibitor 5	6.46E-03	Down-regulated transcripts
Rpl23a	Ribosomal protein L23a	6.56E-03	Down-regulated transcripts
Atp5k	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit e	6.57E-03	Down-regulated transcripts
Mapkapk2	MAP kinase-activated protein kinase 2	6.62E-03	Down-regulated transcripts
Ran	RAN, member RAS oncogene family	6.64E-03	Down-regulated transcripts
Elp3	Elongation protein 3 homolog (S. cerevisiae)	6.67E-03	Down-regulated transcripts
Asb13	Ankyrin repeat and SOCS box-containing protein 13	6.67E-03	Down-regulated transcripts
Raf1	V-raf-1 leukemia viral oncogene 1	6.69E-03	Down-regulated transcripts
Ulk1	Unc-51 like kinase 1 (C. elegans)	6.73E-03	Down-regulated transcripts
Recc1	Replication factor C 1	6.76E-03	Down-regulated transcripts
Xpr1	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	6.76E-03	Down-regulated transcripts
Stk3	Serine/threonine kinase 3 (Ste20, yeast homolog)	6.85E-03	Down-regulated transcripts
Adprtl2	ADP-ribosyltransferase (NAD+, poly(ADP-ribose) polymerase)-like 2	6.91E-03	Down-regulated transcripts
Phactr4	Phosphatase and actin regulator 4	6.95E-03	Down-regulated transcripts
Vhlh	Von Hippel-Lindau syndrome homolog	6.96E-03	Down-regulated transcripts
Rpl27a	Ribosomal protein L27a	7.05E-03	Down-regulated transcripts
Cdh1	Cadherin 1	7.06E-03	Down-regulated transcripts
Rps21	Ribosomal protein S21	7.06E-03	Down-regulated transcripts
Fbxl10	F-box and leucine-rich repeat protein 10	7.08E-03	Down-regulated transcripts
Stx1b1	Syntaxin 1B2	7.15E-03	Down-regulated transcripts
Snrpb2	U2 small nuclear ribonucleoprotein B	7.26E-03	Down-regulated transcripts
Prr3	Proline-rich polypeptide 3	7.45E-03	Down-regulated transcripts
Hmgb2l1	High mobility group box 2-like 1	7.67E-03	Down-regulated transcripts
Tcfl1	Transcription factor-like 1	7.70E-03	Down-regulated transcripts
Hexb	G elongation factor, mitochondrial 2	7.75E-03	Down-regulated transcripts
Dnclic1	Dynein, cytoplasmic, light intermediate chain 1	7.85E-03	Down-regulated transcripts
Rtel1	Regulator of telomere elongation helicase 1	7.85E-03	Down-regulated transcripts
Rsu1	Ras suppressor protein 1	7.93E-03	Down-regulated transcripts
Dhx37	DEAH (Asp-Glu-Ala-His) box polypeptide 37	7.99E-03	Down-regulated transcripts
Gpr56	G protein-coupled receptor 56	8.08E-03	Down-regulated transcripts
